2026-08-28 | 002279 | 久其软件 | 软件开发 | 50.4亿 | -5.10% | 减亏
2026-08-28 | 688592 | 司南导航 | 通信设备 | 13.7亿 | +16.98% | -
2026-08-28 | 300789 | 唐源电气 | 计算机设备 | 25.5亿 | +10.33% | -
2026-08-28 | 002195 | 岩山科技 | IT服务Ⅱ | 356.6亿 | -5.08% | -
2026-08-28 | 300442 | 润泽科技 | 通信服务 | 1016.1亿 | +2.27% | -
2026-08-28 | 301205 | 联特科技 | 通信设备 | 245.1亿 | +27.88% | -
2026-08-28 | 000409 | 云鼎科技 | IT服务Ⅱ | 51.6亿 | +2.34% | -
2026-08-28 | 002881 | 美格智能 | 通信设备 | 75.5亿 | +9.39% | -
2026-08-28 | 002835 | 同为股份 | 计算机设备 | 16.0亿 | +8.38% | -
2026-08-28 | 300166 | 东方国信 | IT服务Ⅱ | 116.7亿 | +2.71% | -
2026-08-28 | 300245 | ST天玑 | IT服务Ⅱ | 16.7亿 | +5.37% | -
2026-08-28 | 300170 | 汉得信息 | IT服务Ⅱ | 149.9亿 | +4.07% | -
2026-08-28 | 300168 | 万达信息 | IT服务Ⅱ | 72.0亿 | +4.37% | -
2026-08-28 | 301191 | 菲菱科思 | 通信设备 | 66.3亿 | -3.32% | -
2026-08-28 | 300020 | ST银江 | IT服务Ⅱ | 26.0亿 | -7.61% | -
2026-08-28 | 301428 | 世纪恒通 | 通信服务 | 19.4亿 | +4.32% | -
2026-08-28 | 688316 | 青云科技 | IT服务Ⅱ | 22.1亿 | +6.22% | -
2026-08-28 | 300310 | 宜通世纪 | 通信服务 | 30.8亿 | +5.20% | -
2026-08-28 | 300302 | 同有科技 | 计算机设备 | 105.3亿 | +4.62% | -
2026-08-28 | 301153 | 中科江南 | 软件开发 | 57.6亿 | +3.28% | -
2026-08-28 | 301185 | 鸥玛软件 | IT服务Ⅱ | 22.8亿 | +3.92% | -
2026-08-28 | 300288 | 朗玛信息 | IT服务Ⅱ | 25.6亿 | +5.71% | -
2026-08-28 | 688618 | 三旺通信 | 通信设备 | 34.1亿 | +15.99% | -
2026-08-28 | 688318 | 财富趋势 | 软件开发 | 274.1亿 | +13.45% | -
2026-08-28 | 688030 | 山石网科 | 软件开发 | 29.7亿 | +13.63% | 减亏
2026-08-28 | 301330 | 熵基科技 | 计算机设备 | 49.2亿 | +6.74% | -
2026-08-28 | 688288 | 鸿泉技术 | 计算机设备 | 18.6亿 | +13.83% | -
2026-08-28 | 600522 | 中天科技 | 通信设备 | 1144.4亿 | +14.35% | 预增
2026-08-28 | 688060 | 云涌科技 | 计算机设备 | 20.9亿 | +10.71% | -
2026-08-28 | 688296 | 和达科技 | 软件开发 | 26.5亿 | +68.99% | -
2026-08-28 | 688561 | 奇安信 | 软件开发 | 170.4亿 | -0.91% | -
2026-08-28 | 688509 | 正元地信 | IT服务Ⅱ | 16.4亿 | +6.00% | -
2026-08-28 | 688590 | 新致软件 | 软件开发 | 35.7亿 | +7.19% | -
2026-08-28 | 688095 | 福昕软件 | 软件开发 | 52.7亿 | +12.37% | -
2026-08-28 | 688058 | 宝兰德 | 软件开发 | 17.1亿 | +13.87% | -
2026-08-28 | 301315 | 威士顿 | 软件开发 | 35.6亿 | +13.27% | -
2026-08-28 | 301042 | 安联锐视 | 计算机设备 | 30.1亿 | +23.35% | -
2026-08-28 | 300691 | 联合光电 | 计算机设备 | 32.4亿 | +15.67% | -
2026-08-28 | 301556 | 托普云农 | IT服务Ⅱ | 16.9亿 | +4.09% | -
2026-08-28 | 300378 | 鼎捷数智 | 软件开发 | 82.8亿 | +10.03% | -
2026-08-28 | 300590 | 移为通信 | 通信设备 | 38.9亿 | +6.88% | 预增
2026-08-28 | 300555 | ST路通 | 通信设备 | 25.0亿 | +5.25% | -
2026-08-28 | 300469 | 信息发展 | 软件开发 | 137.7亿 | +15.03% | -
2026-08-28 | 300525 | 博思软件 | 软件开发 | 50.3亿 | +1.62% | -
2026-08-28 | 688695 | 中创股份 | 软件开发 | 10.3亿 | +11.79% | -
2026-08-28 | 300579 | 数字认证 | 软件开发 | 58.5亿 | +3.79% | 减亏
2026-08-28 | 300634 | 彩讯股份 | IT服务Ⅱ | 82.9亿 | +3.19% | -
2026-08-28 | 300678 | 中科信息 | IT服务Ⅱ | 63.8亿 | -5.76% | -
2026-08-28 | 301117 | ST佳缘 | 计算机设备 | 14.8亿 | -23.12% | -
2026-08-28 | 301638 | 南网数字 | IT服务Ⅱ | 56.2亿 | -6.57% | 预增
2026-08-28 | 003004 | 声迅股份 | 计算机设备 | 47.3亿 | +17.42% | 增亏
2026-08-28 | 300790 | 宇瞳光学 | 计算机设备 | 85.5亿 | +14.36% | -
2026-08-28 | 688620 | 安凯微 | 半导体 | 58.3亿 | +7.14% | 扭亏
2026-08-28 | 000062 | 深圳华强 | 其他电子Ⅱ | 231.7亿 | +2.93% | 预增
2026-08-28 | 300613 | 富瀚微 | 半导体 | 144.0亿 | +11.51% | 预增
2026-08-28 | 002152 | 广电运通 | 计算机设备 | 244.2亿 | -0.20% | -
2026-08-28 | 001298 | 好上好 | 其他电子Ⅱ | 72.2亿 | +10.19% | 预增
2026-08-28 | 603341 | 龙旗科技 | 消费电子 | 100.0亿 | -0.51% | -
2026-08-28 | 300088 | 长信科技 | 光学光电子 | 171.3亿 | +1.92% | -
2026-08-28 | 688595 | 芯海科技 | 半导体 | 39.3亿 | +1.64% | -
2026-08-28 | 300136 | 信维通信 | 消费电子 | 488.4亿 | -3.91% | -
2026-08-28 | 301067 | 显盈科技 | 消费电子 | 17.7亿 | +15.94% | -
2026-08-28 | 688262 | 国芯科技 | 半导体 | 88.0亿 | +9.04% | -
2026-08-28 | 688210 | 统联精密 | 消费电子 | 51.2亿 | +22.31% | -
2026-08-28 | 688478 | 晶升股份 | 半导体 | 64.1亿 | +7.08% | -
2026-08-28 | 300857 | 协创数据 | 消费电子 | 1137.8亿 | +14.08% | 预增
2026-08-28 | 300516 | 久之洋 | 其他电子Ⅱ | 77.2亿 | +9.68% | -
2026-08-28 | 688279 | 峰岹科技 | 半导体 | 177.9亿 | +20.70% | -
2026-08-28 | 300476 | 胜宏科技 | 元件 | 2136.1亿 | +22.46% | -
2026-08-28 | 688209 | 英集芯 | 半导体 | 96.1亿 | +4.82% | -
2026-08-28 | 688052 | 纳芯微 | 半导体 | 338.4亿 | +19.44% | 扭亏
2026-08-28 | 300903 | 科翔股份 | 元件 | 273.5亿 | +44.65% | -
2026-08-28 | 300968 | 格林精密 | 消费电子 | 42.2亿 | -3.13% | -
2026-08-28 | 688691 | 灿芯股份 | 半导体 | 45.5亿 | +2.62% | -
2026-08-28 | 301566 | 达利凯普 | 元件 | 51.1亿 | +8.70% | -
2026-08-28 | 300475 | 香农芯创 | 其他电子Ⅱ | 677.2亿 | +3.44% | 预增
2026-08-28 | 603685 | 晨丰科技 | 光学光电子 | 48.4亿 | -4.99% | -
2026-08-28 | 300346 | 南大光电 | 电子化学品Ⅱ | 357.0亿 | +6.00% | -
2026-08-28 | 300605 | 恒锋信息 | 软件开发 | 13.0亿 | +14.06% | -
2026-08-28 | 002992 | 宝明科技 | 光学光电子 | 53.1亿 | +3.19% | 增亏
2026-08-28 | 300408 | 三环集团 | 元件 | 2003.7亿 | -1.44% | 预增
2026-08-28 | 300784 | 利安科技 | 消费电子 | 6.9亿 | +8.50% | -
2026-08-28 | 688981 | 中芯国际 | 半导体 | 2424.7亿 | -7.44% | -
2026-08-28 | 300736 | 百邦科技 | 其他电子Ⅱ | 36.6亿 | +8.31% | -
2026-08-28 | 002222 | 福晶科技 | 光学光电子 | 300.1亿 | +21.99% | -
2026-08-28 | 688230 | 芯导科技 | 半导体 | 62.7亿 | +6.27% | -
2026-08-28 | 605058 | 澳弘电子 | 元件 | 38.0亿 | +12.60% | -
2026-08-28 | 002584 | 西陇科学 | 电子化学品Ⅱ | 38.0亿 | +11.68% | 扭亏
2026-08-28 | 300128 | 锦富技术 | 消费电子 | 62.9亿 | +14.12% | -
2026-08-28 | 002636 | 金安国纪 | 元件 | 448.0亿 | +13.34% | 预增
2026-08-28 | 002387 | 维信诺 | 光学光电子 | 100.7亿 | +0.28% | 增亏
2026-08-28 | 301326 | 捷邦科技 | 消费电子 | 76.5亿 | +34.02% | -
2026-08-28 | 688307 | 中润光学 | 光学光电子 | 59.1亿 | +21.84% | 预增
2026-08-28 | 688135 | 利扬芯片 | 半导体 | 58.6亿 | +17.12% | -
2026-08-28 | 688678 | 福立旺 | 消费电子 | 78.4亿 | +27.54% | 扭亏
2026-08-28 | 688728 | 格科微 | 半导体 | 393.2亿 | -4.72% | -
2026-08-28 | 301626 | 苏州天脉 | 消费电子 | 132.6亿 | +24.90% | -
2026-08-28 | 688775 | 影石创新 | 消费电子 | 311.1亿 | -10.08% | -
2026-08-28 | 002913 | 奥士康 | 元件 | 172.6亿 | +38.43% | 预减
2026-08-28 | 605218 | 伟时电子 | 光学光电子 | 32.7亿 | +20.20% | 首亏
2026-08-28 | 002745 | 木林森 | 光学光电子 | 117.9亿 | +5.02% | 预增
2026-08-28 | 000636 | 风华高科 | 元件 | 579.9亿 | +6.31% | 预增
2026-08-28 | 002888 | 惠威科技 | 消费电子 | 13.3亿 | +11.64% | -
2026-08-29 | 300766 | 每日互动 | 软件开发 | 75.2亿 | +0.10% | -
2026-08-29 | 603629 | 利通电子 | 消费电子 | 422.8亿 | +20.90% | 预增
2026-08-29 | 603328 | 依顿电子 | 元件 | 107.3亿 | +18.13% | 预减
2026-08-29 | 301269 | 华大九天 | 软件开发 | 513.4亿 | +4.11% | -
2026-08-29 | 301339 | 通行宝 | 计算机设备 | 64.0亿 | +2.57% | -
2026-08-29 | 300793 | 佳禾智能 | 消费电子 | 41.5亿 | +1.18% | -
2026-08-29 | 688244 | 永信至诚 | 软件开发 | 22.7亿 | +7.60% | -
2026-08-29 | 300752 | 隆利科技 | 光学光电子 | 24.3亿 | +12.76% | -
2026-08-29 | 301396 | 宏景科技 | IT服务Ⅱ | 240.5亿 | +14.02% | -
2026-08-29 | 301051 | 信濠光电 | 消费电子 | 39.0亿 | +32.69% | -
2026-08-29 | 603989 | 艾华集团 | 元件 | 107.0亿 | +3.11% | -
2026-08-29 | 301159 | 三维天地 | 软件开发 | 16.5亿 | +11.56% | -
2026-08-29 | 300831 | ST派瑞 | 半导体 | 27.7亿 | -0.40% | -
2026-08-29 | 002861 | 瀛通通讯 | 消费电子 | 23.2亿 | +6.49% | 增亏
2026-08-29 | 002681 | 奋达科技 | 消费电子 | 70.8亿 | +2.74% | 预减
2026-08-29 | 688246 | 嘉和美康 | 软件开发 | 23.6亿 | +3.49% | -
2026-08-29 | 603738 | 泰晶科技 | 元件 | 145.8亿 | +28.18% | 预增
2026-08-29 | 301095 | 广立微 | 软件开发 | 123.8亿 | +6.47% | -
2026-08-29 | 000066 | 中国长城 | 计算机设备 | 456.1亿 | +1.73% | 预增
2026-08-29 | 300300 | 海峡创新 | IT服务Ⅱ | 49.5亿 | +3.06% | -
2026-08-29 | 300913 | 兆龙互连 | 通信设备 | 101.4亿 | +7.87% | -
2026-08-29 | 300032 | 金龙机电 | 消费电子 | 31.2亿 | +10.51% | -
2026-08-29 | 003026 | 中晶科技 | 半导体 | 41.3亿 | +8.68% | 预增
2026-08-29 | 003019 | 宸展光电 | 光学光电子 | 43.2亿 | +12.32% | -
2026-08-29 | 002815 | 崇达技术 | 元件 | 102.5亿 | +15.80% | -
2026-08-29 | 688159 | 有方科技 | 通信设备 | 29.6亿 | +5.75% | -
2026-08-29 | 603327 | 福蓉科技 | 消费电子 | 99.6亿 | +10.56% | 预增
2026-08-29 | 600171 | 上海贝岭 | 半导体 | 160.6亿 | -0.26% | -
2026-08-29 | 301139 | *ST元道 | 通信服务 | 2.5亿 | -11.50% | -
2026-08-29 | 300303 | 聚飞光电 | 光学光电子 | 93.3亿 | -0.57% | -
2026-08-29 | 002161 | 远 望 谷 | 其他电子Ⅱ | 45.7亿 | +15.30% | 首亏
2026-08-29 | 300597 | 吉大通信 | 通信服务 | 21.3亿 | +11.81% | -
2026-08-29 | 301182 | 凯旺科技 | 计算机设备 | 59.6亿 | +32.69% | -
2026-08-29 | 300672 | 国科微 | 半导体 | 326.2亿 | +17.41% | -
2026-08-29 | 688651 | 盛邦安全 | 软件开发 | 10.6亿 | +9.26% | -
2026-08-29 | 300701 | 森霸传感 | 光学光电子 | 24.7亿 | +11.74% | -
2026-08-29 | 300710 | 万隆光电 | 通信设备 | 22.1亿 | +11.90% | -
2026-08-29 | 002077 | 大港股份 | 半导体 | 70.1亿 | +3.96% | 预增
2026-08-29 | 688489 | 三未信安 | 计算机设备 | 39.5亿 | +8.60% | 减亏
2026-08-29 | 688283 | 坤恒顺维 | 通信设备 | 34.1亿 | +11.87% | -
2026-08-29 | 000100 | TCL科技 | 光学光电子 | 989.8亿 | -0.20% | 预增
2026-08-29 | 000725 | 京东方Ａ | 光学光电子 | 2019.5亿 | +0.00% | 预增
2026-08-29 | 002106 | 莱宝高科 | 光学光电子 | 72.5亿 | +4.89% | -
2026-08-29 | 300661 | 圣邦股份 | 半导体 | 686.1亿 | +13.15% | -
2026-08-29 | 301600 | 慧翰股份 | 计算机设备 | 27.5亿 | -3.05% | -
2026-08-29 | 688010 | 福光股份 | 光学光电子 | 41.4亿 | +3.82% | -
2026-08-29 | 300223 | 君正股份 | 半导体 | 554.3亿 | +5.27% | 预增
2026-08-29 | 688008 | 澜起科技 | 半导体 | 2216.4亿 | -6.75% | 预增
2026-08-29 | 002467 | 二六三 | 通信服务 | 61.9亿 | -0.88% | 首亏
2026-08-29 | 300134 | 大富科技 | 通信设备 | 63.8亿 | +7.49% | -
2026-08-29 | 300429 | 强力新材 | 电子化学品Ⅱ | 45.7亿 | +16.51% | -
2026-08-29 | 300292 | 吴通控股 | 通信服务 | 47.1亿 | +2.43% | -
2026-08-29 | 300353 | 东土科技 | 通信设备 | 102.0亿 | +8.07% | -
2026-08-29 | 300513 | 恒实科技 | 通信服务 | 23.2亿 | +9.94% | -
2026-08-29 | 300560 | 中富通 | 通信服务 | 33.5亿 | +42.63% | -
2026-08-29 | 002104 | 恒宝股份 | 通信设备 | 67.6亿 | +11.90% | 首亏
2026-08-29 | 002289 | 宇顺电子 | 光学光电子 | 105.9亿 | +21.53% | 扭亏
2026-08-29 | 300098 | 高新兴 | 通信设备 | 69.4亿 | -1.32% | -
2026-08-29 | 688228 | 开普云 | IT服务Ⅱ | 54.2亿 | +30.43% | -
2026-08-29 | 688709 | 成都华微 | 半导体 | 55.6亿 | +0.28% | -
2026-08-29 | 300709 | 精研科技 | 消费电子 | 60.6亿 | +16.75% | -
2026-08-29 | 688652 | 京仪装备 | 半导体 | 173.6亿 | +3.95% | -
2026-08-29 | 301123 | 奕东电子 | 消费电子 | 122.5亿 | +21.76% | -
2026-08-29 | 688603 | 天承科技 | 电子化学品Ⅱ | 125.2亿 | +11.08% | 预增
2026-08-29 | 300229 | 拓尔思 | 软件开发 | 115.4亿 | +2.80% | -
2026-08-29 | 003005 | 竞业达 | IT服务Ⅱ | 17.2亿 | +10.95% | 增亏
2026-08-29 | 688535 | 华海诚科 | 半导体 | 128.9亿 | +2.01% | -
2026-08-29 | 300380 | 安硕信息 | 软件开发 | 36.8亿 | +1.91% | -
2026-08-29 | 688515 | 裕太微 | 半导体 | 72.8亿 | +2.92% | -
2026-08-29 | 688498 | 源杰科技 | 半导体 | 1896.2亿 | +25.77% | 预增
2026-08-29 | 300451 | 创业慧康 | 软件开发 | 53.1亿 | +2.65% | -
2026-08-29 | 301379 | 天山电子 | 光学光电子 | 45.6亿 | +4.66% | -
2026-08-29 | 000034 | 神州数码 | IT服务Ⅱ | 197.5亿 | -8.14% | -
2026-08-29 | 688372 | 伟测科技 | 半导体 | 201.6亿 | +4.40% | -
2026-08-29 | 300532 | 今天国际 | IT服务Ⅱ | 42.0亿 | +1.76% | -
2026-08-29 | 300264 | 佳创视讯 | IT服务Ⅱ | 23.8亿 | +4.21% | -
2026-08-29 | 688584 | 上海合晶 | 半导体 | 96.7亿 | +8.97% | -
2026-08-29 | 300085 | 银之杰 | 软件开发 | 193.6亿 | +2.73% | -
2026-08-29 | 300231 | 银信科技 | IT服务Ⅱ | 36.7亿 | +0.24% | -
