序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
180,920117,龙鑫智能,29.27,-1.35,-0.4,12122,35810713.26,3.57,30.18,29.12,29.68,29.67,6.0,30.78,2.52
181,300283,温州宏丰,12.94,-1.37,-0.18,100473,129864016.0,3.96,13.22,12.7,13.18,13.12,2.64,34.82,5.36
182,688737,中自科技,17.91,-1.43,-0.26,4003,7236806.0,2.92,18.35,17.82,18.17,18.17,0.33,155.48,1.21
183,688103,国力电子,72.52,-1.53,-1.13,7708,56498257.0,4.62,75.11,71.71,75.11,73.65,0.81,256.98,6.26
184,300088,长信科技,6.9,-1.57,-0.11,393420,272593119.88,3.42,7.07,6.83,7.01,7.01,1.58,89.91,2.01
185,002733,雄韬股份,18.24,-1.62,-0.3,54055,98207366.3,2.91,18.44,17.9,18.31,18.54,1.47,72.9,2.61
186,301631,壹连科技,60.69,-1.72,-1.06,10913,66535651.35,3.47,62.3,60.16,61.94,61.75,2.5,30.09,2.99
187,300217,东方电热,4.24,-1.85,-0.08,173985,73479375.0,2.31,4.29,4.19,4.22,4.32,1.4,76.29,1.48
188,688146,中船特气,242.41,-1.86,-4.59,37128,906799040.0,3.41,249.0,240.58,249.0,247.0,2.56,184.44,21.36
189,301121,紫建电子,34.99,-1.96,-0.7,3150,11125686.0,3.28,36.0,34.83,36.0,35.69,0.41,-198.49,2.09
190,301360,荣旗科技,53.42,-1.98,-1.08,15596,84204027.3,6.99,56.55,52.74,54.15,54.5,4.58,-1691.46,3.13
191,600641,先导基电,30.8,-2.1,-0.66,204116,631717011.0,4.83,31.88,30.36,31.36,31.46,2.19,69.39,3.47
192,002957,科瑞技术,40.14,-2.12,-0.87,65595,265483371.45,6.68,42.07,39.33,41.72,41.01,1.57,60.71,5.26
193,002455,百川股份,7.54,-2.2,-0.17,412820,309008040.82,3.5,7.64,7.37,7.62,7.71,6.25,38.49,1.95
194,003036,泰坦股份,50.3,-2.24,-1.15,25459,128819575.0,5.97,52.47,49.4,51.45,51.45,1.18,177.64,7.67
195,688388,嘉元科技,27.67,-2.26,-0.64,186561,515632026.0,4.77,28.5,27.15,28.5,28.31,2.83,23.88,2.19
196,688359,三孚新科,90.69,-2.27,-2.11,22240,201865862.0,4.17,92.87,89.0,92.01,92.8,2.23,389.4,12.55
197,300109,新开源,15.44,-2.28,-0.36,135597,211962529.06,4.81,16.07,15.31,15.8,15.8,2.6,44.09,2.66
198,003043,华亚智能,74.64,-2.32,-1.77,25030,188347330.6,3.73,77.16,74.31,77.0,76.41,2.66,148.46,5.13
199,603626,科森科技,19.58,-2.34,-0.47,303488,591062881.0,7.13,20.47,19.04,20.01,20.05,5.47,19.99,5.04
200,301511,德福科技,79.53,-2.39,-1.95,105560,837288937.43,4.86,81.64,77.68,81.02,81.48,2.65,95.14,11.86
201,688170,德龙激光,51.16,-2.39,-1.25,13271,68898898.0,5.21,53.33,50.6,52.6,52.41,1.28,-51.78,4.29
202,688686,奥普特,124.07,-2.58,-3.28,10663,134512110.0,4.7,129.49,123.5,127.36,127.35,0.87,44.47,4.76
203,001359,平安电工,84.51,-2.65,-2.3,14035,120449664.4,5.99,88.8,83.6,86.81,86.81,2.33,81.83,9.87
204,688683,莱尔科技,29.26,-2.73,-0.82,4195,12386019.0,3.19,30.12,29.16,29.97,30.08,0.26,93.13,3.9
205,688333,铂力特,102.76,-2.93,-3.1,42852,444213527.0,6.97,108.3,100.92,107.9,105.86,1.56,275.61,5.38
206,600552,凯盛科技,17.27,-3.03,-0.54,245392,426032227.0,4.72,17.85,17.01,17.81,17.81,2.6,129.06,3.77
207,603186,华正新材,169.34,-3.04,-5.31,122320,2103525610.0,7.66,179.25,165.88,177.21,174.65,7.8,214.67,11.44
208,301152,天力锂能,23.2,-3.25,-0.78,104618,245391033.82,4.09,23.97,22.99,23.87,23.98,14.74,81.48,2.27
209,300648,星云股份,39.53,-3.33,-1.36,26953,109000807.03,10.56,43.2,38.88,43.0,40.89,1.98,189.01,5.77
210,688323,瑞华泰,26.15,-3.82,-1.04,54614,144103950.0,7.8,27.91,25.79,27.8,27.19,2.73,-66.99,4.3
211,301326,捷邦科技,106.03,-3.91,-4.31,8947,96192065.76,6.11,111.96,105.22,110.58,110.34,1.24,-129.08,6.24
212,002176,江特电机,8.96,-4.17,-0.39,813297,722761689.92,2.67,9.01,8.76,8.94,9.35,4.78,-35.8,5.22
213,300632,光莆股份,17.72,-4.27,-0.79,60283,107450510.0,6.54,18.56,17.35,18.51,18.51,2.65,-109.84,3.2
214,301307,美利信,50.3,-4.28,-2.25,49163,248778910.17,7.25,53.5,49.69,52.45,52.55,4.5,-31.99,4.56
215,301513,尚水智能,46.65,-4.89,-2.4,9108,42607437.8,3.24,47.66,46.07,47.57,49.05,4.52,104.49,3.59
216,688559,海目星,52.54,-5.04,-2.79,87902,463988966.0,7.68,55.82,51.57,55.82,55.33,3.55,129.09,5.38
217,688529,豪森智能,15.33,-5.19,-0.84,23520,36503763.0,5.32,16.0,15.14,15.99,16.17,1.4,-3.03,3.89
218,300545,联得装备,31.65,-5.8,-1.95,115221,372534776.22,9.49,34.25,31.06,34.01,33.6,9.34,55.79,2.68
219,688638,誉辰智能,32.33,-5.85,-2.01,6446,21267890.0,5.88,34.22,32.2,34.01,34.34,2.44,-12.06,2.45
220,603959,ST百利,4.86,-6.18,-0.32,158415,78361479.0,8.11,5.12,4.7,5.0,5.18,3.23,-12.47,6094.61
221,688326,经纬恒润-W,58.79,-9.08,-5.87,23051,136599158.0,6.23,61.8,57.77,60.1,64.66,2.07,-9.23,1.9
222,603800,洪田股份,60.08,-9.19,-6.08,65591,409510268.0,13.98,68.9,59.65,68.31,66.16,3.15,-195.01,15.8
