证券代码,证券名称,sw_l1,股票代码,股票简称,首次预约,初次变更,二次变更,三次变更,实际披露
300120,经纬辉开,电子,300120,经纬辉开,2026-08-11,2026-08-29,,,
300136,信维通信,电子,300136,信维通信,2026-08-28,,,,
300162,雷曼光电,电子,300162,雷曼光电,2026-08-27,,,,
300223,君正股份,电子,300223,君正股份,2026-08-29,,,,
300303,聚飞光电,电子,300303,聚飞光电,2026-08-29,,,,
300346,南大光电,电子,300346,南大光电,2026-08-28,,,,
300398,飞凯材料,电子,300398,飞凯材料,2026-08-27,,,,
300408,三环集团,电子,300408,三环集团,2026-08-28,,,,
300429,强力新材,电子,300429,强力新材,2026-08-29,,,,
300456,赛微电子,电子,300456,赛微电子,2026-08-27,,,,
300476,胜宏科技,电子,300476,胜宏科技,2026-08-28,,,,
300493,润欣科技,电子,300493,润欣科技,2026-08-27,,,,
300516,久之洋,电子,300516,久之洋,2026-08-28,,,,
300537,广信材料,电子,300537,广信材料,2026-08-27,,,,
300604,长川科技,电子,300604,长川科技,2026-07-31,2026-08-29,,,
300613,富瀚微,电子,300613,富瀚微,2026-08-28,,,,
300655,晶瑞电材,电子,300655,晶瑞电材,2026-08-27,,,,
300661,圣邦股份,电子,300661,圣邦股份,2026-08-29,,,,
300672,国科微,电子,300672,国科微,2026-08-29,,,,
300701,森霸传感,电子,300701,森霸传感,2026-08-29,,,,
300709,精研科技,电子,300709,精研科技,2026-08-29,,,,
300736,百邦科技,电子,300736,百邦科技,2026-08-28,,,,
300752,隆利科技,电子,300752,隆利科技,2026-08-29,,,,
300793,佳禾智能,电子,300793,佳禾智能,2026-08-29,,,,
300831,ST派瑞,电子,300831,ST派瑞,2026-08-29,,,,
300857,协创数据,电子,300857,协创数据,2026-08-28,,,,
300866,安克创新,电子,300866,安克创新,2026-08-31,,,,
300903,科翔股份,电子,300903,科翔股份,2026-08-28,,,,
300968,格林精密,电子,300968,格林精密,2026-08-28,,,,
301051,信濠光电,电子,301051,信濠光电,2026-08-29,,,,
301067,显盈科技,电子,301067,显盈科技,2026-08-28,,,,
301180,万祥科技,电子,301180,万祥科技,2026-08-27,,,,
600171,上海贝岭,电子,600171,上海贝岭,2026-08-29,,,,
600353,旭光电子,电子,600353,旭光电子,2026-08-27,,,,
600707,彩虹股份,电子,600707,彩虹股份,2026-08-27,,,,
601231,环旭电子,电子,601231,环旭电子,2026-08-27,,,,
603186,华正新材,电子,603186,华正新材,2026-08-31,,,,
603297,永新光学,电子,603297,永新光学,2026-08-27,,,,
603327,福蓉科技,电子,603327,福蓉科技,2026-08-29,,,,
603328,依顿电子,电子,603328,依顿电子,2026-08-29,,,,
603629,利通电子,电子,603629,利通电子,2026-08-29,,,,
603685,晨丰科技,电子,603685,晨丰科技,2026-08-28,,,,
603738,泰晶科技,电子,603738,泰晶科技,2026-08-29,,,,
603989,艾华集团,电子,603989,艾华集团,2026-08-29,,,,
605058,澳弘电子,电子,605058,澳弘电子,2026-08-28,,,,
605218,伟时电子,电子,605218,伟时电子,2026-08-28,,,,
688008,澜起科技,电子,688008,澜起科技,2026-08-29,,,,
688010,福光股份,电子,688010,福光股份,2026-08-29,,,,
688019,安集科技,电子,688019,安集科技,2026-08-27,,,,
688020,方邦股份,电子,688020,方邦股份,2026-08-31,2026-08-28,,,
688103,国力电子,电子,688103,国力电子,2026-08-27,,,,
688107,安路科技,电子,688107,安路科技,2026-08-29,,,,
688135,利扬芯片,电子,688135,利扬芯片,2026-08-28,,,,
688195,腾景科技,电子,688195,腾景科技,2026-08-29,,,,
688200,华峰测控,电子,688200,华峰测控,2026-08-31,,,,
688216,气派科技,电子,688216,气派科技,2026-08-05,2026-08-28,,,
688230,芯导科技,电子,688230,芯导科技,2026-08-28,,,,
688233,神工股份,电子,688233,神工股份,2026-08-27,,,,
688299,长阳科技,电子,688299,长阳科技,2026-08-27,,,,
688519,南亚新材,电子,688519,南亚新材,2026-08-29,,,,
688601,力芯微,电子,688601,力芯微,2026-08-29,,,,
688678,福立旺,电子,688678,福立旺,2026-08-28,,,,
688711,宏微科技,电子,688711,宏微科技,2026-08-29,,,,
688728,格科微,电子,688728,格科微,2026-08-28,,,,
688981,中芯国际,电子,688981,中芯国际,2026-08-28,,,,
688210,统联精密,电子,688210,统联精密,2026-08-28,,,,
301189,奥尼电子,电子,301189,奥尼电子,2026-08-29,,,,
688262,国芯科技,电子,688262,国芯科技,2026-08-28,,,,
688220,翱捷科技,电子,688220,翱捷科技,2026-08-29,,,,
688173,希荻微,电子,688173,希荻微,2026-08-29,,,,
301123,奕东电子,电子,301123,奕东电子,2026-08-29,,,,
688270,ST臻镭,电子,688270,ST臻镭,2026-08-27,,,,
688150,莱特光电,电子,688150,莱特光电,2026-08-25,2026-08-31,,,
688048,长光华芯,电子,688048,长光华芯,2026-08-31,,,,
688209,英集芯,电子,688209,英集芯,2026-08-28,,,,
688279,峰岹科技,电子,688279,峰岹科技,2026-08-28,,,,
688052,纳芯微,电子,688052,纳芯微,2026-08-28,,,,
688325,赛微微电,电子,688325,赛微微电,2026-08-31,,,,
300475,香农芯创,电子,300475,香农芯创,2026-08-28,,,,
