股票代码,circulating_cap_yi,market_cap_yi,price,change_pct_1d
300857,1137.8,1143.6,233.7,-1.81
300866,386.8,735.5,125.07,2.43
300903,273.5,338.9,77.83,-1.42
300968,42.2,42.2,10.22,-1.26
301051,39.0,49.1,17.26,-3.36
301067,17.7,26.9,27.71,-3.35
301180,19.7,47.9,11.98,0.17
600171,160.6,160.6,22.66,0.98
600353,279.1,279.1,33.68,-4.62
600707,327.2,327.3,9.12,-1.62
601231,633.1,633.1,26.5,0.19
603186,265.4,265.4,169.29,-3.07
603297,116.1,116.1,104.85,-0.27
603327,99.6,99.6,9.53,-0.83
603328,107.3,107.3,10.75,-1.47
603629,422.8,429.8,117.21,-1.75
603685,48.4,60.7,24.0,-2.04
603738,145.8,145.8,37.79,0.24
603989,107.0,107.0,26.83,-2.12
605058,38.0,38.0,26.62,-0.97
605218,32.7,37.3,15.35,4.56
688008,2216.4,2363.1,193.61,-0.42
688010,41.4,41.4,25.78,-2.05
688019,523.9,523.9,229.42,-1.79
688020,97.3,97.3,118.12,-3.38
688103,69.0,69.0,72.4,-1.7
688107,119.6,119.6,29.83,-1.06
688135,58.6,58.6,25.12,-0.71
688195,295.7,295.7,163.27,-1.63
688200,767.3,767.3,382.14,-0.15
688216,31.1,33.5,29.26,-1.81
688230,62.7,62.7,53.34,-1.53
688233,181.6,181.6,106.63,-1.0
688299,37.0,37.0,12.86,-0.31
688519,659.8,659.8,280.55,-2.88
688601,66.8,66.8,49.95,0.52
688678,78.4,78.4,19.45,-2.94
688711,54.2,54.2,24.99,-1.3
688728,393.2,393.5,15.13,-0.85
688981,2424.7,10381.1,121.26,1.05
688210,51.2,51.2,31.47,1.52
301189,79.8,82.7,50.52,-1.04
688262,88.0,88.0,26.19,-0.72
688220,381.1,381.1,91.1,0.0
688173,55.6,56.1,13.51,-1.53
301123,122.5,174.2,74.24,-3.63
688270,176.8,176.8,59.02,-0.35
688150,149.5,149.5,37.14,-1.88
688048,495.8,495.8,281.28,-2.87
688209,96.1,96.1,22.16,-1.55
688279,177.9,218.9,190.12,4.1
688052,338.4,385.8,235.96,0.33
688325,87.1,91.6,105.99,0.46
300475,677.2,706.6,150.48,-2.09
688047,416.3,416.3,103.82,0.41
002841,244.9,328.5,46.98,0.15
002885,65.5,74.8,27.62,-2.92
002992,53.1,61.5,34.0,-0.41
300131,167.9,182.9,16.11,-1.04
300975,120.7,168.5,24.52,-2.0
600363,79.8,79.8,17.69,-0.28
688595,39.3,39.3,27.24,-0.8
688371,89.5,89.5,26.68,-0.89
688391,29.0,29.0,25.12,-1.06
301326,76.5,77.2,106.15,-3.8
301369,69.7,130.0,127.09,-1.99
688409,618.5,618.5,202.0,1.04
688372,201.6,201.6,119.32,-1.92
001298,72.2,76.7,17.73,0.11
301389,147.0,147.0,51.86,-0.46
301379,45.6,57.9,20.87,-3.6
688498,1896.2,1921.0,1543.0,-0.64
688141,529.7,529.7,117.63,0.26
688515,72.8,117.0,146.19,-1.52
603061,291.9,291.9,335.5,-1.2
688502,221.7,221.7,419.92,-1.69
688535,128.9,138.3,96.55,-1.68
688539,46.3,46.3,24.88,-1.54
688478,64.1,64.1,46.33,-3.08
688512,43.9,63.9,13.52,0.45
688458,30.7,36.6,32.77,-1.53
001373,12.0,19.6,28.55,-1.21
688620,58.3,58.3,14.86,-1.52
688603,125.2,125.2,100.38,-2.85
688347,958.5,4084.9,235.07,3.76
301348,39.8,49.4,20.57,-1.3
688548,449.9,449.9,34.1,-0.55
688693,28.1,53.2,72.21,-3.62
688702,733.8,1482.2,361.51,1.58
301489,78.0,130.3,112.08,-5.01
688652,173.6,241.6,143.79,0.15
301566,51.1,96.9,24.23,-2.34
688709,55.6,159.7,25.07,0.28
688584,96.7,188.6,28.18,-2.63
603341,100.0,195.3,37.38,1.25
301536,211.5,476.5,112.98,-1.05
688691,45.5,74.8,62.3,-1.83
688530,41.3,94.7,59.18,-4.75
300489,280.3,281.4,202.2,-6.96
300784,6.9,23.2,41.24,-1.08
001309,649.4,892.6,393.5,-0.89
688496,2.2,4.1,0.92,0.0
688721,22.2,53.8,40.28,-2.21
301626,132.6,291.5,251.99,-2.58
301628,25.3,68.4,90.7,0.2
688605,74.0,138.3,68.34,-1.81
688775,311.1,481.0,119.95,-2.25
688729,397.9,672.7,22.76,-0.57
301491,14.8,49.9,38.65,-1.07
603991,119.3,203.5,133.29,-0.89
603175,39.9,383.8,87.82,-1.04
688790,12.0,94.4,94.81,-0.4
688802,121.7,2628.8,657.04,0.27
688809,110.4,552.1,426.11,1.05
688785,35.6,177.8,262.63,-2.35
300128,62.9,63.0,4.85,-0.21
