股票代码,股票简称,sw_l1,首次预约,circulating_cap_yi,market_cap_yi,price,chg_20d_pct,latest_date,ago_date,err,预告方向,预告业绩变动详情,预告公告日期,已发预告
688232,新点软件,计算机,2026-08-27,58.6,58.6,18.19,4.0,2026-08-26,2026-07-29,,增亏,"预计2026年1-6月归属于上市公司股东的净利润亏损约:6,302.1万元,同比上年下降:1.36%左右,同比上年降低84.39万元左右。",2026-07-27,True
300449,汉邦高科,计算机,2026-08-27,27.2,27.2,7.04,6.99,2026-08-26,2026-07-29,,,,,False
301389,隆扬电子,电子,2026-08-27,147.0,147.0,51.86,13.78,2026-08-26,2026-07-29,,,,,False
301369,联动科技,电子,2026-08-27,69.7,130.0,127.09,3.72,2026-08-26,2026-07-29,,预增,"预计2026年1-6月归属于上市公司股东的净利润盈利:2,100万元至2,900万元,同比上年增长:73.39%至139.44%。",2026-07-07,True
688258,卓易信息,计算机,2026-08-27,110.2,110.2,90.94,-0.54,2026-08-26,2026-07-29,,,,,False
001232,嘉立创,电子,2026-08-27,64.9,815.3,146.76,,,,insufficient_bars(17),预增,"预计2026年1-6月归属于上市公司股东的净利润盈利:90,000万元至105,000万元,同比上年增长:51.59%至76.85%。",2026-07-30,True
002388,新亚制程,电子,2026-08-27,32.5,32.5,6.42,29.96,2026-08-26,2026-07-29,,首亏,"预计2026年1-6月归属于上市公司股东的净利润亏损:600万元至1,200万元。",2026-07-15,True
002993,奥海科技,电子,2026-08-27,89.4,103.5,37.51,5.96,2026-08-26,2026-07-29,,预减,"预计2026年1-6月归属于上市公司股东的净利润盈利:3,370万元至5,020万元,同比上年下降:78.75%至85.73%。",2026-07-15,True
300655,晶瑞电材,电子,2026-08-27,139.9,140.5,12.47,2.47,2026-08-26,2026-07-29,,,,,False
000839,国安股份,通信,2026-08-27,107.8,107.8,2.75,-2.48,2026-08-26,2026-07-29,,增亏,"预计2026年1-6月归属于上市公司股东的净利润亏损:12,300万元至17,500万元。",2026-07-15,True
002600,领益智造,电子,2026-08-27,884.2,997.2,12.28,0.49,2026-08-26,2026-07-29,,,,,False
