
=== 2025-01-14  n=153 ===
  002605 姚记科技     board=1 pct=10.0 turn=6.6 floatmkt~87.8亿
  002611 东方精工     board=1 pct=10.0 turn=15.4 floatmkt~110.8亿
  002630 *ST华西    board=1 pct=9.9 turn=9.7 floatmkt~39.0亿
  002636 金安国纪     board=1 pct=10.0 turn=1.3 floatmkt~53.9亿
  002656 摩登大道     board=1 pct=5.3 turn=0.9 floatmkt~8.5亿
  002660 茂硕电源     board=1 pct=10.0 turn=13.0 floatmkt~25.6亿
  002670 国盛证券     board=1 pct=10.0 turn=5.9 floatmkt~209.8亿
  002691 *ST冀凯    board=1 pct=10.0 turn=1.4 floatmkt~16.8亿
  002717 *ST岭南    board=1 pct=10.1 turn=19.8 floatmkt~54.3亿
  002806 华锋股份     board=1 pct=10.0 turn=7.6 floatmkt~19.3亿
  002815 崇达技术     board=1 pct=10.0 turn=11.1 floatmkt~67.1亿
  002826 易明医药     board=1 pct=10.0 turn=4.0 floatmkt~18.3亿
  002853 皮阿诺      board=1 pct=10.0 turn=5.5 floatmkt~14.4亿
  002878 元隆雅图     board=1 pct=10.0 turn=17.5 floatmkt~38.3亿
  002903 宇环数控     board=1 pct=10.0 turn=9.0 floatmkt~17.3亿
  002922 伊戈尔      board=1 pct=10.0 turn=12.1 floatmkt~63.4亿
  002960 青鸟智控     board=1 pct=10.0 turn=4.9 floatmkt~71.6亿
  002969 嘉美包装     board=1 pct=10.2 turn=0.5 floatmkt~29.8亿
  003003 天元股份     board=1 pct=10.0 turn=11.0 floatmkt~11.4亿
  003042 中农联合     board=1 pct=10.0 turn=5.6 floatmkt~20.7亿
  300013 新宁物流     board=1 pct=4.7 turn=2.1 floatmkt~13.8亿
  300029 ???      board=1 pct=5.1 turn=1.0 floatmkt~9.0亿
  300097 智云股份     board=1 pct=5.2 turn=5.1 floatmkt~13.9亿
  300165 天瑞仪器     board=1 pct=4.6 turn=2.2 floatmkt~12.2亿
  300323 华灿光电     board=1 pct=10.1 turn=14.9 floatmkt~69.1亿
  300419 ST浩丰     board=1 pct=5.2 turn=4.6 floatmkt~15.5亿
  300853 申昊科技     board=1 pct=9.9 turn=13.2 floatmkt~23.6亿
  300921 南凌科技     board=1 pct=10.0 turn=13.5 floatmkt~19.6亿
  301510 固高科技     board=1 pct=10.0 turn=3.1 floatmkt~69.2亿

=== 2025-02-10  n=113 ===
  605398 新炬网络     board=8 pct=10.0 turn=0.3 floatmkt~66.5亿
  002881 美格智能     board=6 pct=10.0 turn=1.3 floatmkt~106.7亿
  600120 浙江东方     board=5 pct=10.0 turn=22.3 floatmkt~246.7亿
  000818 航锦科技     board=5 pct=10.0 turn=1.1 floatmkt~166.6亿
  600126 杭钢股份     board=4 pct=10.0 turn=0.2 floatmkt~257.0亿
  600633 浙数文化     board=4 pct=10.0 turn=0.7 floatmkt~189.6亿
  002123 梦网科技     board=4 pct=10.0 turn=26.7 floatmkt~109.5亿
  002261 拓维信息     board=4 pct=10.0 turn=1.6 floatmkt~278.8亿
  603300 海南华铁     board=3 pct=10.0 turn=2.4 floatmkt~142.8亿
  603390 通达电气     board=3 pct=10.0 turn=20.1 floatmkt~41.8亿
  002036 联创电子     board=3 pct=10.0 turn=30.0 floatmkt~123.4亿
  600603 广汇物流     board=2 pct=5.0 turn=0.8 floatmkt~120.1亿
  600666 奥瑞德      board=2 pct=10.0 turn=1.0 floatmkt~66.8亿
  600785 新华百货     board=2 pct=10.0 turn=21.1 floatmkt~27.4亿
  600839 四川长虹     board=2 pct=10.0 turn=20.3 floatmkt~514.7亿
  601929 吉视传媒     board=2 pct=10.2 turn=5.9 floatmkt~74.6亿
  603007 顺景科技     board=2 pct=5.0 turn=2.5 floatmkt~49.4亿
  603716 塞力医疗     board=2 pct=10.0 turn=23.2 floatmkt~17.6亿
  603803 瑞斯康达     board=2 pct=10.0 turn=9.2 floatmkt~53.3亿
  603882 金域医学     board=2 pct=10.0 turn=6.1 floatmkt~146.1亿
  000034 神州数码     board=2 pct=10.0 turn=13.4 floatmkt~241.0亿
  000158 常山北明     board=2 pct=10.0 turn=19.4 floatmkt~384.7亿
  000536 华映科技     board=2 pct=10.0 turn=12.5 floatmkt~143.3亿
  000710 贝瑞基因     board=2 pct=10.0 turn=10.8 floatmkt~33.2亿
  000903 ST云动     board=2 pct=10.0 turn=12.8 floatmkt~60.9亿
  002016 世荣兆业     board=2 pct=10.0 turn=2.0 floatmkt~53.6亿
  002044 美年健康     board=2 pct=9.9 turn=7.0 floatmkt~200.2亿
  002175 *ST东智    board=2 pct=10.0 turn=28.7 floatmkt~70.0亿
  002306 ST云网     board=2 pct=10.0 turn=16.4 floatmkt~21.3亿
  002542 *ST中岩    board=2 pct=9.9 turn=10.5 floatmkt~63.8亿
  002647 仁东控股     board=2 pct=5.0 turn=3.7 floatmkt~32.5亿
  600006 东风股份     board=1 pct=10.0 turn=0.8 floatmkt~160.6亿
  600081 东风科技     board=1 pct=10.0 turn=0.8 floatmkt~65.8亿
  600178 东安动力     board=1 pct=10.0 turn=7.8 floatmkt~59.8亿
  600193 ???      board=1 pct=10.1 turn=3.8 floatmkt~14.8亿
  600289 ST信通     board=1 pct=5.1 turn=2.0 floatmkt~18.1亿
  600476 *ST湘邮    board=1 pct=10.0 turn=5.7 floatmkt~26.8亿
  600579 中化装备     board=1 pct=10.0 turn=7.8 floatmkt~44.3亿
  600589 大位科技     board=1 pct=10.1 turn=16.0 floatmkt~65.1亿
  600624 ST复华     board=1 pct=10.0 turn=2.9 floatmkt~46.0亿
