code,date,close,streak,yizi,open_gap,turn,amount,gain20,isST,board,bare_code,name
sz.002868,2025-04-03,16.31,1,False,3.44,2.0214,50173857.0,2.51,0,0.1,002868,绿康生化
sz.002868,2025-04-21,15.25,1,False,0.0,1.6768,38829183.0,-7.69,0,0.1,002868,绿康生化
sz.002868,2025-04-28,16.78,1,True,10.03,3.5543,91172485.56,7.63,0,0.1,002868,绿康生化
sz.002868,2025-04-30,17.62,1,False,1.31,6.5003,168375539.32,17.7,1,0.1,002868,绿康生化
sz.002875,2025-03-11,13.94,1,False,-0.95,9.4217,226269949.11,11.25,0,0.1,002875,安奈儿
sz.002879,2025-03-04,19.36,1,False,-2.1,14.3803,367013109.18,26.12,0,0.1,002879,长缆科技
sz.002880,2025-04-07,30.51,1,False,8.11,5.5609,381742902.79,15.48,0,0.1,002880,卫光生物
sz.002881,2025-04-14,44.99,1,False,10.0,2.1799,177505836.14,-11.72,0,0.1,002881,美格智能
sz.002882,2025-04-15,17.23,1,False,0.64,4.2559,177269387.0,-2.93,0,0.1,002882,金龙羽
sz.002885,2025-03-06,14.94,1,False,0.07,15.9614,546499997.5,13.96,0,0.1,002885,京泉华
sz.002885,2025-03-18,16.49,1,False,10.01,6.6951,256671239.32,25.59,0,0.1,002885,京泉华
sz.002888,2025-03-13,20.74,1,False,0.05,20.4119,322158119.73,10.03,0,0.1,002888,惠威科技
sz.002890,2025-03-19,12.42,1,False,3.28,3.1924,62758340.92,16.95,0,0.1,002890,弘宇股份
sz.002890,2025-04-08,10.73,1,False,0.1,3.2507,53503703.59,-0.46,0,0.1,002890,弘宇股份
sz.002891,2025-04-24,53.44,1,False,-1.56,4.0566,622063481.39,31.95,0,0.1,002891,中宠股份
sz.002892,2025-03-06,19.38,1,False,1.14,14.805,1117804195.54,5.56,0,0.1,002892,科力尔
sz.002896,2025-03-17,108.46,1,False,-1.83,17.0635,2644229428.81,52.74,0,0.1,002896,中大力德
sz.002896,2025-04-09,74.06,1,False,-0.49,14.0919,1467997306.38,-25.19,0,0.1,002896,中大力德
sz.002899,2025-03-17,27.01,1,False,1.22,11.8881,463500589.86,0.04,0,0.1,002899,英派斯
sz.002899,2025-04-10,18.38,1,False,1.92,4.4673,118651972.68,-26.16,0,0.1,002899,英派斯
sz.002899,2025-04-14,21.09,1,False,3.76,6.601,203468353.39,-14.09,0,0.1,002899,英派斯
sz.002900,2025-04-01,11.06,1,False,0.5,5.4254,101553675.2,9.83,0,0.1,002900,哈三联
sz.002900,2025-04-02,12.17,2,True,10.04,2.8668,60385106.0,23.3,0,0.1,002900,哈三联
sz.002900,2025-04-03,13.39,3,True,10.02,5.1823,120101471.1,35.25,0,0.1,002900,哈三联
sz.002900,2025-04-08,15.07,1,False,-10.0,41.4705,969508577.6,51.61,0,0.1,002900,哈三联
