序号,代码,名称,收盘价,涨跌幅,买方机构数,卖方机构数,机构买入总额,机构卖出总额,机构买入净额,市场总成交额,机构净买额占总成交额比,换手率,流通市值,上榜原因,上榜日期
1199,002837,英维克,40.21,10.0137,1,1,98387768.58,36784108.0,61603660.58,3909215919,1.575857201455,3.1027,338.8,连续三个交易日内，涨幅偏离值累计达到20%的证券,2025-07-31
1200,300490,华自科技,13.02,20.0,4,4,149129194.0,87752827.0,61376367.0,796977554,7.70114122938,16.6962,51.2,日涨幅达到15%的前5只证券,2025-11-27
1201,002779,中坚科技,111.89,8.6311,5,3,95823472.28,34476235.0,61347237.28,649501666,9.445277894022,5.1738,132.52,日振幅值达到15%的前5只证券,2025-02-17
1202,300690,双一科技,35.38,7.6034,4,1,140722483.73,79502837.42,61219646.31,2041046564,2.99942428506,52.0005,39.19,日换手率达到30%的前5只证券,2025-08-12
1203,002115,三维通信,9.65,10.0342,1,2,105380978.0,44189075.6,61191902.4,1579789411,3.873421480985,22.8175,72.59,日涨幅偏离值达到7%的前5只证券,2025-03-26
1204,301275,汉朔科技,66.92,143.3455,1,4,88195896.48,27029141.84,61166754.64,1686728861,3.626353710681,76.7712,21.25,无价格涨跌幅限制的证券,2025-03-11
1205,301123,奕东电子,47.81,20.005,2,0,71872207.77,10732988.75,61139219.02,1300398290,4.701576393183,12.727,111.68,日涨幅达到15%的前5只证券,2025-08-28
1206,002192,融捷股份,59.35,10.0093,3,3,265212366.37,204145827.32,61066539.05,4759597871,1.28301887481,14.0816,153.79,连续三个交易日内，涨幅偏离值累计达到20%的证券,2025-11-17
1207,002553,南方精工,25.0,6.929,2,1,139029275.0,77972887.0,61056388.0,2813127279,2.170409723577,46.4481,62.7,日换手率达到20%的前5只证券,2025-05-09
1208,300682,朗新科技,20.47,19.9883,3,2,126912141.1,65923037.0,60989104.1,2195885316,2.777426655919,11.5104,211.67,日涨幅达到15%的前5只证券,2025-06-16
1209,000766,通化金马,27.61,10.0,1,1,134097178.5,73191991.0,60905187.5,3757854468,1.620743645573,7.5129,266.71,连续三个交易日内，涨幅偏离值累计达到20%的证券,2025-06-16
1210,000070,特发信息,14.38,10.023,3,1,142359728.6,81460157.0,60899571.6,2315383377,2.630215462586,19.1212,127.79,日涨幅偏离值达到7%的前5只证券,2025-12-05
1211,301396,宏景科技,80.0,-13.4199,3,2,136512301.0,75636828.0,60875473.0,1456459822,4.179687766217,35.5153,39.85,日换手率达到30%的前5只证券,2025-04-07
1212,300255,常山药业,43.41,15.1154,3,2,237411546.85,176546449.6,60865097.25,2894884104,2.102505491184,7.54,397.67,日涨幅达到15%的前5只证券,2025-06-06
1213,300738,奥飞数据,19.92,20.0,1,0,67984887.52,7177757.02,60807130.5,3194031630,1.903773585987,17.9762,194.67,日涨幅达到15%的前5只证券,2025-02-20
1214,300300,海峡创新,10.25,20.0234,3,2,140812793.46,80011099.0,60801694.46,2686239387,2.263450337086,42.5625,68.35,日涨幅达到15%的前5只证券,2025-10-31
1215,300300,海峡创新,10.25,20.0234,3,2,140812793.46,80011099.0,60801694.46,2686239387,2.263450337086,42.5625,68.35,日换手率达到30%的前5只证券,2025-10-31
1216,300589,江龙船艇,19.58,2.0855,3,0,92195222.02,31407647.02,60787575.0,2472969574,2.458080181782,55.3267,45.35,日换手率达到30%的前5只证券,2025-11-20
1217,300455,航天智装,22.48,5.6888,2,0,115061338.18,54346351.19,60714986.99,4686150728,1.295625994854,13.3567,159.3,连续三个交易日内，涨幅偏离值累计达到30%的证券,2025-10-28
1218,002213,大为股份,21.51,-0.7841,5,2,163460414.0,102757760.72,60702653.28,1618315151,3.750978494052,35.2314,44.46,日换手率达到20%的前5只证券,2025-10-10
1219,688136,科兴制药,41.81,15.5611,3,2,73803091.79,13102560.44,60700531.35,278438800,21.800313515932,3.4637,83.47,有价格涨跌幅限制的日收盘价格涨幅达到15%的前五只证券,2025-05-20
