code,date,close,preclose,pct_chg,turn,amount,circ_mktcap_yi,board_number,is_first_board,ret_20d_prior,isST,board
sz.002813,2025-05-20,29.27,26.61,9.996242014280355,4.2958,150703034.4,35.08148293682202,3,False,33.116558279139575,0,MAIN
sz.002528,2025-05-06,2.35,2.24,4.910714285714279,2.0592,49902049.05,24.233706803613046,3,False,-5.084745762711851,1,MAIN
sh.600110,2025-06-19,4.68,4.25,10.11764705882352,14.7895,1183668888.45,80.03440876635452,3,False,21.776504297994272,0,MAIN
sz.000889,2025-06-06,3.6,3.27,10.09174311926606,1.3818,43271128.8,31.31504472427269,3,False,20.66420664206643,0,MAIN
sz.002263,2025-06-26,3.41,3.1,10.000000000000009,24.7524,1543688191.2,62.36519251466524,3,False,16.104868913857693,0,MAIN
sh.600980,2025-06-11,22.75,20.68,10.009671179883938,9.8005,391180647.74,39.91435617978675,3,False,23.684210526315795,0,MAIN
sh.601022,2025-05-15,11.12,10.11,9.990108803165176,2.7859,77024904.0,27.648122330306187,3,False,23.44322344322345,0,MAIN
sh.601279,2025-06-13,4.8,4.36,10.091743119266038,1.0293,78345921.6,76.11573069076069,3,False,17.83783783783783,0,MAIN
sh.601579,2025-05-28,25.81,23.46,10.017050298380203,12.0063,1465495337.16,122.06052965193275,3,False,76.78975131876413,0,MAIN
sh.601606,2025-06-20,18.36,16.69,10.005991611743536,15.5161,1995074795.53,128.5809446658632,3,False,24.64525765496639,0,MAIN
sh.603007,2025-05-12,5.53,5.27,4.933586337760931,4.2971,118263677.54,27.521741998091734,3,False,17.371937639198197,1,MAIN
sh.603007,2025-05-27,5.99,5.7,5.087719298245608,0.9488,28132758.39,29.65088363195616,3,False,19.999999999999996,1,MAIN
sh.603017,2025-06-04,11.87,10.79,10.00926784059315,8.8372,273679854.6,30.969068777440825,3,False,31.585365853658544,0,MAIN
sh.603022,2025-06-24,11.29,10.26,10.038986354775826,3.9276,88685851.53,22.580163848151546,3,False,18.20276497695852,0,MAIN
sh.603030,2025-05-06,2.9,2.64,9.84848484848484,4.6694,178327670.0,38.19070330235147,3,False,6.882591093117396,0,MAIN
