序号,营业部名称,上榜日,买入个股数,卖出个股数,买入总金额,卖出总金额,总买卖净额,买入股票,营业部代码
1232,中国中金财富证券有限公司泉州丰泽街证券营业部,2025-01-10,0,1,,11505731.0,-11505731.0,中化装备,10436603
1233,中原证券股份有限公司西峡人民路证券营业部,2025-01-10,0,1,269610.0,11799499.0,-11529889.0,飞龙股份,10199794
1234,招商证券股份有限公司扬州汶河北路证券营业部,2025-01-13,0,1,2496.0,11654180.0,-11651684.0,神剑股份,10046635
1235,中信建投证券股份有限公司龙岩龙岩大道证券营业部,2025-01-16,0,1,0.0,11879430.0,-11879430.0,ST汇洲,10777275
1236,光大证券股份有限公司烟台锦华街证券营业部,2025-01-17,0,1,132250.0,12020080.0,-11887830.0,康强电子,10104772
1237,华福证券有限责任公司龙岩解放南路证券营业部,2025-01-15,0,1,0.0,11903547.0,-11903547.0,壹网壹创,10083431
1238,中国银河证券股份有限公司上海浦东新区源深路证券营业部,2025-01-10,0,1,,11912625.0,-11912625.0,江钨装备,10030475
1239,国信证券股份有限公司渭南金水路证券营业部,2025-01-10,0,1,,11921510.0,-11921510.0,奥康国际,10436986
1240,国泰君安证券股份有限公司桂林穿山东路证券营业部,2025-01-13,0,1,,11939769.0,-11939769.0,福达股份,10134436
1241,东方证券股份有限公司厦门仙岳路证券营业部,2025-01-14,0,1,,11950203.0,-11950203.0,麦迪科技,10492163
1242,华泰证券股份有限公司郑州如意西路证券营业部,2025-01-14,0,1,14035447.96,25992449.2,-11957001.24,国星光电,10133760
1243,恒泰证券股份有限公司杭州民和路证券营业部,2025-01-17,0,1,,11986732.0,-11986732.0,德创环保,10495051
1244,申万宏源证券有限公司上海浦东新区世纪大道证券营业部,2025-01-10,0,1,0.0,12032096.0,-12032096.0,金奥博,10103995
1245,财通证券股份有限公司宁波分公司,2025-01-17,0,1,,12256642.0,-12256642.0,德创环保,10484949
1246,联储证券股份有限公司浙江分公司,2025-01-10,1,1,23750251.78,36042795.35,-12292543.57,飞龙股份 雄韬股份,10638001
1247,中泰证券股份有限公司深圳分公司,2025-01-10,0,1,,12447077.0,-12447077.0,银座股份,10484895
1248,申万宏源证券有限公司上海松江区人民北路证券营业部,2025-01-13,0,1,1494154.0,14035558.0,-12541404.0,好想你,10021690
1249,兴业证券股份有限公司福州浦上大道证券营业部,2025-01-16,0,1,,12577546.0,-12577546.0,共进股份,10637695
1250,申万宏源证券有限公司上海第二分公司,2025-01-10,0,1,,12618310.0,-12618310.0,福莱新材,10372201
1251,中国银河证券股份有限公司张家港人民中路证券营业部,2025-01-17,0,1,2580.0,12625994.0,-12623414.0,科泰电源,10499356
1252,中泰证券股份有限公司北京总部证券营业部,2025-01-17,0,1,11980.0,12657264.0,-12645284.0,东港股份,10442687
1253,方正证券股份有限公司杭州平澜路证券营业部,2025-01-14,0,2,0.0,12654972.75,-12654972.75,*ST博信 云里物里,10034057
1254,财信证券股份有限公司西安大庆路证券营业部,2025-01-16,0,1,0.0,12681745.0,-12681745.0,挖金客,10517948
1255,东方财富证券股份有限公司上海东方路证券营业部,2025-01-16,2,1,84390715.1,97082571.0,-12691855.9,共进股份 三维通信,10028472
