code,date,open,high,low,close,preclose,volume,amount,turn,isST,board,limitpct,limit_price,is_zt,pct_chg
sh.600250,2025-06-11,11.45,12.8,11.45,12.8,11.64,57545590.0,697628024.79,18.5276,0,MAIN,0.1,12.8,True,9.965635738831624
sh.600250,2025-06-12,13.0,14.08,12.99,14.08,12.8,43050012.0,595102177.32,13.8605,0,MAIN,0.1,14.08,True,9.999999999999986
sh.600250,2025-06-26,10.72,11.74,10.59,11.74,10.67,49805698.0,557469708.65,16.0356,0,MAIN,0.1,11.74,True,10.028116213683225
sh.600259,2025-05-06,37.03,39.59,36.98,39.59,35.99,29803883.0,1166261755.24,8.8587,0,MAIN,0.1,39.59,True,10.002778549597124
sh.600259,2025-05-20,42.12,46.64,42.05,46.64,42.4,37939552.0,1705182415.28,11.2769,0,MAIN,0.1,46.64,True,10.000000000000009
sh.600259,2025-06-03,43.8,47.3,43.46,47.3,43.0,28763697.0,1329815251.35,8.5495,0,MAIN,0.1,47.3,True,9.999999999999986
sh.600259,2025-06-04,47.3,52.03,47.2,52.03,47.3,24526382.0,1230861759.66,7.2901,0,MAIN,0.1,52.03,True,10.000000000000009
sh.600259,2025-06-16,55.0,61.38,55.0,61.38,55.8,49607289.0,2976312723.01,14.7449,0,MAIN,0.1,61.38,True,10.000000000000009
sh.600262,2025-05-07,21.52,23.63,21.52,23.63,21.48,20961889.0,485241480.83,12.3305,0,MAIN,0.1,23.63,True,10.009310986964604
sh.600265,2025-05-19,15.43,16.15,15.41,16.15,15.38,1890500.0,29824856.0,1.4565,1,MAIN,0.05,16.15,True,5.006501950585163
sh.600265,2025-06-20,16.92,17.33,16.63,17.33,16.5,1222382.0,20990539.06,0.9417,1,MAIN,0.05,17.32,True,5.030303030303029
sh.600265,2025-06-30,16.85,17.69,16.85,17.69,16.85,1544900.0,27274701.0,1.1902,1,MAIN,0.05,17.69,True,4.985163204747778
sh.600279,2025-05-21,5.75,6.29,5.56,6.29,5.72,94697733.0,587882628.33,7.9788,0,MAIN,0.1,6.29,True,9.965034965034981
sh.600279,2025-05-22,6.01,6.92,5.92,6.92,6.29,125992395.0,800166951.49,10.6156,0,MAIN,0.1,6.92,True,10.015898251192358
sh.600280,2025-06-12,3.56,3.89,3.55,3.89,3.54,149956969.0,563898782.44,13.2901,0,MAIN,0.1,3.89,True,9.887005649717517
sh.600281,2025-05-06,3.98,4.68,3.97,4.68,4.25,77734530.0,344984986.92,15.1116,0,MAIN,0.1,4.68,True,10.11764705882352
sh.600281,2025-05-12,4.43,4.74,4.43,4.74,4.31,49895281.0,234300852.94,9.6997,0,MAIN,0.1,4.74,True,9.976798143851529
sh.600281,2025-05-16,4.51,5.05,4.48,5.05,4.59,90809670.0,447615445.5,17.6534,0,MAIN,0.1,5.05,True,10.02178649237473
sh.600281,2025-05-19,5.2,5.56,5.11,5.56,5.05,103530705.0,556699390.09,20.1264,0,MAIN,0.1,5.56,True,10.099009900990087
sh.600281,2025-06-11,5.37,6.0,5.33,6.0,5.45,52470805.0,307268801.5,10.2003,0,MAIN,0.1,6.0,True,10.091743119266061
sh.600281,2025-06-12,6.6,6.6,6.29,6.6,6.0,92589148.0,606684440.38,17.9994,0,MAIN,0.1,6.6,True,9.999999999999986
sh.600281,2025-06-13,6.71,7.26,6.71,7.26,6.6,154077327.0,1098052790.53,29.9527,0,MAIN,0.1,7.26,True,10.000000000000009
sh.600281,2025-06-17,7.3,8.45,7.3,8.45,7.68,172740750.0,1393169134.34,33.5809,0,MAIN,0.1,8.45,True,10.026041666666652
sh.600281,2025-06-27,6.29,6.84,6.29,6.84,6.22,65738431.0,444337631.04,12.7796,0,MAIN,0.1,6.84,True,9.967845659163999
sh.600284,2025-05-13,6.43,7.06,6.43,7.06,6.42,73743494.0,506885684.03,7.6004,0,MAIN,0.1,7.06,True,9.968847352024923
sh.600289,2025-05-13,5.71,5.92,5.62,5.92,5.64,18179485.0,106644598.3,3.2124,1,MAIN,0.05,5.92,True,4.964539007092195
sh.600289,2025-06-04,5.02,5.28,5.01,5.28,5.03,9779848.0,51346039.45,1.7281,1,MAIN,0.05,5.28,True,4.97017892644136
sh.600289,2025-06-05,5.29,5.54,5.29,5.54,5.28,6004700.0,32771850.0,1.061,1,MAIN,0.05,5.54,True,4.924242424242431
sh.600289,2025-06-06,5.82,5.82,5.75,5.82,5.54,6469601.0,37622561.82,1.1432,1,MAIN,0.05,5.82,True,5.054151624548742
sh.600289,2025-06-17,5.81,6.15,5.76,6.15,5.86,17691882.0,107191420.51,3.1262,1,MAIN,0.05,6.15,True,4.948805460750849
sh.600289,2025-06-18,6.24,6.46,6.17,6.46,6.15,18795453.0,120886214.94,3.3212,1,MAIN,0.05,6.46,True,5.040650406504055
sh.600289,2025-06-20,6.18,6.47,6.18,6.47,6.16,11383740.0,72409795.0,2.0115,1,MAIN,0.05,6.47,True,5.032467532467533
sh.600289,2025-06-23,6.58,6.79,6.47,6.79,6.47,19590820.0,131101778.56,3.4617,1,MAIN,0.05,6.79,True,4.945904173106652
sh.600289,2025-06-24,6.7,7.13,6.7,7.13,6.79,8349812.0,58523541.54,1.4754,1,MAIN,0.05,7.13,True,5.007363770250373
sh.600289,2025-06-25,7.38,7.49,7.3,7.49,7.13,3793800.0,28190300.0,0.6704,1,MAIN,0.05,7.49,True,5.049088359046294
sh.600289,2025-06-27,7.3,7.62,7.3,7.62,7.26,20902049.0,158254339.78,3.6934,1,MAIN,0.05,7.62,True,4.958677685950419
sh.600302,2025-06-18,5.95,6.53,5.87,6.53,5.94,26727630.0,171245875.9,7.7245,0,MAIN,0.1,6.53,True,9.932659932659927
sh.600303,2025-05-06,3.89,4.24,3.89,4.24,3.85,44936600.0,187045682.0,6.6513,0,MAIN,0.1,4.24,True,10.129870129870122
sh.600318,2025-06-25,9.16,9.9,9.01,9.9,9.0,158344635.0,1542537194.92,30.8828,0,MAIN,0.1,9.9,True,10.000000000000009
sh.600319,2025-06-30,5.94,6.53,5.91,6.53,5.94,31590536.0,202742835.71,10.0099,0,MAIN,0.1,6.53,True,9.932659932659927
sh.600322,2025-06-06,2.46,2.71,2.46,2.71,2.46,88335526.0,231082272.97,7.9891,0,MAIN,0.1,2.71,True,10.162601626016254
sh.600336,2025-05-19,7.4,7.66,7.32,7.66,6.96,39134836.0,297110914.76,4.904,0,MAIN,0.1,7.66,True,10.057471264367823
sh.600340,2025-05-16,2.59,2.83,2.59,2.83,2.57,212610044.0,580325154.84,5.4608,0,MAIN,0.1,2.83,True,10.116731517509736
sh.600340,2025-05-19,3.11,3.11,3.0,3.11,2.83,78208259.0,242843357.09,2.0088,0,MAIN,0.1,3.11,True,9.893992932862194
sh.600343,2025-05-19,11.97,13.06,11.9,13.06,11.87,28696240.0,355548485.4,4.4964,0,MAIN,0.1,13.06,True,10.025273799494538
sh.600353,2025-06-09,10.25,10.84,10.25,10.84,9.85,48928908.0,525116318.92,5.9035,0,MAIN,0.1,10.84,True,10.050761421319798
sh.600353,2025-06-10,11.6,11.92,11.35,11.92,10.84,71079866.0,838760715.52,8.5761,0,MAIN,0.1,11.92,True,9.963099630996307
sh.600355,2025-05-15,2.48,2.56,2.46,2.56,2.44,45061006.0,114399838.36,9.1571,1,MAIN,0.05,2.56,True,4.918032786885251
sh.600355,2025-05-21,2.65,2.8,2.61,2.8,2.67,56647635.0,154680964.42,11.5117,1,MAIN,0.05,2.8,True,4.868913857677892
sh.600355,2025-05-27,2.7,2.85,2.69,2.85,2.71,68478403.0,192863245.53,13.9159,1,MAIN,0.05,2.85,True,5.166051660516602
sh.600355,2025-05-28,2.99,2.99,2.83,2.99,2.85,62538011.0,183795568.27,12.7087,1,MAIN,0.05,2.99,True,4.912280701754401
sh.600355,2025-06-04,2.87,3.01,2.87,3.01,2.87,40148270.0,118975846.7,8.1587,1,MAIN,0.05,3.01,True,4.878048780487787
sh.600355,2025-06-23,2.86,2.99,2.86,2.99,2.85,15781700.0,46724241.0,3.2071,1,MAIN,0.05,2.99,True,4.912280701754401
sh.600358,2025-05-14,4.55,4.73,4.48,4.73,4.5,11587501.0,53825413.73,2.2948,1,MAIN,0.05,4.73,True,5.111111111111111
sh.600358,2025-05-29,4.97,4.97,4.97,4.97,4.73,1027700.0,5107669.0,0.2035,1,MAIN,0.05,4.97,True,5.073995771670181
sh.600358,2025-05-30,5.22,5.22,5.22,5.22,4.97,243800.0,1272636.0,0.0483,1,MAIN,0.05,5.22,True,5.030181086519114
sh.600358,2025-06-03,5.48,5.48,5.48,5.48,5.22,2606900.0,14285812.0,0.5163,1,MAIN,0.05,5.48,True,4.9808429118774145
sh.600358,2025-06-04,5.75,5.75,5.75,5.75,5.48,4756197.0,27348132.75,0.9419,1,MAIN,0.05,5.75,True,4.92700729927007
sh.600358,2025-06-05,6.04,6.04,6.04,6.04,5.75,2772600.0,16746504.0,0.5491,1,MAIN,0.05,6.04,True,5.043478260869572
sh.600358,2025-06-06,6.34,6.34,6.34,6.34,6.04,2048001.0,12984326.34,0.4056,1,MAIN,0.05,6.34,True,4.966887417218535
