code,date,open,high,low,close,preclose,volume,amount,turn,isST,pct,board,limit_price,is_limitup,streak,circ_mkt_est,close_20d_ago,ret_20d_pre,code6,name
sz.002868,2025-11-12,36.77,36.77,34.7,36.77,35.02,6236376.0,225958858.43,4.0485,1,0.05,ST,36.77,True,5,5581298219.834507,26.17,0.4050439434466948,002868,绿康生化
sh.603813,2025-11-13,38.63,39.76,38.6,39.76,37.87,1071700.0,42314830.0,1.0205,1,0.05,ST,39.76,True,5,4146480156.7858896,26.88,0.47916666666666674,603813,原尚股份
sz.000632,2025-11-13,7.23,7.23,7.01,7.23,6.57,66012257.0,475708150.83,14.1815,0,0.1,主板,7.23,True,5,3354427605.18986,3.87,0.8682170542635659,000632,ST三木
sh.600693,2025-11-14,9.82,11.0,9.82,11.0,10.0,63149052.0,666663166.0,7.2673,0,0.1,主板,11.0,True,5,9173464230.181772,5.82,0.8900343642611683,600693,东百集团
sh.600829,2025-11-14,15.13,15.13,14.68,15.13,13.75,42763282.0,645230353.3,7.3744,0,0.1,主板,15.13,True,5,8749597978.140594,8.01,0.8888888888888891,600829,人民同泰
sh.603778,2025-11-14,8.01,8.5,7.82,8.5,7.73,185564467.0,1517258515.44,28.8656,0,0.1,主板,8.5,True,5,5256286082.534227,4.39,0.9362186788154898,603778,国晟科技
sh.600408,2025-11-17,6.3,6.89,5.65,6.89,6.26,413392534.0,2701006720.83,41.06,0,0.1,主板,6.89,True,5,6578194644.008767,3.27,1.1070336391437308,600408,安泰集团
sz.000407,2025-11-17,6.09,6.09,6.09,6.09,5.54,8471555.0,51591769.95,0.9673,0,0.1,主板,6.09,True,5,5333585232.08932,3.79,0.6068601583113455,000407,胜利股份
sh.601566,2025-11-18,15.22,15.22,15.22,15.22,13.84,19898723.0,302858564.06,3.4628,0,0.1,主板,15.22,True,5,8746059953.217049,8.99,0.6929922135706341,601566,九牧王
sh.603843,2025-11-18,8.47,8.66,8.26,8.66,8.25,69829172.0,600226384.14,9.981,1,0.05,ST,8.66,True,5,6013689852.119026,5.32,0.6278195488721805,603843,*ST正平
sz.003041,2025-11-18,48.88,49.63,48.0,49.63,45.12,3730712.0,183120783.56,2.7267,0,0.1,主板,49.63,True,5,6715839056.735248,27.06,0.8340724316334074,003041,真爱美家
sz.000798,2025-11-20,13.72,13.72,13.1,13.72,12.47,54573812.0,746440349.64,14.9176,0,0.1,主板,13.72,True,5,5003756298.86845,8.33,0.6470588235294119,000798,中水渔业
sh.603398,2025-11-21,10.46,10.46,10.26,10.46,9.96,14768280.0,154361214.8,3.4056,1,0.05,ST,10.46,True,5,4532570319.473808,8.04,0.30099502487562213,603398,*ST沐邦
sh.603216,2025-11-25,23.63,25.29,22.76,25.29,22.99,27173994.0,657022782.62,12.2026,0,0.1,主板,25.29,True,5,5384285173.815416,16.4,0.5420731707317075,603216,梦天家居
sh.600734,2025-11-26,6.15,6.15,6.15,6.15,5.59,44017921.0,270710214.15,2.0212,0,0.1,主板,6.15,True,5,13393539192.06412,3.5,0.7571428571428573,600734,*ST实达
sz.000691,2025-12-01,10.44,10.44,10.44,10.44,9.94,783000.0,8174520.0,0.2422,1,0.05,ST,10.44,True,5,3375111478.117259,12.32,-0.15259740259740262,000691,亚太实业
sz.002702,2025-12-02,8.47,8.76,7.62,8.76,7.96,147232550.0,1239357359.29,32.0947,0,0.1,主板,8.76,True,5,3861563932.019928,4.93,0.7768762677484788,002702,海欣食品
sz.000078,2025-12-03,4.2,4.52,4.18,4.52,4.11,182542274.0,803241088.44,6.9502,0,0.1,主板,4.52,True,5,11557093154.729362,2.58,0.7519379844961238,000078,ST海王
sz.002632,2025-12-03,15.9,16.56,15.2,16.56,15.05,192705024.0,3126497624.58,33.1173,0,0.1,主板,16.56,True,5,9440677907.256933,10.65,0.5549295774647887,002632,道明光学
sh.603696,2025-12-08,21.42,21.42,21.42,21.42,19.47,3615873.0,77451999.66,1.5374,0,0.1,主板,21.42,True,5,5037856098.608039,13.95,0.5354838709677421,603696,安记食品
sh.603386,2025-12-09,17.02,20.15,17.02,20.15,18.32,78749805.0,1470764255.71,24.1325,0,0.1,主板,20.15,True,5,6094537473.158604,12.82,0.5717628705148206,603386,骏亚科技
sz.002682,2025-12-09,9.5,9.54,9.3,9.54,8.67,102078155.0,969991024.95,18.1517,0,0.1,主板,9.54,True,5,5343802646.30861,5.18,0.8416988416988416,002682,龙洲股份
sh.600693,2025-12-11,14.28,14.92,13.53,14.92,13.56,217096008.0,3171232801.62,24.9836,0,0.1,主板,14.92,True,5,12693257983.717318,10.0,0.492,600693,东百集团
sz.001270,2025-12-16,67.49,67.49,67.49,67.49,64.28,475479.0,32090077.71,0.2337,1,0.05,ST,67.49,True,5,13731312670.089859,44.91,0.5027833444667111,001270,铖昌科技
sh.600165,2025-12-17,3.62,3.62,3.62,3.62,3.45,51600.0,186792.0,0.007,1,0.05,ST,3.62,True,5,2668457142.857143,4.08,-0.11274509803921573,600165,宁科生物
sh.600865,2025-12-17,15.82,15.82,15.11,15.82,14.38,89942487.0,1414820235.82,23.9056,0,0.1,主板,15.82,True,5,5918363211.214108,9.54,0.658280922431866,600865,百大集团
sz.001331,2025-12-18,23.76,23.76,23.76,23.76,21.6,830885.0,19741827.6,0.4949,0,0.1,主板,23.76,True,5,3989053869.4685793,13.86,0.7142857142857144,001331,胜通能源
sz.002788,2025-12-23,17.0,18.5,15.92,18.5,16.82,98928011.0,1723798704.97,25.9114,0,0.1,主板,18.5,True,5,6652665255.331631,9.78,0.8916155419222904,002788,鹭燕医药
sz.002969,2025-12-23,7.35,7.35,7.35,7.35,6.68,5292209.0,38897736.15,0.5575,0,0.1,主板,7.35,True,5,6977172403.587444,3.71,0.9811320754716981,002969,嘉美包装
sz.002361,2025-12-24,9.57,10.88,9.57,10.88,9.89,259862635.0,2647395139.65,32.1166,0,0.1,主板,10.88,True,5,8243074110.11751,6.27,0.7352472089314197,002361,神剑股份
sh.600179,2025-12-26,6.07,6.55,5.95,6.55,5.95,595086013.0,3743930688.43,15.4076,0,0.1,主板,6.55,True,5,24299246400.672394,4.14,0.5821256038647344,600179,安通控股
sz.002789,2025-12-26,10.5,10.5,10.5,10.5,10.0,215000.0,2257500.0,0.1374,1,0.05,ST,10.5,True,5,1643013100.4366813,10.59,-0.008498583569405138,002789,*ST建艺
sh.603278,2025-12-30,15.49,15.49,15.07,15.49,14.08,26239804.0,405975187.96,7.6779,0,0.1,主板,15.49,True,5,5287581082.848174,9.48,0.6339662447257384,603278,大业股份
sz.002347,2025-12-31,11.96,12.38,11.93,12.38,11.25,40546367.0,496124316.78,8.218,0,0.1,主板,12.38,True,5,6037044497.201265,6.72,0.8422619047619049,002347,泰尔股份
sz.002931,2025-12-31,31.7,31.7,31.7,31.7,28.82,519971.0,16483080.7,0.2584,0,0.1,主板,31.7,True,5,6378901199.690401,20.88,0.5181992337164751,002931,锋龙股份
sz.002713,2025-11-03,11.93,11.95,11.7,11.95,11.38,12013200.0,143228433.0,2.9194,1,0.05,ST,11.95,True,4,4906091422.895116,5.17,1.3114119922630558,002713,东易日盛
sh.603021,2025-11-04,5.33,5.33,5.26,5.33,5.08,12553740.0,66898688.4,3.9237,1,0.05,ST,5.33,True,4,1704989892.1935928,4.62,0.15367965367965364,603021,*ST华鹏
sz.000572,2025-11-05,8.7,8.79,8.54,8.79,7.99,60248642.0,525976695.32,3.6687,0,0.1,主板,8.79,True,4,14336868518.00365,5.82,0.5103092783505152,000572,海马汽车
sz.000592,2025-11-05,9.0,9.43,8.9,9.43,8.57,622537512.0,5783565559.72,32.5069,0,0.1,主板,9.43,True,4,17791808999.689297,3.55,1.656338028169014,000592,平潭发展
sz.000736,2025-11-05,6.49,6.49,6.49,6.49,6.18,1602100.0,10397629.0,0.2221,1,0.05,ST,6.49,True,4,4681507879.333634,4.83,0.34368530020703947,000736,中交发展
sz.002485,2025-11-05,4.6,4.7,4.4,4.7,4.48,3667282.0,16929199.6,0.6741,1,0.05,ST,4.7,True,4,2511378074.469663,3.63,0.29476584022038566,002485,ST雪发
sz.002255,2025-11-06,13.07,13.07,13.07,13.07,11.88,5135700.0,67123599.0,0.805,0,0.1,主板,13.07,True,4,8338335279.503105,9.19,0.42219804134929273,002255,海陆重工
sz.002451,2025-11-07,10.37,10.37,10.23,10.37,9.43,70382384.0,729626194.58,16.027,0,0.1,主板,10.37,True,4,4552481403.756162,6.81,0.5227606461086638,002451,摩恩电气
sz.001209,2025-11-10,27.63,29.0,27.63,29.0,26.36,14359278.0,412705438.81,14.9429,0,0.1,主板,29.0,True,4,2761883160.63147,17.99,0.6120066703724292,001209,洪兴股份
sz.002083,2025-11-11,8.68,8.68,8.18,8.68,7.89,127545749.0,1099629543.95,13.478,0,0.1,主板,8.68,True,4,8158699688.010091,5.11,0.6986301369863013,002083,孚日股份
sz.002868,2025-11-11,35.02,35.02,35.02,35.02,33.35,119600.0,4188392.0,0.0776,1,0.05,ST,35.02,True,4,5397412371.134021,26.03,0.3453707260852863,002868,绿康生化
sh.603813,2025-11-12,36.98,37.87,36.79,37.87,36.07,1128300.0,42462444.0,1.0744,1,0.05,ST,37.87,True,4,3952200670.1414742,25.82,0.46669248644461647,603813,原尚股份
sz.000632,2025-11-12,6.57,6.57,6.57,6.57,5.97,5535961.0,36371263.77,1.1893,0,0.1,主板,6.57,True,4,3058207665.8538637,3.89,0.6889460154241644,000632,ST三木
sh.600429,2025-11-13,7.28,7.28,7.1,7.28,6.62,120305908.0,874824120.88,8.0335,0,0.1,主板,7.28,True,4,10889700888.529284,4.8,0.5166666666666668,600429,三元股份
sh.600693,2025-11-13,9.66,10.0,9.11,10.0,9.09,211377330.0,2068206728.26,24.3255,0,0.1,主板,10.0,True,4,8502216720.149636,5.89,0.6977928692699491,600693,东百集团
sh.600829,2025-11-13,13.75,13.75,13.75,13.75,12.5,6935976.0,95369670.0,1.1961,0,0.1,主板,13.75,True,4,7973386004.514673,8.1,0.6975308641975309,600829,人民同泰
sh.603778,2025-11-13,7.5,7.73,6.94,7.73,7.03,188743175.0,1415778517.91,29.36,0,0.1,主板,7.73,True,4,4822133916.587194,4.33,0.7852193995381063,603778,国晟科技
sh.600408,2025-11-14,6.12,6.26,5.89,6.26,5.69,212635670.0,1316091964.95,21.12,0,0.1,主板,6.26,True,4,6231496046.164773,2.97,1.1077441077441077,600408,安泰集团
sz.000407,2025-11-14,5.54,5.54,5.54,5.54,5.04,10788550.0,59768567.0,1.2319,0,0.1,主板,5.54,True,4,4851738533.971913,3.7,0.4972972972972973,000407,胜利股份
