序号,营业部名称,上榜日,买入个股数,卖出个股数,买入总金额,卖出总金额,总买卖净额,买入股票,营业部代码
56,国泰海通证券股份有限公司上海松江区中山东路证券营业部,2025-05-07,3,2,238522827.13,87025670.3,151497156.83,大众交通,10134445
57,国泰海通证券股份有限公司上海松江中山东路证券营业部,2025-05-07,3,2,238522827.13,87025670.3,151497156.83,天娱数科 天源迪科 常山药业 晨曦航空,10134445
58,东方财富证券股份有限公司拉萨团结路第一证券营业部,2025-05-22,19,8,444996498.74,294198590.52,150797908.22,晟楠科技 重庆港 南京港 国光电器 科创新材 青岛金王 宁新新材 华纺股份 武汉蓝电 红宝丽 *ST奥维 百利电气 中毅达 保龄宝 中恒电气 乐山电力 连云港 中超控股 宁波远洋 天汽模 利君股份 路畅科技 苏州龙杰 信邦智能,10484371
59,国联民生证券股份有限公司宁波战船街证券营业部,2025-05-26,1,0,147517884.96,3630.0,147514254.96,融发核电,10000152109
60,国泰海通证券股份有限公司上海新闸路证券营业部,2025-05-06,4,1,199518294.0,52696472.0,146821822.0,常山北明 岩山科技 南方精工 天源迪科 南山智尚,10430845
61,华鑫证券有限责任公司上海宛平南路证券营业部,2025-05-30,3,2,315453103.38,169915168.77,145537934.61,恒宝股份 四方精创 雄帝科技 天阳科技,10028416
62,东北证券股份有限公司青岛分公司,2025-05-08,2,0,145312100.22,18555.0,145293545.22,高测股份 沃尔核材,10192764
63,国泰海通证券股份有限公司上海松江区中山东路证券营业部,2025-05-20,4,1,172318239.5,28177958.0,144140281.5,*ST九鼎 梦网科技 欧菲光 创源股份,10134445
64,深股通专用,2025-05-16,4,3,322504748.11,181135578.02,141369170.09,成飞集成 利君股份 格力博 豪恩汽电,10634757
65,中国银河证券股份有限公司沈阳大北关街证券营业部,2025-05-22,3,2,319053174.64,178973151.2,140080023.44,中毅达 永安药业 宜宾纸业 王子新材,10023594
66,国泰海通证券股份有限公司上海松江区中山东路证券营业部,2025-05-26,4,1,181446029.5,45004114.0,136441915.5,ST交昂 会畅科技 莱绅通灵 智莱科技 星宸科技,10134445
67,中信证券股份有限公司北京安外大街证券营业部,2025-05-07,1,0,138400448.8,3011829.0,135388619.8,常山药业,10045007
68,国盛证券有限责任公司宁波天童南路证券营业部,2025-05-21,4,2,224262994.1,90872032.88,133390961.22,湖南发展 国轩高科 保龄宝 贝因美 慧博云通,10664100
69,东方财富证券股份有限公司拉萨团结路第一证券营业部,2025-05-19,20,11,311996818.89,181452231.71,130544587.18,天工股份 退市锦港 渝三峡A 芭薇股份 华阳新材 华纺股份 红宝丽 常辅股份 尤夫股份 宁波远洋 锦江航运 通达股份 国航远洋 苏州龙杰 恒久退 迎丰股份 红墙股份 *ST和科 集泰股份 中欣氟材 豪恩汽电 太力科技 泰禾股份,10484371
70,国泰海通证券股份有限公司上海松江区中山东路证券营业部,2025-05-27,6,3,262633484.0,133397665.47,129235818.53,ST交昂 诺普信 尤夫股份 英联股份 星徽股份 智莱科技 格力博,10134445
71,国盛证券有限责任公司宁波桑田路营业部,2025-05-07,3,0,129537506.87,774810.54,128762696.33,通易航天,10456710
72,国盛证券有限责任公司宁波桑田路证券营业部,2025-05-07,3,0,129537506.87,774810.54,128762696.33,宗申动力 大众交通,10456710
73,深股通专用,2025-05-27,6,6,621528756.19,495732313.13,125796443.06,烽火电子 ST云动 诺普信 凯美特气 雪人集团 金龙羽 格力博,10634757
74,中泰证券股份有限公司湖北分公司,2025-05-21,1,0,124269822.0,31681.0,124238141.0,露笑科技,10484897
75,联储证券股份有限公司上海松林路证券营业部,2025-05-22,3,0,123626277.8,0.0,123626277.8,空港股份 王子新材 莱绅通灵,10516788
76,国元证券股份有限公司宁波分公司,2025-05-19,2,0,121138609.98,43056.0,121095553.98,吉林化纤 中超控股,10000583825
77,开源证券股份有限公司西安太华路证券营业部,2025-05-28,13,6,406005300.8,285103790.45,120901510.35,晋西车轴 滨海能源 乐惠国际 广博股份 江苏新能 明牌珠宝 美邦股份 利柏特 雪人集团 华森制药 博世科 中旗股份 欢乐家 新天地,10477800
78,华林证券股份有限公司北京分公司,2025-05-20,4,2,213502158.5,92614920.47,120887238.03,保变电气 湖南发展 东方中科 宁波海运 天元宠物 连云港,10065511
79,中泰证券股份有限公司湖北分公司,2025-05-27,2,0,120677038.17,83805.0,120593233.17,青岛金王 诺普信,10484897
80,国泰海通证券股份有限公司成都北一环路证券营业部,2025-05-22,2,1,147785526.0,27265640.0,120519886.0,浪莎股份 中恒电气 昆仑万维,10026897
81,甬兴证券有限公司天津解放北路证券营业部,2025-05-16,1,0,120419439.0,,120419439.0,宁波海运,10000565545
82,国泰海通证券股份有限公司北京国贸证券营业部,2025-05-14,1,0,118640000.0,0.0,118640000.0,成飞集成,10949120
83,深股通专用,2025-05-20,8,7,609391797.63,492360425.09,117031372.54,湖南发展 梦网科技 潮宏基 欧菲光 万安科技 利君股份 东方中科 一品红 豪恩汽电,10634757
84,浙商证券股份有限公司宁波分公司,2025-05-29,3,0,117236465.26,381621.0,116854844.26,莱绅通灵 联化科技 金龙羽,10484761
85,浙商证券股份有限公司杭州五星路证券营业部,2025-05-09,1,0,115790155.28,117300.0,115672855.28,奥普光电,10949092
86,国盛证券有限责任公司宁波天童南路证券营业部,2025-05-09,1,0,115402946.0,149369.0,115253577.0,万向钱潮,10664100
87,东方财富证券股份有限公司拉萨东环路第二证券营业部,2025-05-19,23,9,342288086.96,227113817.17,115174269.79,退市锦港 芭薇股份 渝三峡A 华光源海 华纺股份 ST交昂 常辅股份 成飞集成 尤夫股份 宁波远洋 国航远洋 锦江航运 威高血净 通达股份 苏州龙杰 恒久退 红墙股份 拉芳家化 迎丰股份 *ST和科 普利转退 普利退 江天化学 豪恩汽电 太力科技 泰禾股份,10472087
88,东方证券股份有限公司无锡新生路证券营业部,2025-05-16,1,0,117050952.78,1959713.0,115091239.78,中洲特材,10517841
89,中国银河证券股份有限公司沈阳大北关街证券营业部,2025-05-16,2,1,149435469.68,34430256.0,115005213.68,南京港 中洲特材 拓新药业,10023594
90,中国银河证券股份有限公司沈阳大北关街证券营业部,2025-05-19,2,0,113501514.88,0.0,113501514.88,中毅达 太力科技,10023594
91,中信证券股份有限公司上海溧阳路证券营业部,2025-05-06,5,2,162617405.87,49133592.0,113483813.87,春光智能 龙溪股份 南山智尚 福达股份 嵘泰股份,10045025
92,开源证券股份有限公司西安太华路证券营业部,2025-05-21,11,8,348076113.62,234707600.27,113368513.35,宝光股份 湖南发展 大有能源 依依股份 乐山电力 会稽山 国轩高科 信隆健康 常青股份 安纳达 莱绅通灵 露笑科技 三生国健 王子新材 路畅科技 舒泰神,10477800
93,东方财富证券股份有限公司拉萨东环路第二证券营业部,2025-05-22,14,8,316678163.49,203940268.29,112737895.2,*ST奥维 *ST华幸 晟楠科技 天汽模 华纺股份 科创新材 宁新新材 红墙股份 百利电气 信邦智能 无锡鼎邦 中毅达 乐山电力 宜宾纸业 连云港 宁波远洋 苏州龙杰,10472087
94,国泰海通证券股份有限公司宜昌沿江大道证券营业部,2025-05-23,4,3,203129505.0,91379144.0,111750361.0,永安药业 合锻智能 苏州龙杰 中超控股 西陇科学 雪人集团 国科天成,10026729
95,广发证券股份有限公司深圳深南东路证券营业部,2025-05-29,1,0,111176084.78,234644.0,110941440.78,粤电力A,10022062
96,浙商证券股份有限公司宁波分公司,2025-05-23,1,0,110737335.0,350234.0,110387101.0,海辰药业,10484761
97,中泰证券股份有限公司湖北分公司,2025-05-09,2,0,108663059.12,49991.0,108613068.12,武汉凡谷 红墙股份,10484897
98,东方财富证券股份有限公司拉萨金融城南环路证券营业部,2025-05-28,19,13,438870694.17,330694368.22,108176325.95,骑士乳业 晋西车轴 广博股份 中毅达 安纳达 宜宾纸业 成飞集成 国芳集团 融发核电 鼎龙科技 中超控股 合锻智能 雪人集团 汇得科技 利君股份 苏州龙杰 王子新材 郑中设计 京华激光 金龙羽 中旗股份 永冠新材 *ST正平 莱绅通灵 美邦股份 利柏特,10678762
99,东方财富证券股份有限公司拉萨团结路第一证券营业部,2025-05-30,16,9,341190019.38,233198706.5,107991312.88,三友科技 百利电气 青岛金王 路桥信息 安纳达 *ST湘邮 巨力索具 浩淼科技 国芳集团 永安药业 融发核电 汇得科技 尤夫股份 福华尚纬 中超控股 正和生态 丽人丽妆 *ST华西 国光连锁 雪人集团 侨银股份 新天地,10484371
100,国盛证券有限责任公司宁波桑田路证券营业部,2025-05-29,4,1,119296448.88,11362660.0,107933788.88,王子新材 福龙马 合兴股份 美邦股份 宏柏新材,10456710
101,华泰证券股份有限公司上海武定路证券营业部,2025-05-16,2,0,109777049.2,2802889.0,106974160.2,红宝丽 日发精机,10098087
102,国泰海通证券股份有限公司北京国贸证券营业部,2025-05-29,2,0,105381950.04,,105381950.04,四创电子 合锻智能,10949120
103,中泰证券股份有限公司湖北分公司,2025-05-26,1,0,104918929.2,47567.0,104871362.2,鸿博股份,10484897
104,东亚前海证券有限责任公司深圳分公司,2025-05-14,1,0,104768052.0,13008.0,104755044.0,恒而达,10924068
105,国泰海通证券股份有限公司北京金融街证券营业部,2025-05-21,2,0,104109367.8,,104109367.8,乐山电力 三生国健,10124786
106,东方财富证券股份有限公司拉萨团结路第一证券营业部,2025-05-15,24,12,459124621.95,355566565.43,103558056.52,芭薇股份 退市苏吴 渝三峡A 华纺股份 甘化科工 襄阳轴承 渤海化学 星光股份 皖通科技 锦江航运 华光源海 尤夫股份 万德股份 国芳集团 尚荣医疗 中远海发 国航远洋 跨境通 京运通 红墙股份 纳尔股份 中欣氟材 肯特催化 *ST天箭 展鹏科技 朝阳科技 ST百利 大叶股份,10484371
107,华林证券股份有限公司北京分公司,2025-05-09,3,0,102239956.6,31350.0,102208606.6,华纺股份 鑫磊股份 航天南湖,10065511
108,国盛证券有限责任公司宁波天童南路证券营业部,2025-05-26,2,0,102782698.0,1379312.0,101403386.0,武汉凡谷 鸿博股份,10664100
109,中国银河证券股份有限公司北京中关村大街证券营业部,2025-05-28,6,1,126048520.63,25246913.0,100801607.63,永冠新材 青岛金王 正和生态 尤夫股份 雪人集团 欢乐家 新天地,10115140
110,国泰海通证券股份有限公司南京太平南路证券营业部,2025-05-23,2,0,101556166.5,899828.0,100656338.5,国风新材 慧博云通,10025054
111,开源证券股份有限公司西安太华路证券营业部,2025-05-13,7,5,192368785.6,92457221.83,99911563.77,ST交昂 润贝航科 宁波远洋 富岭股份 青岛金王 京运通 中超控股 凯美特气 东方日升 鑫磊股份 宏工科技,10477800
112,沪股通专用,2025-05-16,3,3,289781148.86,189902673.4,99878475.46,*ST华幸 连云港 锦江航运,10434470
113,东方财富证券股份有限公司拉萨团结路第一证券营业部,2025-05-14,21,20,510027076.21,410475632.63,99551443.58,方大新材 华纺股份 渝三峡A 七丰精工 襄阳轴承 连云港 志晟信息 宁波远洋 锦江航运 南京港 国芳集团 红宝丽 皖通科技 华光源海 天和磁材 尤夫股份 肯特催化 *ST宝馨 百达精工 长久物流 跨境通 国航远洋 麒盛科技 春光科技 *ST岭南 雅运股份 迎丰股份 红墙股份 朝阳科技 飞力达 鑫磊股份,10484371
114,东方财富证券股份有限公司拉萨团结路第一证券营业部,2025-05-23,17,9,301367061.67,202612344.17,98754717.5,浪莎股份 晟楠科技 湖南发展 辰光医疗 廊坊发展 国风新材 中哲精化 宁新新材 南京港 宝光股份 无锡鼎邦 西昌电力 安纳达 ST棕榈 乐山电力 天汽模 综艺股份 连云港 塞力医疗 王子新材 *ST正平 泰坦股份 丽人丽妆 恒鑫生活,10484371
115,方正证券股份有限公司温州怀江路证券营业部,2025-05-22,1,1,135269743.0,36739633.0,98530110.0,利君股份 昆仑万维,10495041
116,深股通专用,2025-05-15,4,3,189983254.81,91505459.49,98477795.32,吉林化纤 成飞集成 川宁生物 中集环科,10634757
117,华林证券股份有限公司北京分公司,2025-05-28,3,3,223451941.0,126828702.63,96623238.37,莱绅通灵 广博股份 融发核电 明牌珠宝,10065511
118,国盛证券有限责任公司宁波天童南路证券营业部,2025-05-16,3,2,154824047.7,59235959.5,95588088.2,红宝丽 永安药业 通达股份 中欣氟材,10664100
119,甬兴证券有限公司安徽分公司,2025-05-28,1,0,95100422.38,0.0,95100422.38,尤夫股份,10000923632
120,爱建证券有限责任公司上海浦东新区前滩大道证券营业部,2025-05-16,3,1,110440812.0,16724934.0,93715878.0,宁波海运 成飞集成 集泰股份,10491827
121,国泰海通证券股份有限公司上海浦东新区海阳西路证券营业部,2025-05-14,2,0,93640000.0,184830.0,93455170.0,万向钱潮 成飞集成,10000526029
122,东方财富证券股份有限公司拉萨金融城南环路证券营业部,2025-05-16,14,11,354238826.48,260924333.75,93314492.73,万德股份 *ST华幸 渝三峡A 华纺股份 甘化科工 ST交昂 茂化实华 青岛金王 连云港 红宝丽 锦江航运 尚荣医疗 跨境通 迎丰股份 盛泰集团 国光连锁 利君股份 红墙股份 中欣氟材 普利退,10678762
123,国信证券股份有限公司浙江互联网分公司,2025-05-30,8,3,205114037.89,113304779.87,91809258.02,国芳集团 渝三峡A 丽人丽妆 青岛金王 国光连锁 巨力索具 尤夫股份 中超控股 雪人集团 侨银股份,10000213448
124,国泰海通证券股份有限公司上海徐汇区宛平南路证券营业部,2025-05-29,2,0,91108956.0,,91108956.0,合锻智能 福华尚纬,10023418
125,东方财富证券股份有限公司拉萨金融城南环路证券营业部,2025-05-08,10,9,249722477.09,158856045.2,90866431.89,退市创兴 晟楠科技 视觉中国 东华软件 退市苏吴 华胜天成 红宝丽 汉商集团 全筑股份 鸿博股份 肯特催化 红墙股份 *ST东珠 中欣氟材 金麒麟 普利退 长华化学 *ST利达,10678762
126,国泰海通证券股份有限公司宜昌沿江大道证券营业部,2025-05-08,3,1,158893078.2,68041327.0,90851751.2,海能达 晨曦航空 爱朋医疗,10026729
127,深股通专用,2025-05-06,9,9,643372042.24,552851402.17,90520640.07,深圳华强 常山北明 新能股份 岩山科技 鸿博股份 信质集团 奥赛康 甘源食品 天源迪科 ST创意,10634757
128,国泰海通证券股份有限公司上海长宁区江苏路证券营业部,2025-05-29,4,0,94307758.4,4503105.0,89804653.4,永冠新材 神开股份 玉禾田 天阳科技,10025080
129,中国银河证券股份有限公司杭州双龙街证券营业部,2025-05-14,1,0,88879156.0,0.0,88879156.0,成飞集成,10763954
130,国盛证券有限责任公司宁波天童南路证券营业部,2025-05-20,3,2,143035996.21,54721021.93,88314974.28,ST海龙 梦网科技 安纳达 中超控股 贝因美,10664100
131,深股通专用,2025-05-12,9,9,819111269.34,730919497.02,88191772.32,万向钱潮 新大陆 信立泰 利君股份 晨曦航空 拓斯达 威尔高 昆船智能 中航成飞,10634757
132,东亚前海证券有限责任公司上海分公司,2025-05-14,1,2,112148519.58,24480194.29,87668325.29,天工股份 凤凰航运 锦龙股份,10924074
133,沪股通专用,2025-05-13,8,8,276762726.64,189217965.08,87544761.56,万通发展 汇通能源 航天长峰 连云港 宁波远洋 锦江航运 京运通 *ST沐邦 航天南湖,10434470
134,中国银河证券股份有限公司北京学院南路证券营业部,2025-05-30,1,0,101525138.24,14042540.5,87482597.74,雄帝科技,10023559
135,开源证券股份有限公司西安永城路证券营业部,2025-05-21,1,0,87320575.0,155998.0,87164577.0,南京港,10495079
