code,date,open,high,low,close,preclose,volume,amount,turn,isST,board,limitpct,limit_price,is_zt,pct_chg
sh.600082,2025-06-06,4.53,4.53,4.53,4.53,4.12,9398754.0,42576355.62,1.4817,0,MAIN,0.1,4.53,True,9.951456310679617
sh.600082,2025-11-10,4.9,5.38,4.84,5.38,4.89,57432890.0,299111334.66,9.054,0,MAIN,0.1,5.38,True,10.020449897750506
sh.600084,2025-02-20,5.21,5.74,5.17,5.74,5.22,8289714.0,46553928.39,0.7377,0,MAIN,0.1,5.74,True,9.961685823754806
sh.600089,2025-07-22,13.26,14.44,12.94,14.44,13.13,363731705.0,5005193496.61,7.1986,0,MAIN,0.1,14.44,True,9.97715156130996
sh.600089,2025-09-17,14.71,16.15,14.66,16.15,14.68,367689686.0,5770705360.27,7.277,0,MAIN,0.1,16.15,True,10.013623978201625
sh.600089,2025-10-09,18.69,19.58,18.5,19.58,17.8,229714494.0,4450049900.25,4.5463,0,MAIN,0.1,19.58,True,9.999999999999986
sh.600089,2025-11-03,19.66,21.54,19.63,21.54,19.58,416423295.0,8661769919.04,8.2414,0,MAIN,0.1,21.54,True,10.010214504596537
sh.600089,2025-11-05,21.41,24.11,21.41,24.11,21.92,447739686.0,10249509438.55,8.8612,0,MAIN,0.1,24.11,True,9.990875912408747
sh.600094,2025-02-26,3.13,3.41,3.12,3.41,3.1,58010390.0,191381607.27,2.5481,0,MAIN,0.1,3.41,True,10.000000000000009
sh.600094,2025-02-27,3.5,3.75,3.46,3.75,3.41,99476490.0,365031661.56,4.3695,0,MAIN,0.1,3.75,True,9.97067448680351
sh.600094,2025-04-08,2.88,3.17,2.88,3.17,2.88,55752458.0,169333483.82,2.509,0,MAIN,0.1,3.17,True,10.069444444444443
sh.600094,2025-04-09,3.21,3.49,3.02,3.49,3.17,85696833.0,287390245.13,3.8565,0,MAIN,0.1,3.49,True,10.094637223974768
sh.600094,2025-11-11,5.38,5.79,5.37,5.79,5.26,137735503.0,781026620.55,6.4779,0,MAIN,0.1,5.79,True,10.076045627376429
sh.600095,2025-03-31,7.58,7.58,7.58,7.58,6.89,13372492.0,101363489.36,0.4677,0,MAIN,0.1,7.58,True,10.0145137880987
sh.600095,2025-06-24,8.29,9.09,8.29,9.09,8.26,222228663.0,1980044285.96,7.7724,0,MAIN,0.1,9.09,True,10.04842615012107
sh.600095,2025-06-25,9.39,10.0,9.35,10.0,9.09,253729754.0,2484245414.81,8.8742,0,MAIN,0.1,10.0,True,10.011001100110018
sh.600095,2025-09-24,11.36,12.71,11.32,12.71,11.55,218384286.0,2685526801.5,7.638,0,MAIN,0.1,12.71,True,10.043290043290053
sh.600096,2025-11-06,29.44,32.46,29.44,32.46,29.51,106692069.0,3392387969.3,5.8526,0,MAIN,0.1,32.46,True,9.996611318197225
sh.600097,2025-03-20,9.68,10.66,9.65,10.66,9.69,10962300.0,112929449.0,4.5499,0,MAIN,0.1,10.66,True,10.010319917440658
sh.600097,2025-03-21,11.73,11.73,11.73,11.73,10.66,6427400.0,75393402.0,2.6677,0,MAIN,0.1,11.73,True,10.037523452157604
sh.600097,2025-07-02,11.0,11.43,11.0,11.43,10.39,22328201.0,252217882.42,9.2673,0,MAIN,0.1,11.43,True,10.00962463907602
sh.600097,2025-11-17,13.29,13.29,12.94,13.29,12.08,23145032.0,307072602.28,9.6063,0,MAIN,0.1,13.29,True,10.01655629139071
sh.600097,2025-11-19,13.7,14.29,13.43,14.29,12.99,37359928.0,525047082.28,15.5061,0,MAIN,0.1,14.29,True,10.007698229407236
sh.600097,2025-11-24,12.25,14.18,12.25,14.18,12.89,23990060.0,329812072.73,9.957,0,MAIN,0.1,14.18,True,10.007757951900697
sh.600100,2025-02-21,7.89,8.62,7.77,8.62,7.84,262766273.0,2188005662.05,7.8431,0,MAIN,0.1,8.62,True,9.948979591836737
sh.600100,2025-02-24,9.19,9.48,9.05,9.48,8.62,224266607.0,2102157969.84,6.6939,0,MAIN,0.1,9.48,True,9.976798143851529
sh.600100,2025-10-30,8.22,8.62,8.22,8.62,7.84,143840004.0,1227869619.67,4.2933,0,MAIN,0.1,8.62,True,9.948979591836737
sh.600101,2025-04-01,10.91,12.0,10.7,12.0,10.91,120095512.0,1365248842.43,21.9207,0,MAIN,0.1,12.0,True,9.990834097158574
sh.600101,2025-04-25,11.81,12.99,11.63,12.99,11.81,153974175.0,1930618537.51,28.1045,0,MAIN,0.1,12.99,True,9.991532599491947
sh.600103,2025-09-02,2.51,2.76,2.5,2.76,2.51,408328635.0,1110443569.56,18.457,0,MAIN,0.1,2.76,True,9.960159362549792
sh.600103,2025-09-05,2.59,2.74,2.59,2.74,2.49,112751681.0,303976669.71,5.0965,0,MAIN,0.1,2.74,True,10.040160642570273
sh.600103,2025-09-09,2.81,3.14,2.79,3.14,2.85,382652290.0,1124316464.77,17.2964,0,MAIN,0.1,3.14,True,10.175438596491237
sh.600103,2025-09-10,3.3,3.45,3.25,3.45,3.14,404880126.0,1384877307.69,18.3011,0,MAIN,0.1,3.45,True,9.872611464968163
sh.600103,2025-09-11,3.8,3.8,3.65,3.8,3.45,254323689.0,960590045.91,11.4957,0,MAIN,0.1,3.8,True,10.144927536231862
sh.600103,2025-09-12,4.18,4.18,4.08,4.18,3.8,199507792.0,832632106.95,9.018,0,MAIN,0.1,4.18,True,9.999999999999986
sh.600103,2025-09-24,3.46,3.92,3.36,3.92,3.56,561930596.0,2024499083.99,25.4,0,MAIN,0.1,3.92,True,10.1123595505618
sh.600103,2025-10-20,3.43,3.69,3.41,3.69,3.35,476034349.0,1723621613.83,21.5173,0,MAIN,0.1,3.69,True,10.149253731343277
sh.600103,2025-11-10,3.69,4.07,3.69,4.07,3.7,308619635.0,1237326182.72,13.95,0,MAIN,0.1,4.07,True,10.000000000000009
sh.600103,2025-11-26,3.49,3.88,3.44,3.88,3.53,206160543.0,768246025.63,9.3187,0,MAIN,0.1,3.88,True,9.915014164305958
sh.600103,2025-12-24,3.92,4.31,3.89,4.31,3.92,402874122.0,1671863614.84,18.2104,0,MAIN,0.1,4.31,True,9.948979591836737
sh.600104,2025-08-20,18.03,19.8,17.98,19.8,18.0,206880097.0,3965074120.53,1.7873,0,MAIN,0.1,19.8,True,10.000000000000009
sh.600105,2025-01-07,4.48,4.93,4.48,4.93,4.48,67030898.0,316833634.82,4.5849,0,MAIN,0.1,4.93,True,10.044642857142838
sh.600105,2025-02-19,5.62,5.83,5.62,5.83,5.3,45443439.0,263332148.37,3.1083,0,MAIN,0.1,5.83,True,10.000000000000009
sh.600105,2025-03-03,5.47,5.92,5.41,5.92,5.38,220849449.0,1288253139.98,15.106,0,MAIN,0.1,5.92,True,10.03717472118959
sh.600105,2025-03-25,6.6,7.26,6.51,7.26,6.6,132309406.0,941592612.52,9.0499,0,MAIN,0.1,7.26,True,10.000000000000009
sh.600105,2025-04-22,6.0,6.14,5.88,6.14,5.58,133123961.0,808663883.26,9.1056,0,MAIN,0.1,6.14,True,10.035842293906793
sh.600105,2025-05-06,6.45,6.95,6.45,6.95,6.32,97206165.0,665491693.99,6.6489,0,MAIN,0.1,6.95,True,9.968354430379755
sh.600105,2025-05-26,7.75,8.36,7.66,8.36,7.6,348060361.0,2854245897.9,23.8072,0,MAIN,0.1,8.36,True,9.999999999999986
sh.600105,2025-09-22,10.06,11.0,10.03,11.0,10.0,193425174.0,2060098172.18,13.2302,0,MAIN,0.1,11.0,True,10.000000000000009
sh.600105,2025-09-23,11.3,12.1,11.28,12.1,11.0,218056658.0,2593741298.91,14.915,0,MAIN,0.1,12.1,True,9.999999999999986
sh.600105,2025-10-09,13.98,13.98,13.97,13.98,12.71,38204521.0,534099162.58,2.6132,0,MAIN,0.1,13.98,True,9.992132179386303
sh.600105,2025-10-13,13.99,16.29,13.99,16.29,14.81,321266508.0,4906520001.25,21.9745,0,MAIN,0.1,16.29,True,9.993247805536786
sh.600105,2025-11-13,14.07,15.3,14.07,15.3,13.91,240173670.0,3589152020.0,16.4278,0,MAIN,0.1,15.3,True,9.992810927390373
sh.600105,2025-11-25,14.58,15.72,14.55,15.72,14.29,190406257.0,2926252547.06,13.0237,0,MAIN,0.1,15.72,True,10.006997900629822
sh.600105,2025-11-26,15.98,17.29,15.75,17.29,15.72,405083545.0,6794016962.59,27.7076,0,MAIN,0.1,17.29,True,9.98727735368956
sh.600105,2025-12-05,15.75,17.12,15.66,17.12,15.56,198172433.0,3298174119.03,13.5549,0,MAIN,0.1,17.12,True,10.025706940874034
sh.600105,2025-12-11,19.5,21.04,19.28,21.04,19.13,164765211.0,3420133244.16,11.2699,0,MAIN,0.1,21.04,True,9.984317825405121
sh.600105,2025-12-24,20.77,23.34,20.71,23.34,21.22,246548160.0,5428699395.97,16.8638,0,MAIN,0.1,23.34,True,9.990574929311968
sh.600105,2025-12-26,23.49,25.88,23.49,25.88,23.53,224695609.0,5621580057.53,15.3691,0,MAIN,0.1,25.88,True,9.987250318742014
sh.600107,2025-02-17,4.6,5.07,4.57,5.07,4.61,24863632.0,123850697.95,6.9066,0,MAIN,0.1,5.07,True,9.97830802603037
sh.600107,2025-03-10,4.41,4.79,4.35,4.79,4.35,17369807.0,82386783.53,4.8249,0,MAIN,0.1,4.78,True,10.114942528735638
sh.600107,2025-03-12,4.69,5.12,4.64,5.12,4.65,27319083.0,136307790.96,7.5886,0,MAIN,0.1,5.12,True,10.10752688172043
sh.600107,2025-04-14,4.52,4.87,4.49,4.87,4.43,11174600.0,52996487.0,3.1041,0,MAIN,0.1,4.87,True,9.932279909706555
sh.600107,2025-05-09,3.38,3.54,3.37,3.54,3.37,19675531.0,68852155.49,5.4654,1,MAIN,0.05,3.54,True,5.044510385756684
sh.600107,2025-05-20,3.58,3.78,3.58,3.78,3.6,11815400.0,44311436.0,3.2821,1,MAIN,0.05,3.78,True,4.999999999999982
sh.600107,2025-05-21,3.79,3.97,3.76,3.97,3.78,10777720.0,42028346.7,2.9938,1,MAIN,0.05,3.97,True,5.026455026455046
sh.600107,2025-06-26,3.71,3.9,3.67,3.9,3.71,9921012.0,37419390.77,2.7558,1,MAIN,0.05,3.9,True,5.121293800539073
sh.600107,2025-07-14,4.04,4.33,4.04,4.33,4.12,13159686.0,56564095.53,3.6555,1,MAIN,0.05,4.33,True,5.0970873786407855
sh.600107,2025-08-14,3.95,4.14,3.92,4.14,3.94,7732710.0,31183591.7,2.148,1,MAIN,0.05,4.14,True,5.076142131979688
sh.600107,2025-08-18,4.35,4.55,4.33,4.55,4.33,8346600.0,37501296.0,2.3185,1,MAIN,0.05,4.55,True,5.0808314087759765
sh.600107,2025-08-19,4.78,4.78,4.66,4.78,4.55,5215749.0,24888944.22,1.4488,1,MAIN,0.05,4.78,True,5.054945054945059
sh.600107,2025-08-20,4.96,5.02,4.9,5.02,4.78,5829151.0,29123642.0,1.6192,1,MAIN,0.05,5.02,True,5.020920502092041
sh.600107,2025-08-21,5.27,5.27,5.27,5.27,5.02,1279904.0,6745094.08,0.3555,1,MAIN,0.05,5.27,True,4.980079681274896
sh.600107,2025-08-25,5.58,5.7,5.43,5.7,5.43,15586881.0,88394404.31,4.3297,1,MAIN,0.05,5.7,True,4.972375690607733
sh.600107,2025-08-26,5.79,5.99,5.75,5.99,5.7,12420842.0,74033751.5,3.4502,1,MAIN,0.05,5.98,True,5.087719298245608
sh.600107,2025-08-29,5.66,5.99,5.57,5.99,5.7,12324010.0,72981073.94,3.4233,1,MAIN,0.05,5.98,True,5.087719298245608
sh.600107,2025-09-01,5.84,6.29,5.84,6.29,5.99,6560775.0,40482980.85,1.8224,1,MAIN,0.05,6.29,True,5.008347245409017
sh.600107,2025-09-02,6.6,6.6,6.5,6.6,6.29,3440391.0,22704638.6,0.9557,1,MAIN,0.05,6.6,True,4.9284578696343395
sh.600107,2025-09-10,6.39,6.74,6.35,6.74,6.42,10642175.0,70583458.66,2.9562,1,MAIN,0.05,6.74,True,4.984423676012462
sh.600107,2025-10-09,6.52,6.84,6.46,6.84,6.51,5253700.0,35642067.0,1.4594,1,MAIN,0.05,6.84,True,5.069124423963145
sh.600107,2025-10-10,6.85,7.18,6.85,7.18,6.84,3749281.0,26628888.4,1.0415,1,MAIN,0.05,7.18,True,4.970760233918137
sh.600107,2025-10-13,7.54,7.54,7.38,7.54,7.18,5584910.0,42002063.4,1.5514,1,MAIN,0.05,7.54,True,5.013927576601684
sh.600107,2025-10-14,7.9,7.92,7.85,7.92,7.54,2152142.0,17020117.64,0.5978,1,MAIN,0.05,7.92,True,5.039787798408479
sh.600107,2025-10-15,8.32,8.32,8.32,8.32,7.92,547460.0,4554867.2,0.1521,1,MAIN,0.05,8.32,True,5.050505050505061
sh.600107,2025-10-17,8.17,8.79,7.95,8.79,8.37,13553603.0,113191711.45,3.7649,1,MAIN,0.05,8.79,True,5.017921146953408
sh.600107,2025-11-12,6.58,6.91,6.37,6.91,6.58,13927820.0,94151755.0,3.8688,1,MAIN,0.05,6.91,True,5.015197568389063
sh.600107,2025-11-13,7.22,7.26,7.17,7.26,6.91,2749500.0,19890895.0,0.7638,1,MAIN,0.05,7.26,True,5.065123010130246
sh.600107,2025-11-14,7.59,7.62,7.37,7.62,7.26,15530947.0,117690358.49,4.3142,1,MAIN,0.05,7.62,True,4.958677685950419
sh.600107,2025-11-20,7.78,7.82,7.6,7.82,7.45,4238310.0,33004989.2,1.1773,1,MAIN,0.05,7.82,True,4.966442953020134
sh.600107,2025-11-26,7.41,7.95,7.41,7.95,7.57,10571511.0,82823187.11,2.9365,1,MAIN,0.05,7.95,True,5.019815059445176
