code,date,open,high,low,close,preclose,volume,amount,turn,isST,limit_pct,limit_price,is_zhangting,pct_chg
sh.600280,2025-04-25,3.32,3.66,3.32,3.66,3.33,98163400.0,355587785.0,8.6998,0,0.1,3.66,True,9.90990990990992
sh.600281,2025-03-03,3.49,3.87,3.49,3.87,3.52,17493007.0,66303898.83,3.4006,0,0.1,3.87,True,9.943181818181813
sh.600281,2025-03-07,3.73,4.1,3.67,4.1,3.73,41132410.0,162535423.9,7.9962,0,0.1,4.1,True,9.919571045576392
sh.600281,2025-04-28,3.56,3.66,3.45,3.66,3.33,36302730.0,130515496.74,7.0573,0,0.1,3.66,True,9.90990990990992
sh.600281,2025-04-29,3.68,4.03,3.65,4.03,3.66,43121000.0,167930541.0,8.3827,0,0.1,4.03,True,10.10928961748634
sh.600289,2025-03-03,4.6,4.83,4.6,4.83,4.6,4417159.0,20954557.16,0.7805,1,0.05,4.83,True,5.000000000000004
sh.600289,2025-03-04,5.07,5.07,5.07,5.07,4.83,1045400.0,5300178.0,0.1847,1,0.05,5.07,True,4.968944099378891
sh.600289,2025-03-05,5.32,5.32,5.32,5.32,5.07,2515303.0,13381411.96,0.4445,1,0.05,5.32,True,4.930966469428011
sh.600289,2025-03-06,5.59,5.59,5.59,5.59,5.32,895285.0,5004643.15,0.1582,1,0.05,5.59,True,5.07518796992481
sh.600289,2025-03-07,5.87,5.87,5.62,5.87,5.59,40058749.0,234356814.18,7.0785,1,0.05,5.87,True,5.008944543828275
sh.600289,2025-03-10,5.87,6.16,5.7,6.16,5.87,28523814.0,172821699.03,5.0402,1,0.05,6.16,True,4.940374787052804
sh.600289,2025-03-11,6.37,6.47,6.3,6.47,6.16,8101474.0,51906080.62,1.4316,1,0.05,6.47,True,5.032467532467533
sh.600289,2025-03-13,6.2,6.84,6.2,6.84,6.51,22987981.0,154542460.94,4.062,1,0.05,6.84,True,5.069124423963145
sh.600289,2025-03-14,7.18,7.18,7.18,7.18,6.84,1270888.0,9124975.84,0.2246,1,0.05,7.18,True,4.970760233918137
sh.600289,2025-03-17,7.52,7.54,7.38,7.54,7.18,17705058.0,133219707.75,3.1285,1,0.05,7.54,True,5.013927576601684
sh.600289,2025-03-18,7.92,7.92,7.92,7.92,7.54,935361.0,7408059.12,0.1653,1,0.05,7.92,True,5.039787798408479
sh.600289,2025-03-19,8.32,8.32,8.32,8.32,7.92,1786662.0,14865027.84,0.3157,1,0.05,8.32,True,5.050505050505061
sh.600289,2025-03-20,8.74,8.74,8.32,8.74,8.32,19638344.0,171208461.22,3.4701,1,0.05,8.74,True,5.048076923076916
sh.600289,2025-03-21,9.13,9.18,8.95,9.18,8.74,11698134.0,106749977.57,2.0671,1,0.05,9.18,True,5.034324942791746
sh.600289,2025-04-10,5.64,5.92,5.41,5.92,5.64,25044205.0,142880292.28,4.4254,1,0.05,5.92,True,4.964539007092195
sh.600289,2025-04-11,6.2,6.22,6.1,6.22,5.92,5744940.0,35635137.8,1.0151,1,0.05,6.22,True,5.067567567567566
sh.600289,2025-04-14,6.53,6.53,6.53,6.53,6.22,891604.0,5822174.12,0.1575,1,0.05,6.53,True,4.983922829581999
sh.600289,2025-04-15,6.86,6.86,6.79,6.86,6.53,21439461.0,147062555.09,3.7884,1,0.05,6.86,True,5.053598774885137
sh.600289,2025-04-16,7.08,7.2,6.63,7.2,6.86,46483008.0,325750743.47,8.2137,1,0.05,7.2,True,4.956268221574334
