date,wave,ticker,name,group,t0_date,t0_close,last_date,last_close,ret_asof_now,ret_max_seen,n_days_avail
2026-07-02,A,603379,三美股份,probe,2026-07-02,83.48,2026-08-21,61.45,-26.39,0.0,36
2026-07-02,A,601137,博威合金,reject,2026-07-02,22.83,2026-08-21,19.19,-15.94,0.0,36
2026-07-02,A,688716,中研股份,reject,2026-07-02,33.19,2026-08-21,27.69,-16.57,12.08,36
2026-07-02,A,301076,新瀚新材,probe,2026-07-02,27.81,2026-08-21,20.4,-26.65,6.4,36
2026-07-02,A,300354,东华测试,probe,2026-07-02,36.99,2026-08-21,29.15,-21.19,1.78,36
2026-07-02,A,000708,中信特钢,reject,2026-07-02,12.87,2026-08-21,13.64,5.98,16.47,36
2026-07-02,A,002407,多氟多,watch,2026-07-02,54.82,2026-08-21,36.15,-34.06,0.0,36
2026-07-02,A,002759,天际股份,probe,2026-07-02,26.25,2026-08-21,18.47,-29.64,0.0,35
2026-07-02,A,000831,中国稀土,watch,2026-07-02,53.17,2026-08-21,56.33,5.94,18.09,36
2026-07-02,A,688131,皓元医药,probe,2026-07-02,92.32,2026-08-21,97.39,5.49,8.77,36
2026-07-02,A,688293,奥浦迈,probe,2026-07-02,42.91,2026-08-21,61.75,43.91,57.38,36
2026-07-02,A,688690,纳微科技,probe,2026-07-02,42.32,2026-08-21,43.4,2.55,7.21,36
2026-07-02,A,300725,药石科技,probe,2026-07-02,36.79,2026-08-21,51.46,39.87,48.93,36
2026-07-02,A,600577,精达股份,reject,2026-07-02,9.39,2026-08-21,8.66,-7.77,3.19,36
2026-07-02,A,603191,望变电气,reject,2026-07-02,15.83,2026-08-21,14.73,-6.95,7.01,36
2026-07-02,A,688226,威腾电气,reject,2026-07-02,41.9,2026-08-21,29.24,-30.21,0.0,36
2026-07-02,A,688190,云路股份,reject,2026-07-02,86.49,2026-08-21,73.06,-15.53,0.59,36
2026-07-02,A,002606,大连电瓷,probe,2026-07-02,13.48,2026-08-21,13.65,1.26,11.05,36
2026-07-02,A,600010,包钢股份,reject,2026-07-02,2.22,2026-08-21,2.19,-1.35,3.15,36
2026-07-02,A,600378,昊华科技,probe,2026-07-02,82.17,2026-08-21,47.24,-42.51,0.0,36
2026-07-02,A,600673,东阳光,reject,2026-07-02,36.46,2026-08-21,33.74,-7.46,6.28,36
2026-07-02,A,300343,联创股份,reject,2026-07-02,6.96,2026-08-21,5.73,-17.67,0.0,36
2026-07-02,A,600549,厦门钨业,watch,2026-07-02,82.15,2026-08-21,55.58,-32.34,0.0,36
2026-07-02,A,000657,中钨高新,probe,2026-07-02,96.78,2026-08-21,68.14,-29.59,0.0,36
2026-07-02,A,000969,安泰科技,watch,2026-07-02,24.99,2026-08-21,16.68,-33.25,0.0,36
2026-07-02,A,688308,欧科亿,watch,2026-07-02,176.49,2026-08-21,97.28,-44.88,0.0,36
2026-07-02,A,688776,国光电气,watch,2026-07-02,58.66,2026-08-21,47.28,-19.4,0.75,36
2026-07-02,A,002438,江苏神通,watch,2026-07-02,14.33,2026-08-21,13.85,-3.35,6.7,36
2026-07-02,A,002378,章源钨业,probe,2026-07-02,35.43,2026-08-21,26.2,-26.05,0.0,36
2026-07-03,A,002428,云南锗业,watch,2026-07-03,105.07,2026-08-21,100.88,-3.99,4.69,35
2026-07-03,A,300563,神宇股份,reject,2026-07-03,27.8,2026-08-21,23.26,-16.33,0.9,35
2026-07-03,A,688629,华丰科技,probe,2026-07-03,180.0,2026-08-21,139.09,-22.73,16.49,35
2026-07-03,A,002837,英维克,watch,2026-07-03,71.43,2026-08-21,54.12,-24.23,6.22,35
2026-07-03,A,688608,恒玄科技,reject,2026-07-03,113.97,2026-08-21,107.49,-5.69,15.82,35
2026-07-03,A,688484,南芯科技,reject,2026-07-03,48.06,2026-08-21,36.11,-24.86,0.0,35
2026-07-03,A,300174,元力股份,watch,2026-07-03,29.74,2026-08-21,19.83,-33.32,0.0,35
2026-07-03,A,601958,金钼股份,watch,2026-07-03,24.58,2026-08-21,21.94,-10.74,0.37,35
2026-07-03,A,300748,金力永磁,probe,2026-07-03,34.25,2026-08-21,27.57,-19.5,0.0,35
2026-07-03,A,301076,新瀚新材,watch,2026-07-03,29.59,2026-08-21,20.4,-31.06,0.0,35
2026-07-03,A,605488,福莱新材,watch,2026-07-03,34.88,2026-08-21,29.55,-15.28,0.0,35
2026-07-03,A,300354,东华测试,reject,2026-07-03,37.21,2026-08-21,29.15,-21.66,1.18,35
