序号,股票代码,股票简称,每股收益,营业总收入-营业总收入,营业总收入-同比增长,营业总收入-季度环比增长,净利润-净利润,净利润-同比增长,净利润-季度环比增长,每股净资产,净资产收益率,每股经营现金流量,销售毛利率,所处行业,最新公告日期,sina_symbol
1908,601877,正泰电器,1.47,38064189390.13,28.4618259054,-21.3233,3130443926.08,22.23,47.0675,21.409554584621,6.85,6.133909806295,23.517616672,电网设备,2026-08-20,sh601877
1909,601788,光大证券,0.44,6055522454.29,18.166929111,-3.6235,2229090140.0,32.45,-8.8548,13.331931920675,3.28,1.740796205828,,证券Ⅱ,2026-08-20,sh601788
1910,601766,中国中车,0.28,131682442000.0,9.956998576,44.6785,7990535000.0,10.28,36.5239,6.149270786467,4.54,-0.562373130867,22.2659912397,轨交设备Ⅱ,2026-08-20,sh601766
1911,601619,嘉泽新能,0.08,1210172403.38,-7.6400961859,3.7218,237224536.29,-48.4,-19.3881,2.731369622978,2.96,0.277849727607,54.0238992968,电力,2026-08-20,sh601619
1912,601377,兴业证券,0.24,6730289948.61,24.5380615221,52.5776,2129258950.19,60.08,71.0096,6.511437459984,3.6,0.926503808923,,证券Ⅱ,2026-08-20,sh601377
1913,601360,三六零,0.03,4172122000.0,9.0140371065,7.4745,215688000.0,176.5442789106,-2.6028,4.035910410343,0.74,-0.008159086617,69.6623684542,软件开发,2026-08-20,sh601360
1914,601179,中国西电,0.13,12232947022.33,7.9555532905,21.4547,688068060.24,15.03,-1.4811,4.570291649255,2.97,-0.057982301005,24.5364469494,电网设备,2026-08-20,sh601179
1915,601127,赛力斯,-0.99,57493119128.58,-7.866134882,23.3114,-1716868878.67,-158.38,-427.5612,21.512567897077,-4.38,-7.104611419928,23.301121695,乘用车,2026-08-20,sh601127
1916,601096,宏盛华源,0.0686,4885774738.27,-0.3976019899,2.3975,183624146.72,-7.43,-19.4544,1.78901256902,3.87,-0.075733698345,11.722566599,专业工程,2026-08-20,sh601096
1917,601026,道生天合,0.14,1799762197.15,0.8380855632,66.2622,89393670.97,3.55,89.1629,3.859481561344,3.37,-0.45759259219,14.4282390441,风电设备,2026-08-20,sh601026
1918,600976,健民集团,1.17,1611146284.7,-10.7199930385,-15.4624,177212173.52,-19.68,1.9907,17.572171063165,6.57,0.785217577475,62.4810113849,中药Ⅱ,2026-08-20,sh600976
1919,600936,北投科技,0.03,1412590656.59,-30.7787254647,-51.101,52352877.39,117.4946992213,9.727,0.611290539771,5.26,-0.120268082176,20.0011892704,IT服务Ⅱ,2026-08-20,sh600936
1920,600919,江苏银行,1.13,48951744000.0,9.1107021147,2.4447,21875647000.0,8.09,6.7239,14.786864152145,7.86,10.313779485338,,银行Ⅱ,2026-08-20,sh600919
1921,600895,张江高科,0.21,1850623354.35,8.6139828996,20.8352,329414681.47,-10.76,194.4445,8.835275895773,2.31,-0.724973949982,28.5113200079,房地产开发,2026-08-20,sh600895
1922,600872,中炬高新,0.5387,2541951319.39,19.231324855,-7.4967,414167437.15,61.25,-42.3804,7.199111271007,7.05,0.79984334161,42.7923041886,调味发酵品Ⅱ,2026-08-20,sh600872
1923,600866,星湖科技,0.0426,8188978120.36,0.360537521,18.9523,70718627.33,-91.54,350.8193,4.605272555506,0.87,-0.476338216934,10.3384165148,化学制品,2026-08-20,sh600866
1924,600845,宝信软件,0.247,5631881861.11,19.4534838685,13.0107,706779643.48,-0.81,-14.6229,3.879438307685,6.32,0.611521960903,29.7842731726,IT服务Ⅱ,2026-08-20,sh600845
1925,600726,华电能源,0.07,8033840944.11,-3.0255203769,-39.4985,591665272.62,29.16,-101.6751,0.665997844316,12.6,0.024268265801,23.5016495287,电力,2026-08-20,sh600726
1926,600688,上海石化,0.028,38991994000.0,-1.344100808,20.7721,300431000.0,165.0103434546,-127.6368,2.221675868366,1.291,-0.079812813098,18.1308219323,炼化及贸易,2026-08-20,sh600688
1927,600601,方正科技,0.14,3699993416.88,72.8939532958,36.6215,573573120.51,232.38,47.6213,1.228073736765,11.61,0.119760022222,32.2297627888,元件,2026-08-20,sh600601
1928,600550,保变电气,0.073,3846312711.49,28.4281331355,35.2225,133655502.87,77.34,24.3911,0.532569494749,14.71,-0.210032762279,12.2203158749,电网设备,2026-08-20,sh600550
1929,600526,菲达环保,0.16,1545831887.04,-2.7758307987,48.177,146147975.94,15.3,81.5701,5.260384328197,3.15,-0.432199019292,29.2016253646,环保设备Ⅱ,2026-08-20,sh600526
1930,600511,国药股份,1.166,26728336667.88,4.2692834603,-2.8203,879769480.08,-7.25,-14.4979,24.930686434118,4.69,-3.491495137505,5.977274228,医药商业,2026-08-20,sh600511
1931,600505,西昌电力,0.018,688339895.33,-5.332559729,-14.7445,6570088.98,102.69,11.0628,3.371365561549,0.54,0.391045539331,16.8695058412,电力,2026-08-20,sh600505
1932,600458,时代新材,0.37,10467455938.49,13.0874937431,34.7019,345907678.41,14.08,18.6196,8.523541597653,4.29,-1.142173445578,15.2962414905,综合Ⅱ,2026-08-20,sh600458
1933,600426,华鲁恒升,1.108,17162488970.88,8.8738463081,5.6966,2352959838.15,49.98,10.7266,16.513983132924,6.87,1.272616470934,24.0998324414,农化制品,2026-08-20,sh600426
1934,600418,江淮汽车,-0.34,22179881513.48,14.3442014363,-6.748,-748926742.94,3.0906599617,76.413,5.50654982702,-6.44,-2.345832837945,11.1446249201,商用车,2026-08-20,sh600418
1935,600405,动力源,-0.09,218811928.46,8.9375596366,74.8234,-54085136.74,40.7978096382,46.3482,0.062943172809,-136.66,-0.049034526088,22.2368663411,其他电源设备Ⅱ,2026-08-20,sh600405
1936,600399,抚顺特钢,-0.1287,4195668878.59,9.7500682558,20.9558,-252519412.7,9.077410067,27.5621,2.66748565624,-4.69,-0.450563357375,2.6260650554,特钢Ⅱ,2026-08-20,sh600399
