序号,股票代码,股票简称,每股收益,营业总收入-营业总收入,营业总收入-同比增长,营业总收入-季度环比增长,净利润-净利润,净利润-同比增长,净利润-季度环比增长,每股净资产,净资产收益率,每股经营现金流量,销售毛利率,所处行业,最新公告日期,sina_symbol
2651,605299,舒华体育,0.11,788675641.47,28.3675938734,25.8128,46423423.6,130.05,-9.1621,2.988567828335,3.61,-0.037000684356,31.4681981844,文娱用品,2026-08-18,sh605299
2652,605128,上海沿浦,0.3,1007294747.47,10.0046293068,24.4144,92775211.81,18.94,0.3236,6.954070524277,4.23,0.424447196135,15.9863490448,汽车零部件,2026-08-18,sh605128
2653,603893,瑞芯微,2.04,2876528206.23,40.6035594528,38.6262,859028900.86,61.73,60.9486,11.639553676018,18.34,1.892354771166,45.7909824874,半导体,2026-08-18,sh603893
2654,603848,好太太,0.25,752729081.97,11.2100540108,38.968,102230021.04,18.64,51.6,6.426506849488,3.95,0.381772765401,46.9394986913,家居用品,2026-08-18,sh603848
2655,603588,高能环境,0.679,10319078742.89,54.0155208839,6.7,1021792581.72,103.37,-30.4738,6.843937549799,10.139,-0.398365885555,20.809941729,环境治理,2026-08-18,sh603588
2656,603580,艾艾精工,0.0434,218703192.47,114.1537316252,13.3395,5668903.15,-38.15,3.1858,3.424319933927,1.25,0.085354032349,23.7439430872,塑料,2026-08-18,sh603580
2657,603556,海兴电力,0.67,2387912426.89,24.6636644533,12.0036,323662807.13,-16.67,155.962,14.00209038877,4.25,0.001650112407,37.3485975255,电网设备,2026-08-18,sh603556
2658,603448,天博智能,1.81,944939291.0,2.6613507053,32.188,162737517.95,-12.58,31.7947,21.245738913889,8.89,1.698813635556,29.4297389683,汽车零部件,2026-08-18,sh603448
2659,603406,天富龙,0.63,1593260010.86,-6.3216640832,16.4235,253336497.6,12.09,29.7439,11.795977087073,5.4,0.251346442239,21.6683853506,化学纤维,2026-08-18,sh603406
2660,603398,*ST沐邦,-0.51,168109512.47,19.2729161557,-37.8355,-220561924.44,-3.8312136506,-96.954,-0.172390874703,,-0.354557821335,-58.0013609446,光伏设备,2026-08-18,sh603398
2661,603369,今世缘,1.6696,6435772067.77,-7.4144479085,-51.1148,2081693137.94,-6.6,-49.6895,13.753608378061,11.83,1.296189404131,74.1443123629,白酒Ⅱ,2026-08-18,sh603369
2662,603332,苏州龙杰,0.25,909046340.56,29.7283948709,72.2165,54612777.94,64.24,82.4369,6.036593508053,4.11,0.645384994889,12.9539489975,化学纤维,2026-08-18,sh603332
2663,603322,超讯科技,0.33,564977802.93,-64.9241035358,40.0369,51725320.65,-28.25,-75.8514,1.99164141747,20.92,-0.143905166585,29.3853677134,通信服务,2026-08-18,sh603322
2664,603293,埃泰克,0.63,1778973695.74,16.9216650709,19.0159,93408728.97,1.03,-39.0572,16.452404248579,4.68,0.970030701099,18.0723772431,汽车零部件,2026-08-18,sh603293
2665,603284,林平发展,1.68,1727092608.78,41.1260315457,42.5983,116406291.23,27.33,47.6771,29.669082121016,5.78,1.161189086095,9.2619766935,造纸,2026-08-18,sh603284
2666,603281,江瀚新材,0.49,1091780753.58,15.5353334859,11.688,178094586.64,-15.35,-27.708,13.320847946302,3.65,0.28279870187,25.4167312411,化学制品,2026-08-18,sh603281
2667,603227,雪峰科技,0.237,2537336685.67,-6.0338816874,42.2625,253532446.87,9.85,354.9961,4.921337216233,4.81,-0.024807320515,23.269381677,化学制品,2026-08-18,sh603227
2668,603196,璞源材料,0.1424,772194130.21,104.253587922,3.9704,59161339.3,54.52,49.9162,4.84653375561,3.0,0.238671502804,48.7243084388,服装家纺,2026-08-18,sh603196
2669,603189,*ST网达,-0.04,174542457.26,36.9512138857,-55.746,-12053180.85,-349.87,-38.7763,5.318368202804,-0.81,-0.093746728421,11.7454567226,软件开发,2026-08-18,sh603189
2670,603129,春风动力,6.96,13386075247.16,35.8243216024,49.7982,1064624745.59,6.26,51.871,52.169034320551,13.36,14.637311264067,27.2588539428,摩托车及其他,2026-08-18,sh603129
2671,603093,南华期货,0.55,879141903.95,48.1764200269,2.9735,388309024.43,67.91,-10.3617,8.133648430416,6.76,7.542075952269,,多元金融,2026-08-18,sh603093
2672,603077,和邦生物,0.0471,2888094804.07,-26.3438874264,8.105,380158275.34,634.3,18.999,2.140721575955,2.08,0.021409290347,28.8695483845,农化制品,2026-08-18,sh603077
2673,603071,物产环能,0.65,17164015747.24,-6.8275974595,20.3301,361720377.23,19.66,9.4352,10.646122551131,6.06,-2.816328185841,6.7102329271,贸易Ⅱ,2026-08-18,sh603071
2674,603049,中策橡胶,2.79,23474496452.47,7.4098812239,9.7678,2440401206.25,5.09,0.095,28.769441610667,9.53,0.962018064259,20.8360611154,汽车零部件,2026-08-18,sh603049
2675,603031,安孚科技,0.64,2378115865.79,-2.0413899304,-21.2654,196448171.54,84.38,-53.0127,7.703113125152,6.96,1.237314014315,50.5032529469,电池,2026-08-18,sh603031
2676,601702,华峰铝业,0.56,6418370774.48,7.6237877608,15.6088,557405502.77,-2.29,29.4773,6.705203991024,8.3,0.064857895782,14.2549854941,工业金属,2026-08-18,sh601702
2677,601677,明泰铝业,1.13,21118578561.28,24.231694841,16.2285,1406755848.47,49.61,0.3794,16.352954451351,7.09,0.467314596934,9.7521340104,工业金属,2026-08-18,sh601677
2678,601112,振石股份,0.27,3823342888.03,16.7432343035,34.507,464930974.08,15.07,32.2563,3.769272041523,7.57,0.283898591313,22.1462371803,玻璃玻纤,2026-08-18,sh601112
2679,600889,*ST京化,0.08,434474835.71,15.6020129923,-24.2057,46911276.1,185.3136676975,186.0842,2.692628612739,3.16,0.244986162594,28.2506042909,通用设备,2026-08-18,sh600889
2680,600871,石化油服,0.027,37664258000.0,1.6558557747,6.1099,509539000.0,3.5,48.8579,0.527933888012,5.36,0.154911318989,8.4930280586,油服工程,2026-08-18,sh600871
2681,600795,国电电力,0.169,79029113601.09,1.7699058332,1.7658,3013976240.14,-18.25,15.594,3.378041933529,4.934,1.15032840145,14.2151681713,电力,2026-08-18,sh600795
2682,600753,ST海钦,0.091,796013037.75,24.807910288,-48.2297,20977986.69,141.57,-106.2456,0.375362420906,27.62,0.267273951191,3.122331751,物流,2026-08-18,sh600753
2683,600673,东阳光,0.129,9375524476.64,31.6090059632,20.6716,389262088.82,-36.46,126.3537,3.481666461059,3.9,0.834721412146,19.5724821341,综合Ⅱ,2026-08-18,sh600673
2684,600583,海油工程,0.25,12383540000.0,9.4177753499,47.9504,1091302400.0,-0.64,48.922,6.52660204967,3.88,0.352987030129,14.8714689015,油服工程,2026-08-18,sh600583
2685,600425,青松建化,0.077,1574105054.7,-11.0541790036,156.512,124295349.05,13.19,664.6849,4.004732042817,1.918,0.241496858685,22.0751650617,水泥,2026-08-18,sh600425
2686,600366,宁波韵升,0.2547,3336660661.1,42.0220388493,22.6846,274095385.26,154.18,35.2088,5.841380673605,4.29,0.1865506614,20.7774458297,金属新材料,2026-08-18,sh600366
2687,600326,西藏天路,-0.0631,1208138782.67,-14.2545331254,135.4691,-85905549.16,23.2247276961,-31.2398,2.824094447323,-2.2,0.186573570376,13.5985917948,水泥,2026-08-18,sh600326
2688,600301,华锡有色,0.844,3038991528.54,9.026628461,62.5816,533873867.28,39.81,93.5094,8.050088317139,10.53,0.90868594816,42.9411248542,小金属,2026-08-18,sh600301
2689,600243,*ST海华,-0.0325,189693635.7,68.2413354591,20.4017,-14277551.12,-555.8077232932,2.9391,1.240763869842,-2.59,-0.075391032335,10.6578909858,通用设备,2026-08-18,sh600243
2690,600120,浙江东方,0.26,916633304.95,9.3,4.4916,877106312.16,115.47,373.9485,4.906018311283,5.17,0.51557522346,62.7079754429,多元金融,2026-08-18,sh600120
2691,600096,云天化,1.6097,22820982028.44,-8.9190484402,-9.5201,2934440407.74,6.14,5.9592,13.935762835944,11.41,1.615222306289,20.8901895736,农化制品,2026-08-18,sh600096
2692,600078,澄星股份,0.174,2137879181.98,20.3681017054,14.2672,117631886.06,533.75,226.4596,2.659056980656,6.77,0.333719171672,19.089391105,农化制品,2026-08-18,sh600078
2722,301699,洛轴股份,0.48,3060886548.06,8.5223674086,31.0215,285646574.58,11.35,53.9573,4.558508904133,11.04,0.429322377517,22.6542802623,通用设备,2026-08-18,sz301699
2723,301363,美好医疗,0.16,813213029.1,10.9708673713,1.751,124324075.36,8.77,19.3299,4.638955956321,3.3,0.208169388709,40.8846994628,医疗器械,2026-08-18,sz301363
2724,301263,泰恩康,0.0073,320275930.94,-7.7228860277,-31.0034,3720188.43,-89.97,-186.9846,3.231077027499,0.22,0.106290332767,56.136709475,化学制药,2026-08-18,sz301263
2725,301251,威尔高,0.23,979446182.88,37.0057985716,28.5664,44293397.47,-2.01,451.3639,8.20618503409,2.8,0.107938203407,18.6541108265,元件,2026-08-18,sz301251
2726,301183,东田微,1.09,501801936.18,33.3551472014,43.3942,86959147.21,71.57,109.8449,12.92107843377,8.69,1.278946408771,29.8797535899,光学光电子,2026-08-18,sz301183
2727,301129,瑞纳智能,0.09,106120143.45,14.6170564094,445.9159,11582284.84,267.16,254.0289,13.41548819658,0.63,-0.677353219168,73.0195295642,通用设备,2026-08-18,sz301129
2728,301107,瑜欣电子,0.18,413557295.97,8.0400535887,31.9176,25856759.66,-49.23,28.6581,6.662526052406,2.69,0.41751292078,19.2518930305,通用设备,2026-08-18,sz301107
2729,301069,凯盛新材,0.208,654573354.04,22.9122585951,24.6956,94238928.29,6.5,28.1541,5.154694472024,4.13,0.004187883376,25.6011476965,化学原料,2026-08-18,sz301069
2730,301062,上海艾录,0.039,670453928.42,14.3575604761,49.8512,16908597.24,479.98,1054.9556,3.110411946402,1.24,0.087300746521,19.7055651447,包装印刷,2026-08-18,sz301062
2731,301025,读客文化,0.0273,173230008.8,2.845793967,16.1387,10935841.02,78.52,159.187,1.564744842065,1.75,0.047810892475,37.0675915765,出版,2026-08-18,sz301025
2732,300976,达瑞电子,0.88,1726031590.83,22.8580835233,15.2812,162487989.35,23.02,25.7478,19.651858884436,4.43,1.198516588603,26.8094724383,消费电子,2026-08-18,sz300976
2733,300967,晓鸣股份,0.01,567952542.55,-24.455709349,20.1567,1847669.91,-99.0,208.1328,3.608095984593,0.24,0.744318073848,12.9063054407,养殖业,2026-08-18,sz300967
2734,300908,仲景食品,0.7419,566450878.91,8.0091921249,-8.4346,108324636.75,7.75,1.6792,12.058773394452,5.93,0.852669836096,44.8076089137,调味发酵品Ⅱ,2026-08-18,sz300908
2735,300859,西域旅游,0.02,106714917.12,-6.0840278357,356.2779,3679089.31,-67.23,213.7812,4.773735950645,0.5,0.240466911032,28.7492559409,旅游及景区,2026-08-18,sz300859
2736,300841,康华生物,1.0862,538353610.55,11.2487105363,112.1762,141149300.39,23.25,315.8321,27.808555733292,3.92,1.242797288606,89.764877508,生物制品,2026-08-18,sz300841
2737,300807,天迈科技,-0.25,46314954.16,-30.2288512125,92.3713,-16993138.21,-297.86,5.4015,6.471711596515,-3.79,-0.097310667538,30.1741986006,计算机设备,2026-08-18,sz300807
2738,300765,石药创新,0.9056,3240242226.11,208.7245508115,287.5134,1261185991.32,46025.71,1543.7637,2.802644475103,38.2,1.976474281577,76.7440146191,化学制药,2026-08-18,sz300765
2739,300620,光库科技,0.5955,1031662205.86,72.9098394423,41.9099,148395975.24,186.09,131.7119,9.059397596269,6.65,-0.647789719498,38.7732870089,通信设备,2026-08-18,sz300620
2740,300610,晨化股份,0.26,525464030.04,20.9451728968,-1.2831,55610275.58,6.51,15.0448,5.579711834581,4.71,0.420387714718,22.9779442069,化学制品,2026-08-18,sz300610
2741,300596,利安隆,1.2949,3389569765.43,13.1725811456,12.8833,297323561.86,23.24,25.2424,21.714647072457,6.0,0.703681312324,23.715576441,化学制品,2026-08-18,sz300596
2742,300580,贝斯特,0.2912,792125671.79,10.5693788631,5.2696,146200909.67,-1.53,0.1917,6.663907252345,4.35,0.19259519484,32.9589545495,汽车零部件,2026-08-18,sz300580
2743,300575,中旗股份,0.1,1545860526.05,16.1534116492,38.4218,49382078.91,181.57,7139.3067,4.194711252233,2.52,0.348103146178,15.7652797133,农化制品,2026-08-18,sz300575
2744,300479,神思电子,-0.1579,215957509.52,12.3114913101,185.6674,-31114533.9,47.1,110.3613,2.700369892205,-5.69,-1.758840847811,34.0255862615,计算机设备,2026-08-18,sz300479
2745,300435,中泰股份,0.34,1188804273.3,-8.716733726,10.4194,130488157.92,-3.13,106.6877,8.958860690876,3.74,0.212906367066,23.0670954083,专用设备,2026-08-18,sz300435
2746,300390,天华新能,2.76,7780065437.36,125.0015560468,43.1156,2292289086.36,2622.89,36.5852,16.519305096007,18.34,0.214730902464,43.4926349114,电池,2026-08-18,sz300390
2747,300241,瑞丰光电,0.0765,1072765717.54,27.4656706921,25.5193,53726700.86,73.86,-15.1931,3.270647699715,2.36,0.019519047457,19.4612526031,光学光电子,2026-08-18,sz300241
2748,300240,飞力达,0.0662,3334492595.27,10.023233036,24.4415,24603988.23,-17.62,554.084,3.887934246162,1.71,0.23723531006,7.6344003079,物流,2026-08-18,sz300240
2749,300205,*ST天喻,-0.1674,24040591.36,-72.244632608,-22.8481,-71980562.77,16.13,31.0485,0.898730352001,-17.04,-0.39687516249,42.9229332818,通信设备,2026-08-18,sz300205
2750,300018,中元股份,0.12,258590988.22,9.0475622539,9.3405,57655379.01,-1.28,-3.0264,2.931897648632,4.01,-0.025851921903,48.4142056271,电网设备,2026-08-18,sz300018
2752,003022,联泓新科,0.32,5365694741.02,84.3071289737,38.9286,426865507.23,165.68,94.9573,5.841687167385,5.59,0.47628068645,23.8666692814,光伏设备,2026-08-18,sz003022
2753,002997,瑞鹄模具,1.15,1867012800.31,12.3097352148,-14.4708,240920726.43,6.15,25.6931,12.662806626654,9.3,0.677063753633,24.8183634243,汽车零部件,2026-08-18,sz002997
2754,002933,新兴装备,0.14,185547766.12,-2.8923975773,77.9038,16327656.53,4.32,935.6643,13.29779834248,1.05,-0.120864918193,35.0242755485,航空装备Ⅱ,2026-08-18,sz002933
2755,002931,锋龙股份,-0.01,267140627.23,6.4783001347,8.7612,-2015091.32,-113.16,-260.8176,4.672568009985,-0.21,0.000739505627,18.3474904915,通用设备,2026-08-18,sz002931
2756,002879,长缆科技,0.09,678992201.25,0.8676647897,47.3149,17442020.01,-42.42,1087.2056,9.588595528587,0.92,-0.175719692395,27.7991663708,电网设备,2026-08-18,sz002879
2757,002859,洁美科技,0.32,1168616745.22,21.4226325324,30.3245,137765382.78,39.87,88.4963,8.420488694495,4.31,0.232145020808,33.2719872978,其他电子Ⅱ,2026-08-18,sz002859
2758,002846,英联股份,0.077,1312860647.27,21.4659184532,24.0213,32352974.32,28.5,58.3231,3.412019076141,2.27,0.528354213015,12.5075755642,包装印刷,2026-08-18,sz002846
2759,002803,吉宏股份,0.36,3735816989.22,15.5338330336,7.0492,157747480.69,33.52,17.9958,6.184241858115,5.68,0.674298034762,47.3228201839,互联网电商,2026-08-18,sz002803
2760,002788,鹭燕医药,0.37,10582518010.94,1.7541757001,-2.2335,143007304.14,-7.46,10.5016,8.528062141035,4.26,-0.260243702629,6.8405704693,医药商业,2026-08-18,sz002788
2761,002734,利民股份,0.58,2463469493.41,0.4662462177,-14.4424,273966823.89,1.9,7.3139,8.460015870347,6.86,0.30703787661,26.9985590201,农化制品,2026-08-18,sz002734
2762,002722,物产金轮,0.38,1282993397.6,11.3261709666,7.7548,85262909.04,41.04,6.7817,13.42702068889,2.86,0.041328796326,20.0612920356,专用设备,2026-08-18,sz002722
2763,002668,TCL智家,0.47,9934272533.52,4.8311382556,3.3168,511521133.4,-19.88,-33.2004,3.531178571895,13.88,1.088926240191,23.2784489449,白色家电,2026-08-18,sz002668
2764,002664,信质集团,0.1236,3112474696.55,9.0149178973,23.9036,50443872.19,0.76,-18.8448,8.728346709187,1.42,0.179401262592,13.6209285226,汽车零部件,2026-08-18,sz002664
2765,002615,哈尔斯,0.1,1773076234.95,12.8327455775,23.8203,48870414.16,-46.5,3845.4276,4.272416450972,2.37,-0.062050602149,26.5264780092,家居用品,2026-08-18,sz002615
2766,002563,森马服饰,0.18,6722204763.83,9.3247270362,-5.1029,479287414.8,47.45,-46.0665,4.254767939819,4.15,0.099679951669,47.8070416311,服装家纺,2026-08-18,sz002563
2767,002546,新联电子,0.54,408047535.01,8.2522480955,7.1765,452988178.05,140.95,296.9552,4.973115518406,11.36,-0.04233458879,37.9824951954,电网设备,2026-08-18,sz002546
2768,002489,浙江永强,-0.0019,3329359184.94,8.0966050902,-65.3089,-4021513.41,-100.78,-202.5945,1.961883763937,-0.09,0.684386276905,18.7956029458,家居用品,2026-08-18,sz002489
2769,002438,江苏神通,0.2966,1008384824.04,-5.6123121466,-6.5143,150542252.28,0.1,-23.9059,7.42732984425,3.97,0.028161215986,36.7721624453,通用设备,2026-08-18,sz002438
2770,002407,多氟多,0.43,7035840642.72,62.5493012967,18.8101,511861621.91,897.19,-63.6958,7.293298265204,5.94,0.282561050151,21.5703403337,化学制品,2026-08-18,sz002407
2771,002406,远东传动,0.14,904558325.8,25.9402543001,24.5069,100523449.0,83.78,23.2712,5.415238113938,2.44,0.150299940368,25.8459295992,汽车零部件,2026-08-18,sz002406
2772,002312,川发龙蟒,0.12,5396647957.37,14.815444398,-11.8077,225870506.99,-5.39,49.1969,5.122452765628,2.33,-0.037617555577,14.5910005096,农化制品,2026-08-18,sz002312
2773,002284,亚太股份,0.36,2759416264.11,6.0643453498,3.2295,268198717.89,33.7,-11.2582,4.806550100786,7.7,0.518125789937,21.2317311846,汽车零部件,2026-08-18,sz002284
2774,002262,恩华药业,0.73,3218250058.44,6.9142837804,-0.1399,740682973.24,5.74,33.3492,8.261088554652,8.86,0.276050487487,73.8626727829,化学制药,2026-08-18,sz002262
2775,002245,蔚蓝锂芯,0.2992,4857508932.7,30.3482210273,25.6253,510970595.2,53.39,60.9788,4.654375610043,6.51,0.315655302208,20.2968453047,电池,2026-08-18,sz002245
2776,002207,*ST准油,-0.0713,156723551.35,28.8490567562,85.9264,-18689642.33,1.26,81.013,0.032802196908,-105.89,-0.247890479431,-2.945274702,油服工程,2026-08-18,sz002207
2777,002192,融捷股份,3.8574,1524205167.81,402.3507799318,205.1657,1001599511.84,1076.14,160.3236,17.513379768939,24.58,1.702953500223,76.3610647268,能源金属,2026-08-18,sz002192
2778,002191,劲嘉股份,0.03,1590214057.41,28.3983199129,-41.7033,48269674.15,-60.49,-67.8808,4.407896651111,0.78,-0.111852316638,14.1483963647,包装印刷,2026-08-18,sz002191
2779,002172,澳洋健康,0.03,822546484.46,-8.8863553493,2.252,24164685.97,-23.42,261.5055,0.261312559613,12.85,-0.064996726245,12.0436297318,医疗服务,2026-08-18,sz002172
2780,002164,宁波东力,0.1,780076426.17,6.2104069008,31.346,53255483.7,74.17,44.5548,2.895495581688,3.42,0.038090816474,22.001491676,通用设备,2026-08-18,sz002164
2781,002150,正泰电源,0.19,1803170851.65,5.5293145434,20.1635,68311827.33,-29.8,253.9406,6.00514768424,3.12,-0.586054800365,31.1993776278,光伏设备,2026-08-18,sz002150
2782,002115,三维通信,0.0626,12072533881.65,173.7581051798,50.4574,50393505.16,1825.74,33.2058,2.575281434538,2.44,-0.023552336813,3.0473507306,通信服务,2026-08-18,sz002115
2783,002083,孚日股份,0.43,2918076003.01,12.7803068217,7.1278,403008902.65,64.01,23.4035,5.108382293249,8.22,0.430583235999,23.7467021275,纺织制造,2026-08-18,sz002083
2784,002080,中材科技,0.7197,16257366084.37,21.9475501368,37.1832,1207702748.73,20.93,37.9839,12.162529738227,5.92,-0.119183811941,21.2934516755,玻璃玻纤,2026-08-18,sz002080
2785,000921,海信家电,1.21,46765857550.25,-5.2178140071,2.8012,1658028371.34,-20.16,-39.7572,12.605943767767,9.05,2.336065994647,20.5121545148,白色家电,2026-08-18,sz000921
2786,000902,新洋丰,0.7659,11280693733.36,20.0339798211,5.1076,960995599.62,1.01,-7.234,9.98028418062,7.81,0.372052522204,17.1022688704,农化制品,2026-08-18,sz000902
2787,000868,安凯客车,0.002,1720624721.29,8.0485969797,52.2347,1882059.47,-89.77,-98.3041,0.854907997478,0.23,-0.663803180394,8.0888784874,商用车,2026-08-18,sz000868
2788,000819,岳阳兴长,0.039,2433056295.87,59.1170278879,23.8269,14214020.17,148.21,307.5584,5.672318608748,0.68,-0.073872149559,15.4685846587,炼化及贸易,2026-08-18,sz000819
2789,000816,智慧农业,0.0039,623935051.61,6.7825216206,97.0732,5660428.31,-42.05,244.8155,1.36902785695,0.29,0.030023863422,20.1280240012,汽车零部件,2026-08-18,sz000816
2790,000626,远大控股,0.4246,45938834193.86,10.2209467673,8.3041,215129097.24,640.14,168.486,4.635401394585,9.57,-1.835187217135,1.2975287477,物流,2026-08-18,sz000626
2791,000582,北部湾港,0.225,3585508858.34,0.8359256412,7.7567,557882719.81,5.09,43.2612,8.164936877037,2.77,0.514730575225,31.5636269864,航运港口,2026-08-18,sz000582
2792,000551,创元科技,0.3707,2257671478.17,8.5923409293,-14.6314,179714396.73,11.47,-55.2867,6.318464454392,5.99,0.45681278204,26.5143399475,环保设备Ⅱ,2026-08-18,sz000551
2793,000526,学大教育,2.5139,2162508311.02,12.8729727473,27.4883,300538136.45,30.85,131.4616,10.152683726192,27.62,2.378872592568,37.4550478231,教育,2026-08-18,sz000526
2794,000506,招金黄金,0.24,362915728.79,85.131256022,2.8827,226798249.89,407.44,-78.9803,0.97085595018,28.34,0.059680145878,55.9424937896,贵金属,2026-08-18,sz000506
2795,000430,张家界,0.38,211899572.99,9.3361688621,116.9499,308359133.18,1026.8,-99.2341,2.24783253184,20.94,0.005456594416,21.9420937966,旅游及景区,2026-08-18,sz000430
2796,000049,德赛电池,0.5337,10716334708.34,9.7787183907,13.997,205277265.25,110.44,56.8647,17.759816799557,3.02,0.949553875562,9.709592472,电池,2026-08-18,sz000049
2797,000020,深华发A,0.0297,310983938.59,-31.8285796622,3.6433,8405950.38,-41.38,-38.4435,1.580392295058,1.9,-0.001326530804,13.0010978166,光学光电子,2026-08-18,sz000020
2869,688380,中微半导,0.43,725773748.57,44.0139092508,23.1917,171622263.44,98.48,134.8832,8.063179101969,5.26,0.482644456084,38.746032871,半导体,2026-08-17,sh688380
2870,688100,威胜信息,0.41,1066739586.84,-22.0189784391,0.5594,202352240.62,-33.68,-63.5347,7.322146907358,5.66,-0.204094749226,38.1006900291,通信设备,2026-08-17,sh688100
2871,605020,永和股份,1.0,3134104937.92,28.1591303903,36.745,512891744.3,89.01,84.4989,11.821425719237,8.59,0.830233118687,30.4299406124,化学制品,2026-08-17,sh605020
2872,603208,江山欧派,-0.53,435707941.2,-49.7908939387,-8.7217,-92514152.29,-1017.11,-54.428,5.444224856998,-8.91,-0.71040537352,16.4545407854,家居用品,2026-08-17,sh603208
2873,603181,皇马科技,0.4,1317759804.17,10.3600097765,0.5696,232057814.09,6.13,6.4203,6.136948364991,6.43,0.303798938543,28.9008148325,化学制品,2026-08-17,sh603181
2874,600477,杭萧钢构,0.035,2972250899.36,-37.5516748785,27.2625,81662482.95,-36.01,172.8643,2.120263724504,1.638,0.028297859726,15.2619519522,专业工程,2026-08-17,sh600477
2879,301696,三瑞智能,0.71,735320317.3,68.7919259598,19.9778,265147519.03,65.45,3.5135,5.302905639009,17.01,0.58857059036,56.0154700053,航空装备Ⅱ,2026-08-17,sz301696
2880,301584,建发致新,0.35,10004379631.67,1.7853110574,21.2064,147977054.72,7.98,27.0335,5.152468583519,6.82,0.18148791312,8.0960866438,医药商业,2026-08-17,sz301584
2881,300682,朗新科技,-0.1674,1482396790.08,-3.8934814504,13.8354,-180485266.39,-730.23,-163.0508,5.909158832324,-2.7,-0.328305594366,43.8338231537,IT服务Ⅱ,2026-08-17,sz300682
2882,300012,华测检测,0.3363,3429393251.1,15.8598162158,29.4137,563683787.04,20.63,116.1164,4.810027317613,7.14,0.260040276619,49.3831923168,专业服务,2026-08-17,sz300012
2883,002767,先锋电子,0.0894,344607530.76,21.0417051456,48.9959,13413732.19,2.1,3828.3974,5.804902346733,1.55,-0.970054739267,31.1682906909,通用设备,2026-08-17,sz002767
2884,000712,锦龙股份,0.016,349326571.88,-16.28,32.3974,14248853.54,-88.59,290.7907,2.99330962923,0.53,1.751164118672,,证券Ⅱ,2026-08-17,sz000712
2886,688699,明微电子,0.8,483759700.31,69.2571939285,24.677,84982798.36,340.36,158.8616,11.65381467454,6.89,0.433252687966,32.9679769207,半导体,2026-08-15,sh688699
2887,688657,浩辰软件,0.23,181382515.51,25.7984430363,43.3133,22072354.2,-16.89,318.7024,14.666940024925,1.58,0.216979635544,92.791910321,软件开发,2026-08-15,sh688657
2888,688628,优利德,1.25,815111082.45,32.0190119385,6.3754,139975388.73,42.82,-7.1006,11.870651696,10.56,0.909148776388,44.9317393979,通用设备,2026-08-15,sh688628
2889,688623,双元科技,0.51,182169690.96,12.7995638609,24.6828,43693094.97,19.68,34.69,24.74411946017,2.05,0.84663723458,37.6965091822,自动化设备,2026-08-15,sh688623
2890,688585,上纬新材,-0.41,802730868.27,2.4186817789,-7.93,-166536944.52,-656.97,-205.5093,2.918473846755,-13.29,0.515694932639,14.268288527,塑料,2026-08-15,sh688585
2891,688531,日联科技,0.78,715401975.65,55.3899509991,41.7384,128022734.82,54.63,89.9512,20.711676797965,3.72,0.21430608677,44.984212611,专用设备,2026-08-15,sh688531
2892,688508,芯朋微,1.22,665113984.32,4.5737666335,26.4877,157573761.51,74.13,948.1416,21.856654415025,5.59,-0.433419197379,35.1010190018,半导体,2026-08-15,sh688508
2893,688505,复旦张江,0.04,372225274.0,-4.5779572226,49.73,36894990.0,545.57,278.4319,2.07672945278,1.73,0.079711473037,91.6292774359,化学制药,2026-08-15,sh688505
2894,688499,利元亨,0.23,1959865832.13,28.1791160749,23.9813,38950091.32,16.58,6.3322,14.026697253238,1.67,0.548646961975,24.3963965258,电池,2026-08-15,sh688499
2895,688352,颀中科技,-0.26,961326916.26,-3.4580594835,28.6835,-303449852.9,-405.92,96.4655,4.850312938003,-5.09,0.00600476997,15.8962717516,半导体,2026-08-15,sh688352
2896,688345,博力威,0.72,1755407712.19,30.4767874994,37.147,72482610.39,101.24,59.2614,12.421661261792,6.12,0.281002026693,16.413667426,电池,2026-08-15,sh688345
2897,688300,联瑞新材,0.62,629369232.82,21.2056258637,14.0997,149016641.82,7.48,8.0177,7.177236463666,8.26,0.240669417494,38.0441698234,非金属材料Ⅱ,2026-08-15,sh688300
2898,688286,敏芯股份,-0.26,247078752.77,-18.7207071744,30.866,-20615464.03,-181.84,1.0284,18.481121738419,-1.94,-0.62804796459,23.8092970158,半导体,2026-08-15,sh688286
2899,688227,品高股份,0.04,181677205.78,10.0354030321,84.8977,4424385.11,127.9887231964,228.8694,11.193909588385,0.35,-0.225581717439,35.1478730069,IT服务Ⅱ,2026-08-15,sh688227
2900,688183,生益电子,1.35,5783539107.99,53.4617074251,39.9243,1110707603.86,109.36,49.7554,7.774918795891,17.95,1.095336333284,34.3088361251,元件,2026-08-15,sh688183
2901,688181,八亿时空,0.34,470051996.34,13.165472152,-7.9791,43697608.76,41.54,-23.4318,15.489198892166,2.08,-0.458068523766,39.7755743377,光学光电子,2026-08-15,sh688181
2902,688123,聚辰股份,3.31,601921678.97,4.7083712207,14.9763,525334159.47,156.07,1503.2156,19.653637515703,18.21,0.545191501467,51.4957972938,半导体,2026-08-15,sh688123
2903,688083,中望软件,-0.1,360035053.32,7.924265346,44.5322,-17252760.29,67.0786040113,154.9589,15.366512181767,-0.65,-0.020736198253,95.9905331892,软件开发,2026-08-15,sh688083
2904,688059,华锐精密,2.43,621346107.24,19.695053535,-51.395,237847287.36,178.32,-64.234,21.745160097084,12.14,-0.370039864475,55.8026835607,通用设备,2026-08-15,sh688059
