,upbig_600183,pct_600183,upbig_002463,pct_002463,upbig_002916,pct_002916,upbig_300476,pct_300476,upbig_002938,pct_002938,upbig_300502,pct_300502,upbig_300308,pct_300308,upbig_300394,pct_300394,upbig_300408,pct_300408,upbig_301018,pct_301018,upbig_002837,pct_002837,theme_count,theme_basket_ret_eq
2026-04-29,0,1.8112613203832506,0,0.09860960457548362,0,-0.13417244353575164,0,6.647288059796841,0,-2.4080086580086646,0,0.2853552542017912,0,2.546054707410006,0,0.4164591915259752,0,0.3937976864385906,0,-4.888939775589662,0,1.7957351290684542,0,0.5966763705696649
2026-04-30,0,-1.920845687765882,0,0.5713722785932296,0,-0.6365759252743075,0,-1.6114056369245455,0,-1.067369004713048,0,-2.085780666718884,0,1.4792899408283988,0,-1.1540368750845298,0,4.498651630301542,0,0.2527988443481455,0,0.09647188533625783,0,-0.14340265609760205
2026-05-06,0,5.625657202944279,0,2.164756587324912,0,1.9992273517481118,0,-0.78236780419495,0,4.273504273504258,0,-0.6291991041910916,0,-0.1749271137026276,0,2.8184430154603923,0,-0.8093841642228705,0,2.341498559077815,0,3.3594933223185963,0,1.8351547387333476
2026-05-07,0,1.4683922349427725,0,2.953020134228179,0,1.4897579143389184,0,3.724840451644562,0,0.940607363611945,0,7.8503970809186585,0,2.5081775700934505,0,3.7879795963628338,0,2.329706717123936,0,14.325941569869748,0,4.8621286798987695,0,4.203722664821252
2026-05-08,0,0.0,0,1.2385919165580184,0,-0.967190172601462,0,6.093592853339658,0,-0.38604898828541456,0,-2.0996069456191813,0,0.9721130067124717,0,-0.559852985170306,0,-0.7858546168958869,0,-0.7081280788177269,0,-0.2413617886178887,0,0.23238674550929825
2026-05-11,0,2.035810645082159,0,-0.027596357280823547,0,4.104383871372952,0,5.459209278982868,0,6.0403581451289545,0,2.1802103979265075,0,6.109480812641088,0,1.7190991920233767,0,2.7606290040768755,0,0.7441860465116301,0,-0.11460588310200359,0,2.819196832123962
2026-05-12,0,2.3317307692307665,0,0.0,0,-1.1191215951253275,0,-0.7429145516074431,0,-0.9955891619407575,0,5.11290162140654,0,8.281833363471014,0,3.1730606726381616,0,-0.01133529811834233,0,-0.3283061454806502,0,-2.129015808261092,0,1.2339312605648063
2026-05-13,1,10.00704721634953,0,3.5885167464114742,0,5.6741915802318355,0,3.1883440321764267,1,9.992362525458232,0,6.155957225324116,0,3.0658454405249502,0,10.43859289897211,0,2.8114726221516895,0,2.707153885743696,0,6.3957274977204825,2,5.820473788278594
2026-05-14,0,-0.9182148195601147,0,-4.938710250488542,0,-4.91916859122401,0,-8.407330924109447,0,-3.506538595070019,0,-1.7628705148205803,0,2.744948532215008,0,3.6487689113022803,0,-2.536112029992277,0,-4.90078171978352,0,-3.9299706170421222,0,-2.6750891471430314
2026-05-15,0,-3.6099137931034475,0,-3.765651280134552,0,-2.4471702696137965,0,-4.117464701406293,0,2.062844806908126,0,-1.270446244243295,0,-2.6094619666048313,0,2.0392100744133,0,-3.0433306935173654,0,-0.9695436821582915,0,-1.669427806805146,0,-1.7636686869332356
2026-05-18,1,10.005589714924534,0,1.2331294300417683,0,3.9215686274509665,0,1.7576862030450835,0,3.8660399529964806,0,-1.6613433213079398,0,-0.4638669549563157,0,-3.7585022088212683,0,2.5670945157526326,0,5.49111418537831,0,1.6200103680663602,1,2.2344109556882374
2026-05-19,0,1.8495934959349425,0,-1.5921734126222997,0,-1.0781671159029504,0,-2.6632004621605976,0,5.487046045932797,0,-4.570520609402751,0,-1.4354066985645897,0,-5.701275045537335,0,9.829351535836173,0,3.823262382729764,0,0.2678229817625333,0,0.38330300890960795
