code,name,disclosure_date,np_yoy_pct,rev_yoy_pct,tier,np_rank_pct,ret_1d,ret_5d,ret_20d,idx_ret_1d,excess_ret_1d,idx_ret_5d,excess_ret_5d,idx_ret_20d,excess_ret_20d
002396,星网锐捷,2026-08-15,75.86,20.7331209302,Beat(前1/3),0.7818713450292397,0.037955310682583177,0.015304560759106245,,0.014126690527748176,0.023828620154835,-0.005595114657453548,0.020899675416559793,,
300268,佳沃食品,2026-08-24,99.09,-66.146158348,Beat(前1/3),0.8099415204678363,,,,,,,,,
300308,中际旭创,2026-08-22,241.7,182.4913813287,Beat(前1/3),0.9181286549707602,,,,,,,,,
002799,环球印务,2026-08-12,388.37,-23.1546785196,Beat(前1/3),0.9497076023391813,0.02363367799113747,0.013293943870014813,,0.0031981958738647176,0.020435482117272752,0.014288172648689423,-0.0009942287786746107,,
600366,宁波韵升,2026-08-18,154.18,42.0220388493,Beat(前1/3),0.8713450292397661,-0.015067406819984086,,,0.0019208296778983058,-0.016988236497882392,,,,
002648,卫星化学,2026-08-15,126.94,30.9167563939,Beat(前1/3),0.8444444444444444,0.0213776722090262,0.06888361045130642,,0.014126690527748176,0.007250981681278024,-0.005595114657453548,0.07447872510875997,,
002127,南极电商,2026-08-20,279.42,-25.7328896657,Beat(前1/3),0.9292397660818713,0.021428571428571352,,,0.002387774103576934,0.01904079732499442,,,,
603101,汇嘉时代,2026-07-31,46.4,4.9829625973,Beat(前1/3),0.7105263157894737,-0.005586592178770999,0.029329608938547524,,0.007246051126858388,-0.012832643305629388,0.02514237022540322,0.004187238713144303,,
300749,顶固集创,2026-08-24,1678.13,-36.1921917868,Beat(前1/3),0.987719298245614,,,,,,,,,
688123,聚辰股份,2026-08-15,156.07,4.7083712207,Beat(前1/3),0.8730994152046784,0.009665530908838038,-0.03421180724567152,,0.014126690527748176,-0.004461159618910138,-0.005595114657453548,-0.028616692588217973,,
600872,中炬高新,2026-08-20,61.25,19.231324855,Beat(前1/3),0.7491228070175439,0.006448146157979728,,,0.002387774103576934,0.004060372054402794,,,,
300033,同花顺,2026-08-22,89.76,48.6819017812,Beat(前1/3),0.8005847953216374,,,,,,,,,
688111,金山办公,2026-08-20,236.94,24.6936697354,Beat(前1/3),0.9169590643274854,-0.022215028527495684,,,0.002387774103576934,-0.024602802631072618,,,,
300236,上海新阳,2026-08-21,59.96,33.6730119364,Beat(前1/3),0.7461988304093568,-0.07382270021927528,,,0.00037963778661431746,-0.0742023380058896,,,,
002115,三维通信,2026-08-18,1825.74,173.7581051798,Beat(前1/3),0.9888888888888889,-0.04139072847682124,,,0.0019208296778983058,-0.04331155815471954,,,,
300694,蠡湖股份,2026-08-21,99.3,-7.7966637378,Beat(前1/3),0.8105263157894737,-0.010338345864661758,,,0.00037963778661431746,-0.010717983651276075,,,,
603608,天创时尚,2026-08-22,316.2,-3.0592527092,Beat(前1/3),0.9374269005847953,,,,,,,,,
600688,上海石化,2026-08-20,165.0103434546,-1.344100808,Beat(前1/3),0.8777777777777778,-0.0035460992907800915,,,0.002387774103576934,-0.005933873394357025,,,,
002039,黔源电力,2026-08-21,83.14,25.9198720556,Beat(前1/3),0.7906432748538011,0.002103049421661396,,,0.00037963778661431746,0.0017234116350470785,,,,
300077,国民技术,2026-08-22,112.0,43.3922675072,Beat(前1/3),0.8292397660818713,,,,,,,,,
001378,德冠新材,2026-08-19,63.8,20.1657871725,Beat(前1/3),0.7543859649122807,-0.07105637138796783,,,-0.024028745679527175,-0.04702762570844066,,,,
002845,同兴达,2026-08-21,136.15,6.0436117837,Beat(前1/3),0.856140350877193,-0.00302571860816947,,,0.00037963778661431746,-0.0034053563947837873,,,,
001317,三羊马,2026-08-21,117.53,-22.1715475836,Beat(前1/3),0.835672514619883,-0.008925251022685043,,,0.00037963778661431746,-0.009304888809299361,,,,
000547,航天发展,2026-08-20,40.92,57.2330011785,Beat(前1/3),0.6859649122807018,-0.032798325191905175,,,0.002387774103576934,-0.03518609929548211,,,,
688003,天准科技,2026-08-20,793.9166584513,48.6292382214,Beat(前1/3),0.9725146198830409,0.06931664826401662,,,0.002387774103576934,0.06692887416043969,,,,
002611,东方精工,2026-07-28,867.75,-21.6817305372,Beat(前1/3),0.9760233918128655,0.012881355932203409,0.10576271186440667,,-0.011645191013012313,0.02452654694521572,-0.012591735361543899,0.11835444722595057,,
688192,迪哲医药,2026-08-21,44.2512984675,47.2367976733,Beat(前1/3),0.7035087719298245,-0.05068382944489136,,,0.00037963778661431746,-0.05106346723150568,,,,
605020,永和股份,2026-08-17,89.01,28.1591303903,Beat(前1/3),0.8,0.012370540851553535,-0.06990794016110469,,0.014126690527748176,-0.0017561496761946405,-0.005595114657453548,-0.06431282550365114,,
002184,海得控制,2026-08-24,74.56,-21.8020403772,Beat(前1/3),0.7783625730994153,,,,,,,,,
688035,德邦科技,2026-08-11,49.33,27.5411972033,Beat(前1/3),0.7187134502923976,-0.03743315508021383,0.1819754639823845,,-0.008193679514465146,-0.029239475565748685,0.004048813667342888,0.17792665031504162,,
002436,兴森科技,2026-08-21,283.27,17.8632006098,Beat(前1/3),0.9309941520467836,0.04554865424430643,,,0.00037963778661431746,0.04516901645769211,,,,
603806,福斯特,2026-08-20,69.89,-12.1979499046,Beat(前1/3),0.7672514619883041,0.02836411609498679,,,0.002387774103576934,0.025976341991409857,,,,
688313,仕佳光子,2026-08-01,45.3,50.6601605112,Beat(前1/3),0.7070175438596491,0.07474455797423363,0.41825855175477566,,-0.005897039398663262,0.08064159737289689,0.02812307718000473,0.39013547457477094,,
000703,恒逸石化,2026-08-11,2500.73,20.2810654211,Beat(前1/3),0.9923976608187135,-0.037403740374037375,-0.0726072607260726,,-0.008193679514465146,-0.02921006085957223,0.004048813667342888,-0.07665607439341549,,
000042,中洲控股,2026-08-21,421.76,168.3505063497,Beat(前1/3),0.9514619883040936,-0.03204419889502774,,,0.00037963778661431746,-0.03242383668164206,,,,
688183,生益电子,2026-08-15,109.36,53.4617074251,Beat(前1/3),0.8251461988304094,0.019743081300112042,-0.07250625053883952,,0.014126690527748176,0.005616390772363866,-0.005595114657453548,-0.06691113588138597,,
600075,新疆天业,2026-08-22,359.17,-3.5724428177,Beat(前1/3),0.9473684210526315,,,,,,,,,
300331,苏大维格,2026-08-24,62.29,5.3932452586,Beat(前1/3),0.752046783625731,,,,,,,,,
000620,盈新发展,2026-08-22,153.38,35.1677449292,Beat(前1/3),0.8707602339181286,,,,,,,,,
601933,永辉超市,2026-08-21,205.2327298464,-20.5597888902,Beat(前1/3),0.9046783625730994,-0.02848101265822789,,,0.00037963778661431746,-0.028860650444842206,,,,
300686,智动力,2026-08-22,61.92,-13.6511436474,Beat(前1/3),0.7508771929824561,,,,,,,,,
002185,华天科技,2026-08-22,259.15,35.0936216735,Beat(前1/3),0.9222222222222223,,,,,,,,,
603132,金徽股份,2026-08-07,61.52,37.0026630278,Beat(前1/3),0.7497076023391813,-0.015368309485956688,-0.04610492845786973,,0.010174722691695504,-0.025543032177652192,0.006823230313571793,-0.052928158771441525,,
300069,金利华电,2026-08-24,36.11,35.1440559482,Beat(前1/3),0.6701754385964912,,,,,,,,,
000599,青岛双星,2026-08-14,503.71,-4.4107978615,Beat(前1/3),0.9584795321637427,-0.028513238289205822,-0.04276985743380857,,5.3731062028772314e-05,-0.028566969351234595,-0.0059190749089946815,-0.036850782524813885,,
300821,东岳硅材,2026-08-21,916.22,14.4999382776,Beat(前1/3),0.9783625730994152,-0.020797227036395083,,,0.00037963778661431746,-0.0211768648230094,,,,
301210,金杨精密,2026-08-21,177.7,59.5724299589,Beat(前1/3),0.887719298245614,-0.009468917249897069,,,0.00037963778661431746,-0.009848555036511386,,,,
002722,物产金轮,2026-08-18,41.04,11.3261709666,Beat(前1/3),0.6865497076023391,0.01156515034695449,,,0.0019208296778983058,0.009644320669056183,,,,
