code,name,g_q3_25,g_ann25,g_q1_26,g_h1_26,group,high_growth,ann_date,ret_5d,ret_20d,ret_40d
601869,长飞光纤,-8.15,40.56,966.44,1680.48,accel,True,2026-08-22,,,
601377,兴业证券,92.81,39.98,42.65,61.39,accel,False,2026-08-20,,,
300127,银河磁体,26.37,19.63,39.24,41.99,accel,False,2026-08-22,,,
003022,联泓新科,55.14,64.45,109.12,165.95,accel,True,2026-08-18,,,
002406,远东传动,47.35,55.13,76.88,102.88,accel,True,2026-08-18,,,
001389,广合科技,46.71,45.66,67.88,96.71,accel,True,2026-08-08,2.2824536376604865,,
600719,大连热电,3.82,29.83,56.77,205.07,accel,True,2026-08-14,-6.25832223701731,,
600030,中信证券,37.41,40.51,58.5,73.97,accel,True,2026-08-21,,,
301377,鼎泰高科,79.94,102.53,284.74,353.28,accel,True,2026-08-20,,,
000989,九芝堂,-39.62,4.06,36.11,70.36,accel,False,2026-08-20,,,
601168,西部矿业,4.83,22.77,105.82,129.65,accel,True,2026-07-30,8.403819918144606,,
600318,新力金融,19.85,14.62,15.72,28.74,accel,False,2026-08-12,-5.381165919282516,,
688617,惠泰医疗,18.5,23.0,24.72,28.71,accel,False,2026-08-20,,,
688781,视涯科技,15.36,18.05,40.06,59.24,accel,False,2026-08-21,,,
600176,中国巨石,125.91,94.7,71.43,70.93,decel,True,2026-08-21,,,
300483,首华燃气,92.46,123.05,165.97,2939.56,accel,True,2026-08-24,,,
300059,东方财富,52.47,25.94,36.95,47.13,accel,False,2026-08-22,,,
300268,佳沃食品,37.39,54.8,95.47,98.88,accel,True,2026-08-24,,,
688045,必易微,68.17,92.43,169.39,313.62,accel,True,2026-08-15,,,
603929,亚翔集成,0.8,37.9,202.36,205.75,accel,True,2026-07-31,10.909213271418006,,
