date,ticker,name,decision_raw,group,t0_date,t0_close,n_days_avail,ret_5,ret_20,ret_40,data_status
2026-07-02,300354,东华测试,probe,probe,2026-07-02,36.99,36,-5.299,-25.223,,OK
2026-07-02,000708,中信特钢,reject,reject,2026-07-02,12.87,36,-1.476,16.472,,OK
2026-07-02,002407,多氟多,watch_expired,watch,2026-07-02,54.82,36,-20.376,-44.254,,OK
2026-07-02,002759,天际股份,probe,probe,2026-07-02,26.25,35,-19.81,-44.571,,OK
2026-07-02,000831,中国稀土,watch_expired,watch,2026-07-02,53.17,36,-9.178,-10.852,,OK
2026-07-02,688131,皓元医药,probe,probe,2026-07-02,92.32,36,-8.297,-17.299,,OK
2026-07-02,688293,奥浦迈,probe,probe,2026-07-02,42.91,36,0.443,18.341,,OK
2026-07-02,688690,纳微科技,probe,probe,2026-07-02,42.32,36,-4.419,-18.856,,OK
2026-07-02,300725,药石科技,probe,probe,2026-07-02,36.79,36,-1.332,-2.691,,OK
2026-07-02,600577,精达股份,reject,reject,2026-07-02,9.39,36,-7.987,-18.956,,OK
2026-07-02,603191,望变电气,reject,reject,2026-07-02,15.83,36,-10.234,-14.214,,OK
2026-07-02,688226,威腾电气,reject,reject,2026-07-02,41.9,36,-10.239,-40.095,,OK
2026-07-02,688190,云路股份,reject,reject,2026-07-02,86.49,36,-10.475,-23.008,,OK
2026-07-02,002606,大连电瓷,probe,probe,2026-07-02,13.48,36,-7.641,9.347,,OK
2026-07-02,600010,包钢股份,reject,reject,2026-07-02,2.22,36,-5.856,-0.901,,OK
2026-07-02,600378,昊华科技,probe,probe,2026-07-02,82.17,36,-19.435,-51.004,,OK
2026-07-02,600673,东阳光,reject,reject,2026-07-02,36.46,36,5.156,-29.292,,OK
2026-07-02,300343,联创股份,reject,reject,2026-07-02,6.96,36,-17.529,-18.822,,OK
2026-07-02,600549,厦门钨业,watch_expired,watch,2026-07-02,82.15,36,-21.229,-45.222,,OK
2026-07-02,000657,中钨高新,probe,probe,2026-07-02,96.78,36,-21.482,-49.99,,OK
2026-07-02,000969,安泰科技,watch_expired,watch,2026-07-02,24.99,36,-17.887,-38.495,,OK
2026-07-02,688308,欧科亿,watch_expired,watch,2026-07-02,176.49,36,-18.262,-55.805,,OK
2026-07-02,688776,国光电气,watch_expired,watch,2026-07-02,58.66,36,-7.569,-21.65,,OK
2026-07-02,002438,江苏神通,watch_expired,watch,2026-07-02,14.33,36,-7.327,-13.398,,OK
2026-07-02,002378,章源钨业,probe,probe,2026-07-02,35.43,36,-21.338,-39.656,,OK
2026-07-03,002428,云南锗业,watch_expired,watch,2026-07-03,105.07,35,-4.578,-36.281,,OK
2026-07-03,300563,神宇股份,reject,reject,2026-07-03,27.8,35,-4.64,-19.64,,OK
2026-07-03,688629,华丰科技,probe,probe,2026-07-03,180.0,35,12.222,-23.389,,OK
2026-07-03,002837,英维克,watch_expired,watch,2026-07-03,71.43,35,2.954,-33.571,,OK
2026-07-03,688608,恒玄科技,reject,reject,2026-07-03,113.97,35,3.712,8.686,,OK
2026-07-03,688484,南芯科技,reject,reject,2026-07-03,48.06,35,-7.886,-29.13,,OK
2026-07-03,300174,元力股份,watch_expired,watch,2026-07-03,29.74,35,-21.856,-42.67,,OK
2026-07-03,601958,金钼股份,watch_expired,watch,2026-07-03,24.58,35,-10.456,-16.07,,OK
2026-07-03,300748,金力永磁,probe,probe,2026-07-03,34.25,35,-16.234,-25.255,,OK
2026-07-03,301076,新瀚新材,watch_expired,watch,2026-07-03,29.59,35,-16.864,-30.281,,OK
2026-07-03,605488,福莱新材,watch_expired,watch,2026-07-03,34.88,35,-14.249,-29.673,,OK
2026-07-03,300354,东华测试,reject,reject,2026-07-03,37.21,35,-6.208,-22.897,,OK
2026-07-03,000831,中国稀土,probe,probe,2026-07-03,54.45,35,-12.176,-12.176,,OK
2026-07-03,688234,天岳先进,watch_expired,watch,2026-07-03,145.6,35,-2.624,-40.488,,OK
2026-07-03,002466,天齐锂业,watch_expired,watch,2026-07-03,58.66,35,-18.513,-22.69,,OK
2026-07-03,300627,华测导航,reject,reject,2026-07-03,28.6,35,1.049,-0.734,,OK
2026-07-03,002703,浙江世宝,probe,probe,2026-07-03,15.08,35,-10.676,-3.382,,OK
2026-07-03,688071,华依科技,reject,reject,2026-07-03,36.21,35,-6.932,6.877,,OK
2026-07-03,300552,万集科技,reject,reject,2026-07-03,23.93,35,-8.817,-15.712,,OK
2026-07-03,300709,精研科技,watch_expired,watch,2026-07-03,50.8,35,-6.614,-35.866,,OK
2026-07-03,600114,东睦股份,watch_expired,watch,2026-07-03,37.73,35,-13.226,-29.87,,OK
2026-07-03,600456,宝钛股份,reject,reject,2026-07-03,28.07,35,-0.962,0.713,,OK
2026-07-03,688127,蓝特光学,watch_expired,watch,2026-07-03,84.3,35,-6.168,-29.668,,OK
2026-07-03,603191,望变电气,watch_expired,watch,2026-07-03,15.82,35,-8.913,-13.59,,OK
2026-07-03,600577,精达股份,reject,reject,2026-07-03,9.69,35,-10.939,-20.021,,OK
2026-07-03,688190,云路股份,reject,reject,2026-07-03,87.0,35,-13.345,-22.287,,OK
2026-07-03,002533,金杯电工,reject,reject,2026-07-03,11.03,35,-4.533,3.536,,OK
2026-07-03,688102,斯瑞新材,probe,probe,2026-07-03,48.54,35,-5.192,-42.728,,OK
2026-07-03,300045,华力创通,reject,reject,2026-07-03,17.7,35,0.0,-29.661,,OK
2026-07-03,688239,航宇科技,probe,probe,2026-07-03,62.19,35,-10.918,-34.571,,OK
2026-07-03,002935,天奥电子,probe,probe,2026-07-03,23.2,35,-6.724,-34.224,,OK
