code,date,month,close,turn,fcap,gain20,streak,yizi,isST,lp,mkt_lu_cnt,promo_rate,peer_cnt,ret_open,ret_close,next_lu,next_dt_yizi
sz.002581,2025-04-30,2025-04,6.61,10.7155,2517796903.6442533,-30.712788259958057,1,False,0,0.1,96,0.2191780821917808,0,4.53857791225416,8.018154311649006,False,False
sz.002581,2025-05-20,2025-05,8.69,3.2749,3360530366.728755,2.2352941176470464,1,False,0,0.1,100,0.33884297520661155,0,0.0,2.7617951668584606,False,False
sz.002581,2025-06-09,2025-06,9.03,3.6115,3479737668.558771,21.862348178137637,1,False,0,0.1,86,0.328125,2,0.8859357696566983,-0.44296788482833804,False,False
sz.002581,2025-07-01,2025-07,9.83,7.636,3689011300.288109,18.14903846153846,1,False,0,0.1,68,0.15555555555555556,3,1.729399796541209,0.4069175991861629,False,False
sz.002581,2025-07-03,2025-07,10.86,8.8485,4180408566.9887557,33.4152334152334,1,False,0,0.1,64,0.2459016393442623,0,2.7624309392265234,1.4732965009208066,False,False
sz.002581,2025-08-19,2025-08,7.69,2.6531,3042728136.5195436,2.3968042609853635,1,False,1,0.05,101,0.2711864406779661,1,-1.8205461638491571,0.5201560468140354,False,False
sz.002581,2025-09-01,2025-09,7.65,2.9311,3051610658.45587,5.9556786703601095,1,False,1,0.05,117,0.21333333333333335,3,0.6535947712418277,-0.5228758169934622,False,False
sz.002581,2025-09-15,2025-09,8.39,1.9329,3299640203.321434,14.617486338797825,1,False,1,0.05,80,0.1891891891891892,4,5.005959475566146,5.005959475566146,True,False
sz.002581,2025-09-16,2025-09,8.81,0.3179,3531482541.6797733,14.564369310793236,2,True,1,0.05,87,0.275,7,4.99432463110101,-2.383654937570956,False,False
sz.002581,2025-11-03,2025-11,8.2,2.0558,3236208775.1726823,1.3597033374536327,1,False,1,0.05,90,0.32432432432432434,4,1.2195121951219745,-0.9756097560975618,False,False
sz.002581,2025-12-17,2025-12,7.49,1.4565,2984145005.149331,-7.416563658838071,1,False,1,0.05,57,0.19047619047619047,0,4.939919893190914,4.939919893190914,True,False
sz.002581,2025-12-18,2025-12,7.86,1.2079,3142327570.1630926,-2.722772277227725,2,False,1,0.05,70,0.3684210526315789,1,0.5089058524172962,2.1628498727735312,False,False
sz.002582,2025-01-02,2025-01,9.11,12.5125,3116498870.489511,,1,False,0,0.1,64,,0,9.989023051591662,-2.7442371020856227,False,False
sz.002582,2025-01-09,2025-01,8.49,30.4492,2773123776.355372,,1,False,0,0.1,94,0.36231884057971014,0,-1.8845700824499434,-10.011778563015316,False,False
sz.002582,2025-01-13,2025-01,8.4,34.714,2758608808.8955464,,1,False,0,0.1,52,0.20454545454545456,3,-2.619047619047632,2.9761904761904656,False,False
sz.002582,2025-01-15,2025-01,9.52,40.2919,3147951867.0253825,,1,False,0,0.1,75,0.18666666666666668,6,-0.9453781512605008,9.978991596638664,True,False
sz.002582,2025-01-16,2025-01,10.47,44.5303,3372711593.252235,,2,False,0,0.1,80,0.3333333333333333,6,0.0,-7.545367717287499,False,False
sz.002582,2025-01-21,2025-01,9.87,43.9328,3215464614.137956,,1,False,0,0.1,49,0.23376623376623376,6,0.0,0.3039513677811634,False,False
sz.002582,2025-01-23,2025-01,10.89,43.7982,3547237619.742364,,1,False,0,0.1,44,0.28888888888888886,5,-4.40771349862259,-4.866850321395788,False,False
sz.002582,2025-02-27,2025-02,10.73,25.9421,3616713501.258572,8.383838383838382,1,False,0,0.1,78,0.17307692307692307,10,9.412861136999062,9.972041006523757,True,False
sz.002582,2025-02-28,2025-02,11.8,19.8973,4015105146.3263855,8.356290174471992,2,False,0,0.1,49,0.15384615384615385,7,6.949152542372872,-9.91525423728813,False,False
sz.002582,2025-04-02,2025-04,9.9,15.447,3312443453.8098016,-2.5590551181102317,1,False,0,0.1,47,0.09523809523809523,4,-0.5050505050505083,3.737373737373728,False,False
sz.002582,2025-04-21,2025-04,11.59,18.4248,3847520891.732881,18.993839835728956,1,False,0,0.1,111,0.2857142857142857,4,-1.6393442622950727,-2.674719585849872,False,False
sz.002582,2025-04-24,2025-04,12.0,19.3787,4080491166.332107,20.361083249749235,1,False,0,0.1,64,0.25,3,-4.416666666666657,0.08333333333332416,False,False
sz.002583,2025-01-14,2025-01,13.92,14.8955,17443907561.344032,,1,False,0,0.1,150,0.34615384615384615,0,0.0,-2.442528735632188,False,False
sz.002583,2025-04-18,2025-04,11.76,8.8406,14852389284.437708,-6.888361045130653,1,False,0,0.1,63,0.18947368421052632,0,6.972789115646272,10.034013605442183,True,False
sz.002583,2025-04-21,2025-04,12.94,15.0451,16310172826.833984,5.288852725793336,2,False,0,0.1,111,0.2857142857142857,0,2.2411128284389514,1.3137557959814528,False,False
