code,date,month,close,turn,fcap,gain20,streak,yizi,isST,lp,mkt_lu_cnt,promo_rate,peer_cnt,ret_open,ret_close,next_lu,next_dt_yizi
sh.603015,2026-01-07,2026-01,14.14,5.1084,5591782553.832904,11.514195583596232,1,False,0,0.1,97,0.23741007194244604,0,9.971711456859978,9.971711456859978,True,False
sh.603015,2026-01-08,2026-01,15.55,1.2427,6285833797.376679,26.42276422764227,2,True,0,0.1,107,0.32989690721649484,3,10.032154340835998,10.032154340835998,False,False
sh.603015,2026-01-12,2026-01,18.82,20.2739,7144425937.042207,52.14227970897334,1,False,0,0.1,191,0.4392523364485981,17,-2.5504782146652527,-9.989373007438884,False,False
sh.603016,2026-03-18,2026-03,34.63,3.2863,4954048888.415543,-0.2017291066282456,1,False,0,0.1,69,0.20408163265306123,0,0.17326017903549484,3.8983540282991447,False,False
sh.603016,2026-03-23,2026-03,38.58,7.1364,5542812312.930889,15.37081339712918,1,False,0,0.1,18,0.10256410256410256,0,1.477449455676516,2.8771384136858424,False,False
sh.603016,2026-03-30,2026-03,45.02,4.8407,6351342223.851921,39.94404724898975,1,False,0,0.1,28,0.21875,0,1.2883163038649448,6.908040870724119,False,False
sh.603017,2025-11-26,2025-11,11.3,7.4129,3120623757.234011,,1,False,0,0.1,75,0.2765957446808511,0,-4.070796460176995,-6.460176991150446,False,False
sh.603017,2025-12-03,2025-12,11.9,9.2419,3232365971.2829614,,1,False,0,0.1,52,0.23636363636363636,0,6.218487394957983,-5.042016806722682,False,False
sh.603017,2025-12-29,2025-12,11.62,6.1776,3159242796.555297,6.215722120658129,1,False,0,0.1,86,0.23076923076923078,0,3.2702237521514688,-2.753872633390697,False,False
sh.603017,2026-01-08,2026-01,12.09,10.5076,3211915576.9157567,13.414634146341452,1,False,0,0.1,107,0.32989690721649484,0,10.008271298593897,10.008271298593897,True,False
sh.603017,2026-01-09,2026-01,13.3,1.7314,3673384873.5127645,27.39463601532568,2,True,0,0.1,107,0.21495327102803738,8,7.819548872180437,10.000000000000009,True,False
sh.603017,2026-01-12,2026-01,14.63,10.48,3959230964.026717,39.068441064638805,3,False,0,0.1,191,0.4392523364485981,22,9.022556390977442,-9.97949419002051,False,False
sh.603017,2026-03-10,2026-03,13.48,4.8796,3647149028.6089025,13.087248322147648,1,False,0,0.1,68,0.2,4,1.1127596439169274,-0.7418397626112738,False,False
sh.603017,2026-03-24,2026-03,13.93,6.8047,3687537716.5782475,7.900852052672347,1,False,0,0.1,37,0.3333333333333333,0,0.5025125628140614,0.0,False,False
sh.603017,2026-03-30,2026-03,15.76,11.3819,4156497138.439101,21.79289026275115,1,False,0,0.1,28,0.21875,2,2.7918781725888353,3.5532994923857864,False,False
sh.603017,2026-04-20,2026-04,14.21,4.8833,3855685270.6161814,5.337286879169767,1,False,0,0.1,31,0.23076923076923078,0,,,False,False
sh.603021,2025-11-24,2025-11,5.34,2.3376,1684771919.9178643,,1,False,1,0.05,77,0.40625,0,0.1872659176029856,0.5617977528090012,False,False
sh.603021,2025-12-17,2025-12,4.73,2.0569,1463794788.2736156,-14.620938628158841,1,False,1,0.05,57,0.19047619047619047,0,0.6342494714587588,-1.4799154334038112,False,False
sh.603021,2026-01-06,2026-01,4.91,1.9705,1543107272.2659225,-3.34645669291338,1,False,1,0.05,139,0.416,0,0.20366598778003286,-0.40733197556008793,False,False
