code,date,close,preclose,streak,yizi,open_gap,turn_pct,amount,circ_mcap_yuan,gain20_before,isST,board_pct,code6,name
sz.002246,2025-07-22,21.53,19.57,4,True,10.02,0.4007,47361220.34,11819620749.0,67.29,0,0.1,002246,北化股份
sz.002313,2025-08-08,14.96,13.6,4,False,2.94,34.5411,1836697148.12,5317425178.0,54.71,0,0.1,002313,日海智能
sz.002536,2025-08-18,32.58,29.62,4,False,6.35,18.3877,3196920013.98,17386187582.0,105.55,0,0.1,002536,飞龙股份
sz.002645,2025-07-16,13.92,12.65,4,False,1.82,27.8259,1918763516.5,6895602717.0,50.65,0,0.1,002645,华宏科技
sz.002658,2025-07-03,10.42,9.47,4,False,10.03,15.4371,570287765.14,3694267480.0,42.74,0,0.1,002658,雪迪龙
sz.002775,2025-08-05,5.85,5.32,4,False,-0.38,31.9321,767587054.15,2403810129.0,51.16,0,0.1,002775,文科股份
sz.002827,2025-07-24,56.51,51.37,4,False,7.22,21.7356,3326935986.01,15306391294.0,66.79,0,0.1,002827,高争民爆
sz.002883,2025-07-24,16.79,15.26,4,False,0.85,49.683,945028457.66,1902116333.0,50.99,0,0.1,002883,*ST中设
sz.002939,2025-08-18,13.27,12.06,4,False,8.13,7.1792,3265099270.87,45479987615.0,48.6,0,0.1,002939,长城证券
sz.002941,2025-08-13,18.38,16.71,4,False,7.54,22.7313,2674936643.74,11767636007.0,60.1,0,0.1,002941,新疆交建
sz.301038,2025-07-24,33.38,27.82,4,False,-2.95,20.4667,1387606627.72,6779825901.0,97.75,0,0.2,301038,深水规院
sh.600053,2025-08-13,21.64,19.67,3,False,3.97,6.442,592191457.29,9192664658.0,39.52,0,0.1,600053,*ST九鼎
sh.600110,2025-08-19,8.47,7.7,3,False,7.79,21.3213,3082136168.81,14455667191.0,46.79,0,0.1,600110,诺德股份
sh.600113,2025-08-13,43.68,39.71,3,False,5.77,4.8068,845384495.91,17587261711.0,52.94,0,0.1,600113,浙江东日
sh.600192,2025-07-02,10.35,9.41,3,False,9.46,8.7154,393783816.87,4518252942.0,30.85,0,0.1,600192,长城电工
sh.600208,2025-08-15,5.48,4.98,3,True,10.04,0.5887,274481434.44,46625010097.0,47.31,0,0.1,600208,衢州发展
sh.600319,2025-07-02,7.9,7.18,3,False,8.5,18.9026,465940027.64,2464952058.0,35.74,0,0.1,600319,亚星化学
sh.600360,2025-07-30,8.66,8.25,3,True,4.97,0.3709,30842538.04,8315593971.0,9.62,1,0.1,600360,华微电子
