code,date,close,preclose,streak,yizi,open_gap,turn_pct,amount,circ_mcap_yuan,gain20_before,isST,board_pct
sh.600165,2025-08-18,4.13,3.93,1,False,0.25,2.6396,74143412.01,2808888165.0,-6.35,1,0.1
sh.600165,2025-08-19,4.34,4.13,2,False,0.48,1.958,57599155.51,2941734194.0,-1.36,1,0.1
sh.600172,2025-08-11,5.06,4.6,1,False,0.0,19.0643,1184418407.46,6212755818.0,17.95,0,0.1
sh.600172,2025-08-13,5.32,4.84,1,False,0.41,10.5486,695851806.91,6596627106.0,25.18,0,0.1
sh.600173,2025-07-11,6.86,6.24,1,False,1.28,5.7092,269130518.51,4713979516.0,16.27,0,0.1
sh.600173,2025-07-14,7.55,6.86,2,False,10.06,13.2183,697900646.13,5279806375.0,27.32,0,0.1
sh.600176,2025-08-29,15.61,14.19,1,True,10.01,0.795,496815114.81,62492467272.0,26.4,0,0.1
sh.600179,2025-08-25,3.58,3.25,1,False,4.0,3.0474,405039935.61,13291328201.0,13.65,0,0.1
sh.600183,2025-08-15,44.83,40.75,1,False,-0.61,3.1981,3314977631.18,103654595891.0,22.82,0,0.1
sh.600184,2025-07-28,20.54,18.67,1,False,1.5,9.7499,998676788.37,10242943911.0,16.97,0,0.1
sh.600184,2025-08-08,22.83,20.75,1,False,1.69,12.0909,1379680314.33,11410898397.0,42.42,0,0.1
sh.600192,2025-07-01,9.41,8.55,2,False,5.73,7.9566,327816165.58,4120053359.0,12.43,0,0.1
sh.600192,2025-07-02,10.35,9.41,3,False,9.46,8.7154,393783816.87,4518252942.0,30.85,0,0.1
sh.600192,2025-07-07,11.5,10.45,1,False,-4.02,27.4761,1334562992.55,4857177665.0,49.74,0,0.1
sh.600192,2025-07-28,10.29,9.35,1,False,2.35,9.1612,408637398.99,4460522628.0,20.35,0,0.1
sh.600192,2025-08-04,10.86,9.87,1,False,0.61,9.9,464616189.54,4693092824.0,-5.57,0,0.1
sh.600192,2025-08-13,11.89,10.81,1,False,-1.3,8.8676,454877870.7,5129661585.0,26.62,0,0.1
sh.600193,2025-07-17,4.58,4.36,1,True,5.05,1.6674,32483650.0,1948161809.0,-0.22,1,0.1
